Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
107,21.05.2017,Arsenal,Everton,3:1,H,1.36,5.62,7.92
107,21.05.2017,Burnley,West Ham,1:2,A,2.31,3.44,3.12
107,21.05.2017,Chelsea,Sunderland,5:1,H,1.1,10.59,25.89
107,21.05.2017,Hull City,Tottenham,1:7,A,9.39,6.13,1.3
107,21.05.2017,Leicester,Bournemouth,1:1,D,1.69,4.22,4.66
107,21.05.2017,Liverpool,Middlesbrough,3:0,H,1.13,9.13,21.61
107,21.05.2017,Manchester United,Crystal Palace,2:0,H,2.29,3.36,3.23
107,21.05.2017,Southampton,Stoke,0:1,A,1.63,4.16,5.24
107,21.05.2017,Swansea,West Brom,2:1,H,2.27,3.38,3.27
107,21.05.2017,Watford,Manchester City,0:5,A,17.54,8.7,1.15
106,18.05.2017,Leicester,Tottenham,1:6,A,4.06,3.82,1.87
105,17.05.2017,Southampton,Manchester United,0:0,D,2.35,3.26,3.22
104,16.05.2017,Arsenal,Sunderland,2:0,H,1.11,10.54,22.81
104,16.05.2017,Manchester City,West Brom,3:1,H,1.15,8.49,18.62
103,15.05.2017,Chelsea,Watford,4:3,H,1.27,6.11,10.89
102,14.05.2017,Crystal Palace,Hull City,4:0,H,1.93,3.59,4.1
102,14.05.2017,Tottenham,Manchester United,2:1,H,1.65,3.91,5.66
102,14.05.2017,West Ham,Liverpool,0:4,A,5.8,4.04,1.61
101,13.05.2017,Bournemouth,Burnley,2:1,H,1.82,3.79,4.32
101,13.05.2017,Manchester City,Leicester,2:1,H,1.22,7.13,12.13
101,13.05.2017,Middlesbrough,Southampton,1:2,A,3.79,3.43,2.05
101,13.05.2017,Stoke,Arsenal,1:4,A,5.08,4.11,1.66
101,13.05.2017,Sunderland,Swansea,0:2,A,3.35,3.47,2.19
100,12.05.2017,Everton,Watford,1:0,H,1.42,4.72,7.89
100,12.05.2017,West Brom,Chelsea,0:1,A,9.66,5,1.35
99,10.05.2017,Southampton,Arsenal,0:2,A,3.35,3.68,2.12
98,08.05.2017,Chelsea,Middlesbrough,3:0,H,1.14,8.9,20.91
97,07.05.2017,Arsenal,Manchester United,2:0,H,2.1,3.51,3.58
97,07.05.2017,Liverpool,Southampton,0:0,D,1.58,4.15,5.99
96,06.05.2017,Bournemouth,Stoke,2:2,D,2.32,3.42,3.13
96,06.05.2017,Burnley,West Brom,2:2,D,2.51,3.03,3.18
96,06.05.2017,Hull City,Sunderland,0:2,A,1.52,4.39,6.37
96,06.05.2017,Leicester,Watford,3:0,H,1.64,3.82,5.82
96,06.05.2017,Manchester City,Crystal Palace,5:0,H,1.25,6.7,11.24
96,06.05.2017,Swansea,Everton,1:0,H,2.51,3.41,2.86
95,05.05.2017,West Ham,Tottenham,1:0,H,8.18,5.01,1.39
94,01.05.2017,Watford,Liverpool,0:1,A,5.77,4.24,1.59
93,30.04.2017,Everton,Chelsea,0:3,A,4.32,3.69,1.86
93,30.04.2017,Manchester United,Swansea,1:1,D,1.41,4.7,8.5
93,30.04.2017,Middlesbrough,Manchester City,2:2,D,11.33,6.04,1.27
93,30.04.2017,Tottenham,Arsenal,2:0,H,1.79,4.06,4.26
92,29.04.2017,Crystal Palace,Burnley,0:2,A,1.81,3.51,4.92
92,29.04.2017,Southampton,Hull City,0:0,D,1.57,4.17,5.98
