Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
96,11.05.2008,Birmingham,Blackburn,4:1,H,2.36,3.26,3.03
96,11.05.2008,Chelsea,Bolton,1:1,D,1.14,7.01,16.65
96,11.05.2008,Derby,Reading,0:4,A,5.1,3.74,1.62
96,11.05.2008,Everton,Newcastle,3:1,H,1.76,3.37,4.69
96,11.05.2008,Middlesbrough,Manchester City,8:1,H,2.01,3.24,3.68
96,11.05.2008,Portsmouth,Fulham,0:1,A,2.9,3.37,2.36
96,11.05.2008,Sunderland,Arsenal,0:1,A,3.98,3.38,1.88
96,11.05.2008,Tottenham,Liverpool,0:2,A,2.52,3.21,2.71
96,11.05.2008,West Ham,Aston Villa,2:2,D,3.09,3.35,2.2
96,11.05.2008,Wigan,Manchester United,0:2,A,12.15,5.78,1.22
95,05.05.2008,Newcastle,Chelsea,0:2,A,6,3.85,1.54
94,04.05.2008,Arsenal,Everton,1:0,H,1.61,3.56,5.88
94,04.05.2008,Liverpool,Manchester City,1:0,H,1.66,3.6,5.98
93,03.05.2008,Aston Villa,Wigan,0:2,A,1.5,3.8,6.94
93,03.05.2008,Blackburn,Derby,3:1,H,1.24,5.25,12.28
93,03.05.2008,Bolton,Sunderland,2:0,H,1.67,3.51,5.25
93,03.05.2008,Fulham,Birmingham,2:0,H,2.02,3.44,6.04
93,03.05.2008,Manchester United,West Ham,4:1,H,1.17,6.35,15.8
93,03.05.2008,Middlesbrough,Portsmouth,2:0,H,1.86,3.36,4.22
93,03.05.2008,Reading,Tottenham,0:1,A,2.32,3.27,2.96
92,28.04.2008,Derby,Arsenal,2:6,A,10.99,5.12,1.27
91,27.04.2008,Everton,Aston Villa,2:2,D,2.34,3.2,2.99
91,27.04.2008,Portsmouth,Blackburn,0:1,A,2.28,3.13,3.31
90,26.04.2008,Birmingham,Liverpool,2:2,D,3.37,2.92,2.73
90,26.04.2008,Chelsea,Manchester United,2:1,H,2.41,3.08,2.97
90,26.04.2008,Manchester City,Fulham,2:3,A,2.08,3.1,4.66
90,26.04.2008,Sunderland,Middlesbrough,3:2,H,2.27,3.1,3.19
90,26.04.2008,Tottenham,Bolton,1:1,D,1.75,3.52,4.53
