Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
99,17.05.2016,Manchester United,Bournemouth,3:1,H,1.48,4.53,6.77
98,15.05.2016,Arsenal,Aston Villa,4:0,H,1.11,10.89,22.05
98,15.05.2016,Chelsea,Leicester,1:1,D,2,3.8,3.56
98,15.05.2016,Everton,Norwich,3:0,H,1.71,4.12,4.61
98,15.05.2016,Newcastle,Tottenham,5:1,H,5.01,4,1.68
98,15.05.2016,Southampton,Crystal Palace,4:1,H,1.27,6.26,10.68
98,15.05.2016,Stoke,West Ham,2:1,H,3,3.76,2.25
98,15.05.2016,Swansea,Manchester City,1:1,D,6.77,4.87,1.45
98,15.05.2016,Watford,Sunderland,2:2,D,1.64,4.21,5.09
98,15.05.2016,West Brom,Liverpool,1:1,D,2.57,3.53,2.69
97,11.05.2016,Norwich,Watford,4:2,H,1.84,3.83,4.18
97,11.05.2016,Liverpool,Chelsea,1:1,D,1.69,4.24,4.61
97,11.05.2016,Sunderland,Everton,3:0,H,1.83,3.85,4.22
96,10.05.2016,West Ham,Manchester United,3:2,H,3.05,3.53,2.32
95,08.05.2016,Liverpool,Watford,2:0,H,1.54,4.34,6.1
95,08.05.2016,Manchester City,Arsenal,2:2,D,2.21,3.51,3.26
95,08.05.2016,Tottenham,Southampton,1:2,A,2.19,3.4,3.41
94,07.05.2016,Aston Villa,Newcastle,0:0,D,5.01,3.97,1.69
94,07.05.2016,Bournemouth,West Brom,1:1,D,1.9,3.55,4.23
94,07.05.2016,Crystal Palace,Stoke,2:1,H,2.01,3.44,3.93
94,07.05.2016,Leicester,Everton,3:1,H,1.86,3.95,3.92
94,07.05.2016,Norwich,Manchester United,0:1,A,3.87,3.45,2.02
94,07.05.2016,Sunderland,Chelsea,3:2,H,3.1,3.54,2.28
94,07.05.2016,West Ham,Swansea,1:4,A,1.34,5.38,9
93,02.05.2016,Chelsea,Tottenham,2:2,D,2.56,3.46,2.75
92,01.05.2016,Manchester United,Leicester,1:1,D,1.97,3.48,4.2
92,01.05.2016,Southampton,Manchester City,4:2,H,2.4,3.44,2.98
92,01.05.2016,Swansea,Liverpool,3:1,H,3.46,3.5,2.13
91,30.04.2016,Arsenal,Norwich,1:0,H,1.25,6.22,12.33
91,30.04.2016,Everton,Bournemouth,2:1,H,2.37,3.62,2.9
91,30.04.2016,Newcastle,Crystal Palace,1:0,H,2.1,3.48,3.6
91,30.04.2016,Stoke,Sunderland,1:1,D,2.92,3.32,2.5
91,30.04.2016,Watford,Aston Villa,3:2,H,1.72,3.75,5.2
91,30.04.2016,West Brom,West Ham,0:3,A,3.85,3.49,2.01
90,25.04.2016,Tottenham,West Brom,1:1,D,1.21,6.73,14.42
89,24.04.2016,Leicester,Swansea,4:0,H,1.68,3.82,5.57
89,24.04.2016,Sunderland,Arsenal,0:0,D,5.3,4.09,1.64
88,23.04.2016,Aston Villa,Southampton,2:4,A,6.72,4.13,1.53
88,23.04.2016,Bournemouth,Chelsea,1:4,A,3.37,3.55,2.15
88,23.04.2016,Liverpool,Newcastle,2:2,D,1.5,4.59,6.38
88,23.04.2016,Manchester City,Stoke,4:0,H,1.3,5.73,10.34
87,21.04.2016,Arsenal,West Brom,2:0,H,1.25,6.11,12.55
