Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
95,19.05.2001,Charlton,Liverpool,0:4,A,3.6,3.6,1.7
95,19.05.2001,Coventry,Bradford,0:0,D,1.79,3.3,3.8
95,19.05.2001,Derby,Ipswich,1:1,D,3.5,3.3,1.96
95,19.05.2001,Everton,Sunderland,2:2,D,2.5,3.1,2.5
95,19.05.2001,Leeds,Leicester,3:1,H,1.27,4.5,9.99
95,19.05.2001,Manchester City,Chelsea,1:2,A,3.3,3,1.7
95,19.05.2001,Middlesbrough,West Ham,2:1,H,2,3.5,3.3
95,19.05.2001,Newcastle,Aston Villa,3:0,H,2.29,3.4,2.75
95,19.05.2001,Southampton,Arsenal,3:2,H,3,3.2,2.54
95,19.05.2001,Tottenham,Manchester United,3:1,H,3,3,2.4
94,15.05.2001,Newcastle,Arsenal,0:0,D,3.3,3.1,2.15
93,13.05.2001,Leeds,Bradford,6:1,H,1.27,5.5,9
93,13.05.2001,Southampton,Manchester United,2:1,H,3.6,2.95,2.15
92,08.05.2001,Liverpool,Chelsea,2:2,D,1.68,3.6,4.8
91,07.05.2001,Ipswich,Manchester City,2:1,H,1.68,3.1,4.5
90,05.05.2001,Arsenal,Leeds,2:1,H,1.95,3.4,4.2
90,05.05.2001,Aston Villa,Coventry,3:2,H,1.9,1.85,6.2
90,05.05.2001,Bradford,Middlesbrough,1:1,D,3.3,3,2.2
90,05.05.2001,Chelsea,Everton,2:1,H,1.53,4,6.2
90,05.05.2001,Leicester,Tottenham,4:2,H,2.4,3,3
90,05.05.2001,Liverpool,Newcastle,3:0,H,1.47,4,7
90,05.05.2001,Manchester United,Derby,0:1,A,1.42,4.09,5.6
90,05.05.2001,Sunderland,Charlton,3:2,H,2.04,3.2,3.6
90,05.05.2001,West Ham,Southampton,3:0,H,2.04,3.2,3.6
89,01.05.2001,Bradford,Liverpool,0:2,A,6,3.7,1.59
89,01.05.2001,Newcastle,Southampton,1:1,D,1.79,3.3,4.09
88,30.04.2001,Charlton,Ipswich,2:1,H,2.8,3.1,2.8
87,28.04.2001,Coventry,Liverpool,0:2,A,3.9,3,1.95
87,28.04.2001,Derby,Arsenal,1:2,A,3.9,3,1.95
87,28.04.2001,Everton,Bradford,2:1,H,1.61,3.3,6
87,28.04.2001,Leeds,Chelsea,2:0,H,1.95,3.3,4.09
87,28.04.2001,Manchester City,West Ham,1:0,H,2.2,3,3.1
87,28.04.2001,Middlesbrough,Manchester United,0:2,A,3.15,3.1,2.2
87,28.04.2001,Newcastle,Leicester,1:0,H,1.84,3.4,4.5
87,28.04.2001,Southampton,Sunderland,0:1,A,2.29,3.2,3
87,28.04.2001,Tottenham,Aston Villa,0:0,D,2.29,2.95,2.85
86,22.04.2001,Liverpool,Tottenham,3:1,H,1.55,3.6,3.5
85,21.04.2001,Arsenal,Everton,4:1,H,1.48,3.1,7
85,21.04.2001,Aston Villa,Southampton,0:0,D,1.84,3.1,4.2
85,21.04.2001,Bradford,Derby,2:0,H,2.6,3,2.6
85,21.04.2001,Chelsea,Charlton,0:1,A,1.47,4.25,6.5
85,21.04.2001,Ipswich,Coventry,2:0,H,1.63,3.75,5.5
85,21.04.2001,Leicester,Middlesbrough,0:3,A,2.25,3,2.9
85,21.04.2001,Manchester United,Manchester City,1:1,D,1.53,3.2,5
85,21.04.2001,Sunderland,Newcastle,1:1,D,2.04,3.15,3.3
85,21.04.2001,West Ham,Leeds,0:2,A,3.1,3.1,2.29
84,17.04.2001,Charlton,Aston Villa,3:3,D,2.29,3.1,3.1
84,17.04.2001,Tottenham,Chelsea,0:3,A,2.75,2.85,2.65
83,16.04.2001,Coventry,Sunderland,1:0,H,2.5,3,2.85
83,16.04.2001,Derby,Leicester,2:0,H,2.2,2.9,3.3
83,16.04.2001,Everton,Liverpool,2:3,A,3.6,2.7,2.1
83,16.04.2001,Middlesbrough,Ipswich,1:2,A,2.45,3.05,2.75
83,16.04.2001,Newcastle,West Ham,2:1,H,2.04,3.1,3.3
82,14.04.2001,Arsenal,Middlesbrough,0:3,A,1.4,4.8,2.8
82,14.04.2001,Aston Villa,Everton,2:1,H,1.84,3.4,4.5
82,14.04.2001,Chelsea,Southampton,1:0,H,1.53,4,5
82,14.04.2001,Ipswich,Newcastle,1:0,H,1.84,3.4,4.5
82,14.04.2001,Leicester,Manchester City,1:2,A,1.79,3.3,3.8
82,14.04.2001,Manchester United,Coventry,4:2,H,1.37,4,7
82,14.04.2001,Sunderland,Tottenham,2:3,A,1.89,3.1,4.3
82,14.04.2001,West Ham,Derby,3:1,H,2,3.2,4
81,13.04.2001,Bradford,Charlton,2:0,H,3.1,3.3,2.29
81,13.04.2001,Liverpool,Leeds,1:2,A,2.04,2.9,3.6
80,11.04.2001,Manchester City,Arsenal,0:4,A,4,3.4,1.8
79,10.04.2001,Ipswich,Liverpool,1:1,D,2.6,3,2.7
79,10.04.2001,Manchester United,Charlton,2:1,H,1.35,3.4,6
79,10.04.2001,Tottenham,Bradford,2:1,H,1.48,3.1,7
78,08.04.2001,Everton,Manchester City,3:1,H,1.95,3.4,4.2
78,08.04.2001,Middlesbrough,Sunderland,0:0,D,2.7,2.9,2.9
77,07.04.2001,Aston Villa,West Ham,2:2,D,1.95,3.4,4.2
77,07.04.2001,Derby,Chelsea,0:4,A,2.75,2.95,2.65
77,07.04.2001,Leeds,Southampton,2:0,H,1.63,3,6.2
77,07.04.2001,Leicester,Coventry,1:3,A,1.76,3,4.3
76,04.04.2001,Aston Villa,Leicester,2:1,H,2.2,2.8,3.3
75,02.04.2001,Southampton,Ipswich,0:3,A,2.35,3.1,3.6
74,31.03.2001,Arsenal,Tottenham,2:0,H,1.6,4,4
74,31.03.2001,Bradford,Newcastle,2:2,D,3.3,3.3,2.15
74,31.03.2001,Charlton,Leicester,2:0,H,2.29,3.1,2.8
74,31.03.2001,Chelsea,Middlesbrough,2:1,H,1.63,3.4,5
74,31.03.2001,Coventry,Derby,2:0,H,2.29,3.1,2.8
74,31.03.2001,Liverpool,Manchester United,2:0,H,2.65,2.85,2.65
74,31.03.2001,Manchester City,Aston Villa,1:3,A,2.5,2.95,2.75
74,31.03.2001,Sunderland,Leeds,0:2,A,2.5,2.95,2.75
74,31.03.2001,West Ham,Everton,0:2,A,2.04,3.1,4.09
73,18.03.2001,Aston Villa,Arsenal,0:0,D,3.15,2.9,2.29
73,18.03.2001,Liverpool,Derby,1:1,D,1.42,4.5,7.5
72,17.03.2001,Bradford,Manchester City,2:2,D,2.8,3,2.65
72,17.03.2001,Charlton,Leeds,1:2,A,2.6,3.1,2.6
72,17.03.2001,Chelsea,Sunderland,2:4,A,1.74,3.4,3.9
