Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
89,17.04.2018,Brighton,Tottenham,1:1,D,6.21,4.22,1.55
88,16.04.2018,WestHam,Stoke,1:1,D,1.98,3.41,4.07
87,15.04.2018,ManchesterUnited,WestBrom,0:1,A,1.18,7.09,17.35
87,15.04.2018,Newcastle,Arsenal,2:1,H,2.89,3.44,2.47
86,14.04.2018,Burnley,Leicester,2:1,H,2.59,3.14,2.95
86,14.04.2018,CrystalPalace,Brighton,3:2,H,1.84,3.46,4.72
86,14.04.2018,Huddersfield,Watford,1:0,H,2.54,3.16,3
86,14.04.2018,Liverpool,Bournemouth,3:0,H,1.22,6.95,12.93
86,14.04.2018,Southampton,Chelsea,2:3,A,4.53,3.73,1.8
86,14.04.2018,Swansea,Everton,1:1,D,2.67,3.12,2.87
86,14.04.2018,Tottenham,ManchesterCity,1:3,A,2.74,3.57,2.51
85,08.04.2018,Arsenal,Southampton,3:2,H,1.74,3.8,4.84
85,08.04.2018,Chelsea,WestHam,1:1,D,1.28,5.74,10.83
84,07.04.2018,Bournemouth,CrystalPalace,2:2,D,2.55,3.45,2.76
84,07.04.2018,Brighton,Huddersfield,1:1,D,1.73,3.56,5.44
84,07.04.2018,Everton,Liverpool,0:0,D,3.62,3.41,2.12
84,07.04.2018,Leicester,Newcastle,1:2,A,1.86,3.5,4.56
84,07.04.2018,ManchesterCity,ManchesterUnited,2:3,A,1.83,3.66,4.48
84,07.04.2018,Stoke,Tottenham,1:2,A,10.91,5.83,1.28
84,07.04.2018,Watford,Burnley,1:2,A,2.32,3.16,3.38
84,07.04.2018,WestBrom,Swansea,1:1,D,2.41,3.15,3.2
83,01.04.2018,Arsenal,Stoke,3:0,H,1.29,5.82,10.15
83,01.04.2018,Chelsea,Tottenham,1:3,A,2.28,3.34,3.21
82,31.03.2018,Brighton,Leicester,0:2,A,2.72,3.21,2.72
82,31.03.2018,CrystalPalace,Liverpool,1:2,A,6.71,4.58,1.48
82,31.03.2018,Everton,ManchesterCity,1:3,A,9.35,5.2,1.37
82,31.03.2018,ManchesterUnited,Swansea,2:0,H,1.22,6.37,14.85
82,31.03.2018,Newcastle,Huddersfield,1:0,H,1.75,3.55,5.26
82,31.03.2018,Watford,Bournemouth,2:2,D,2.24,3.42,3.29
82,31.03.2018,WestBrom,Burnley,1:2,A,2.55,3.04,3.07
82,31.03.2018,WestHam,Southampton,3:0,H,2.83,3.17,2.67
81,17.03.2018,Bournemouth,WestBrom,2:1,H,1.79,3.67,4.71
81,17.03.2018,Huddersfield,CrystalPalace,0:2,A,2.73,3.13,2.79
81,17.03.2018,Liverpool,Watford,5:0,H,1.17,8.13,15.95
81,17.03.2018,Stoke,Everton,1:2,A,2.72,3.18,2.76
81,12.03.2018,Stoke,ManchesterCity,0:2,A,13.27,6.53,1.23
80,11.03.2018,Arsenal,Watford,3:0,H,1.49,4.47,6.71
80,11.03.2018,Bournemouth,Tottenham,1:4,A,7.15,4.88,1.43
79,10.03.2018,Chelsea,CrystalPalace,2:1,H,1.3,5.53,11.19
79,10.03.2018,Everton,Brighton,2:0,H,2.23,3.2,3.51
79,10.03.2018,Huddersfield,Swansea,0:0,D,2.47,3.05,3.23
79,10.03.2018,ManchesterUnited,Liverpool,2:1,H,3.05,3.2,2.48
79,10.03.2018,Newcastle,Southampton,3:0,H,2.66,3.12,2.88
79,10.03.2018,WestBrom,Leicester,1:4,A,3.16,3.28,2.37
79,10.03.2018,WestHam,Burnley,0:3,A,2.21,3.15,3.66
78,05.03.2018,CrystalPalace,ManchesterUnited,2:3,A,7.55,4.48,1.45
77,04.03.2018,Brighton,Arsenal,2:1,H,4.08,3.6,1.92
77,04.03.2018,ManchesterCity,Chelsea,1:0,H,1.52,4.56,6.14
76,03.03.2018,Burnley,Everton,2:1,H,2.54,2.95,3.25
76,03.03.2018,Leicester,Bournemouth,1:1,D,1.88,3.61,4.25
76,03.03.2018,Liverpool,Newcastle,2:0,H,1.2,7.17,14.22
76,03.03.2018,Southampton,Stoke,0:0,D,1.72,3.64,5.34
76,03.03.2018,Swansea,WestHam,4:1,H,2.58,3.04,3.07
