Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
105,22.05.2011,Aston Villa,Liverpool,1:0,H,3.37,3.34,2.14
105,22.05.2011,Bolton,Manchester City,0:2,A,4.86,3.71,1.7
105,22.05.2011,Everton,Chelsea,1:0,H,3.03,3.31,2.32
105,22.05.2011,Fulham,Arsenal,2:2,D,3.84,3.53,1.92
105,22.05.2011,Manchester United,Blackpool,4:2,H,1.43,4.77,6.66
105,22.05.2011,Newcastle,West Brom,3:3,D,2,3.41,3.7
105,22.05.2011,Stoke,Wigan,0:1,A,2.13,3.41,3.31
105,22.05.2011,Tottenham,Birmingham,2:1,H,1.54,3.98,6.1
105,22.05.2011,West Ham,Sunderland,0:3,A,1.91,3.54,3.82
105,22.05.2011,Wolves,Blackburn,2:3,A,2.29,2.96,3.45
104,17.05.2011,Manchester City,Stoke,3:0,H,1.4,4.42,8.14
103,15.05.2011,Arsenal,Aston Villa,1:2,A,1.38,4.65,8.1
103,15.05.2011,Birmingham,Fulham,0:2,A,2.14,3.25,3.48
103,15.05.2011,Chelsea,Newcastle,2:2,D,1.22,6.05,13.1
103,15.05.2011,Liverpool,Tottenham,0:2,A,1.63,3.78,5.44
103,15.05.2011,Wigan,West Ham,3:2,H,1.86,3.62,4.02
102,14.05.2011,Blackburn,Manchester United,1:1,D,6.28,3.43,1.65
102,14.05.2011,Blackpool,Bolton,4:3,H,2.04,3.52,3.51
102,14.05.2011,Sunderland,Wolves,1:3,A,2.9,3.23,2.46
102,14.05.2011,West Brom,Everton,1:0,H,2.65,3.26,2.67
101,10.05.2011,Manchester City,Tottenham,1:0,H,1.94,3.38,4.05
100,09.05.2011,Fulham,Liverpool,2:5,A,2.81,3.19,2.57
99,08.05.2011,Manchester United,Chelsea,2:1,H,2.29,3.17,3.27
99,08.05.2011,Stoke,Arsenal,3:1,H,4.29,3.36,1.89
99,08.05.2011,Wolves,West Brom,3:1,H,2.25,3.3,3.17
98,07.05.2011,Aston Villa,Wigan,1:1,D,1.75,3.57,4.82
98,07.05.2011,Bolton,Sunderland,1:2,A,1.73,3.51,5.03
