Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
104,13.05.2012,Chelsea,Blackburn,2:1,H,1.26,5.95,10.43
104,13.05.2012,Everton,Newcastle,3:1,H,2.06,3.6,3.38
104,13.05.2012,Manchester City,QPR,3:2,H,1.12,8.61,18.51
104,13.05.2012,Norwich,Aston Villa,2:0,H,2.01,3.43,3.67
104,13.05.2012,Stoke,Bolton,2:2,D,2.14,3.81,3.02
104,13.05.2012,Sunderland,Manchester United,0:1,A,7.07,4.54,1.44
104,13.05.2012,Swansea,Liverpool,1:0,H,3.39,3.44,2.11
104,13.05.2012,Tottenham,Fulham,2:0,H,1.41,4.48,8.02
104,13.05.2012,West Brom,Arsenal,2:3,A,5.11,3.98,1.63
104,13.05.2012,Wigan,Wolves,3:2,H,1.56,4.04,5.9
103,08.05.2012,Liverpool,Chelsea,4:1,H,2.08,3.56,3.37
102,07.05.2012,Blackburn,Wigan,0:1,A,2.74,3.41,2.49
101,06.05.2012,Aston Villa,Tottenham,1:1,D,4.13,3.48,1.88
101,06.05.2012,Bolton,West Brom,2:2,D,2.11,3.45,3.38
101,06.05.2012,Fulham,Sunderland,2:1,H,1.7,3.72,4.91
101,06.05.2012,Manchester United,Swansea,2:0,H,1.16,7.28,15.43
101,06.05.2012,Newcastle,Manchester City,0:2,A,4.69,4.03,1.68
101,06.05.2012,QPR,Stoke,1:0,H,1.77,3.63,4.57
101,06.05.2012,Wolves,Everton,0:0,D,4.67,3.7,1.74
100,05.05.2012,Arsenal,Norwich,3:3,D,1.2,6.63,13.9
99,02.05.2012,Bolton,Tottenham,1:4,A,4.27,3.7,1.81
99,02.05.2012,Chelsea,Newcastle,0:2,A,1.45,4.49,6.74
98,01.05.2012,Liverpool,Fulham,0:1,A,1.71,3.62,5
98,01.05.2012,Stoke,Everton,1:1,D,3.03,3.25,2.37
97,30.04.2012,Manchester City,Manchester United,1:0,H,2.06,3.44,3.6
96,29.04.2012,Chelsea,QPR,6:1,H,1.43,4.43,7.5
96,29.04.2012,Tottenham,Blackburn,2:0,H,1.33,5.24,8.54
95,28.04.2012,Everton,Fulham,4:0,H,1.8,3.49,4.61
95,28.04.2012,Norwich,Liverpool,0:3,A,4.42,3.74,1.77
95,28.04.2012,Stoke,Arsenal,1:1,D,4.27,3.51,1.85
