Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
105,07.05.2006,Arsenal,Wigan,4:2,H,1.2,5.81,11.82
105,07.05.2006,Aston Villa,Sunderland,2:1,H,1.55,3.7,5.81
105,07.05.2006,Blackburn,Manchester City,2:0,H,1.95,3.21,3.8
105,07.05.2006,Bolton,Birmingham,1:0,H,1.52,3.73,6.3
105,07.05.2006,Everton,West Brom,2:2,D,1.61,3.5,5.56
105,07.05.2006,Fulham,Middlesbrough,1:0,H,1.59,3.55,5.68
105,07.05.2006,Manchester United,Charlton,4:0,H,1.2,5.79,12.73
105,07.05.2006,Newcastle,Chelsea,1:0,H,2.8,3.21,2.39
105,07.05.2006,Portsmouth,Liverpool,1:3,A,5.56,3.72,1.56
105,07.05.2006,West Ham,Tottenham,2:1,H,3.47,3.31,2.01
104,04.05.2006,Manchester City,Arsenal,1:3,A,5.87,3.68,1.57
104,04.05.2006,Sunderland,Fulham,2:1,H,3.1,3.32,2.17
103,03.05.2006,Bolton,Middlesbrough,1:1,D,1.49,3.82,6.28
102,02.05.2006,Blackburn,Chelsea,1:0,H,2.86,3.24,2.33
101,01.05.2006,Sunderland,Arsenal,0:3,A,9.95,4.7,1.29
101,01.05.2006,West Brom,West Ham,0:1,A,2.24,3.27,3
101,01.05.2006,Manchester United,Middlesbrough,0:0,D,1.23,5.52,11.62
100,30.04.2006,Tottenham,Bolton,1:0,H,1.66,3.49,5.28
99,29.04.2006,Birmingham,Newcastle,0:0,D,2.39,3.31,2.77
99,29.04.2006,Charlton,Blackburn,0:2,A,3.01,3.26,2.25
99,29.04.2006,Chelsea,Manchester United,3:0,H,2.15,3.02,3.52
99,29.04.2006,Liverpool,Aston Villa,3:1,H,1.33,4.36,9.97
99,29.04.2006,Manchester City,Fulham,1:2,A,1.75,3.42,4.55
99,29.04.2006,Middlesbrough,Everton,0:1,A,2.59,3.19,2.58
99,29.04.2006,Wigan,Portsmouth,1:2,A,2.44,3.26,2.73
98,26.04.2006,West Ham,Liverpool,1:2,A,4.4,3.33,1.81
97,25.04.2006,Aston Villa,Manchester City,0:1,A,2.24,3.18,3.04
96,24.04.2006,Fulham,Wigan,1:0,H,2.13,3.21,3.35
95,22.04.2006,Arsenal,Tottenham,1:1,D,1.64,3.49,5.32
95,22.04.2006,Bolton,Charlton,4:1,H,1.71,3.41,4.84
95,22.04.2006,Everton,Birmingham,0:0,D,2.16,3.28,3.13
95,22.04.2006,Newcastle,West Brom,3:0,H,1.72,3.41,4.72
95,22.04.2006,Portsmouth,Sunderland,2:1,H,1.36,4.29,8.43
94,19.04.2006,Birmingham,Blackburn,2:1,H,2.54,3.18,2.64
93,18.04.2006,Wigan,Aston Villa,3:2,H,2.09,3.22,3.41
92,17.04.2006,Charlton,Portsmouth,2:1,H,2.44,3.17,2.81
92,17.04.2006,Chelsea,Everton,3:0,H,1.22,5.55,12.75
92,17.04.2006,Middlesbrough,West Ham,2:0,H,2.41,3.27,2.67
92,17.04.2006,Sunderland,Newcastle,1:4,A,3.82,3.23,1.92
92,17.04.2006,Tottenham,Manchester United,1:2,A,3.35,3.21,2.13
92,17.04.2006,West Brom,Bolton,0:0,D,2.36,3.22,2.82
91,16.04.2006,Aston Villa,Birmingham,3:1,H,2.33,3.07,3.11
91,16.04.2006,Blackburn,Liverpool,0:1,A,3.11,3.16,2.28
90,15.04.2006,Arsenal,West Brom,3:1,H,1.24,5.21,12.08
90,15.04.2006,Bolton,Chelsea,0:2,A,5.22,3.42,1.67
90,15.04.2006,Everton,Tottenham,0:1,A,2.6,3.16,2.63
90,15.04.2006,Fulham,Charlton,2:1,H,2,3.24,3.62
90,15.04.2006,Newcastle,Wigan,3:1,H,1.87,3.35,4.01
90,15.04.2006,Portsmouth,Middlesbrough,1:0,H,1.73,3.52,4.53
90,15.04.2006,West Ham,Manchester City,1:0,H,2.19,3.16,3.16
89,14.04.2006,Manchester United,Sunderland,0:0,D,1.1,7.67,23.05
88,12.04.2006,Portsmouth,Arsenal,1:1,D,5.06,3.54,1.65
87,09.04.2006,Aston Villa,West Brom,0:0,D,2.1,3.18,3.37
87,09.04.2006,Chelsea,West Ham,4:1,H,1.26,4.94,11.48
87,09.04.2006,Liverpool,Bolton,1:0,H,1.5,3.66,6.82
87,09.04.2006,Manchester United,Arsenal,2:0,H,1.97,3.25,3.66
87,09.04.2006,Middlesbrough,Newcastle,1:2,A,2.45,3.14,2.8
86,08.04.2006,Charlton,Everton,0:0,D,2.37,3.16,2.88
86,08.04.2006,Portsmouth,Blackburn,2:2,D,2.46,3.22,2.7
86,08.04.2006,Tottenham,Manchester City,2:1,H,1.61,3.48,5.66
86,08.04.2006,Wigan,Birmingham,1:1,D,1.98,3.32,3.57
85,04.04.2006,Birmingham,Bolton,1:0,H,2.76,3.18,2.46
84,03.04.2006,Blackburn,Wigan,1:1,D,1.76,3.34,4.69
83,02.04.2006,Manchester City,Middlesbrough,0:1,A,1.96,3.23,3.74
83,02.04.2006,West Ham,Charlton,0:0,D,2.03,3.23,3.56
82,01.04.2006,Arsenal,Aston Villa,5:0,H,1.28,4.84,10.49
82,01.04.2006,Birmingham,Chelsea,0:0,D,10.55,4.47,1.31
82,01.04.2006,Bolton,Manchester United,1:2,A,3.76,3.28,1.96
82,01.04.2006,Everton,Sunderland,2:2,D,1.34,4.48,8.8
82,01.04.2006,Fulham,Portsmouth,1:3,A,1.98,3.27,3.64
82,01.04.2006,Newcastle,Tottenham,3:1,H,2.64,3.18,2.58
82,01.04.2006,West Brom,Liverpool,0:2,A,5.79,3.56,1.57
81,29.03.2006,Manchester United,West Ham,1:0,H,1.3,4.95,9
80,27.03.2006,Tottenham,West Brom,2:1,H,1.41,3.99,7.81
79,26.03.2006,Charlton,Newcastle,3:1,H,2.36,3.16,2.93
79,26.03.2006,Manchester United,Birmingham,3:0,H,1.18,5.97,14.4
79,26.03.2006,Middlesbrough,Bolton,4:3,H,2.73,3.22,2.44
78,25.03.2006,Aston Villa,Fulham,0:0,D,2,3.22,3.62
78,25.03.2006,Chelsea,Manchester City,2:0,H,1.25,4.96,12
78,25.03.2006,Liverpool,Everton,3:1,H,1.58,3.47,6.24
78,25.03.2006,Sunderland,Blackburn,0:1,A,5.09,3.43,1.68
78,25.03.2006,Wigan,West Ham,1:2,A,2.01,3.25,3.54
77,19.03.2006,Fulham,Chelsea,1:0,H,7.56,4.05,1.42
77,19.03.2006,Newcastle,Liverpool,1:3,A,3.16,3.15,2.21
76,18.03.2006,Arsenal,Charlton,3:0,H,1.34,4.37,8.7
76,18.03.2006,Birmingham,Tottenham,0:2,A,3.17,3.15,2.19
76,18.03.2006,Blackburn,Middlesbrough,3:2,H,1.81,3.3,4.36
76,18.03.2006,Bolton,Sunderland,2:0,H,1.36,4.24,8.82
76,18.03.2006,Everton,Aston Villa,4:1,H,1.86,3.26,4.18
76,18.03.2006,Manchester City,Wigan,0:1,A,2,3.23,3.62
76,18.03.2006,West Brom,Manchester United,1:2,A,6.7,3.8,1.49
76,18.03.2006,West Ham,Portsmouth,2:4,A,1.86,3.25,4.14
75,15.03.2006,Liverpool,Fulham,5:1,H,1.36,4.3,8.74
74,12.03.2006,Arsenal,Liverpool,2:1,H,2.23,3.13,3.19
74,12.03.2006,Charlton,Middlesbrough,2:1,H,2.08,3.23,3.37
74,12.03.2006,Manchester United,Newcastle,2:0,H,1.43,3.91,7.66
73,11.03.2006,Birmingham,West Brom,1:1,D,2,3.14,3.75
73,11.03.2006,Blackburn,Aston Villa,2:0,H,1.84,3.28,4.23
73,11.03.2006,Bolton,West Ham,4:1,H,1.9,3.3,3.72
73,11.03.2006,Chelsea,Tottenham,2:1,H,1.87,2.98,7.83
73,11.03.2006,Everton,Fulham,3:1,H,1.84,3.26,4.29
73,11.03.2006,Portsmouth,Manchester City,2:1,H,2.78,3.17,2.41
73,11.03.2006,Sunderland,Wigan,0:1,A,3.04,3.24,2.24
72,06.03.2006,Wigan,Manchester United,1:2,A,5.58,3.67,1.62
71,05.03.2006,Manchester City,Sunderland,2:1,H,1.41,4,8.07
71,05.03.2006,Tottenham,Blackburn,3:2,H,1.93,3.2,3.97
70,04.03.2006,Aston Villa,Portsmouth,1:0,H,1.7,3.42,4.84
70,04.03.2006,Fulham,Arsenal,0:4,A,3.12,3.2,2.2
70,04.03.2006,Liverpool,Charlton,0:0,D,1.47,3.76,7.45
70,04.03.2006,Middlesbrough,Birmingham,1:0,H,1.85,3.26,4.16
70,04.03.2006,Newcastle,Bolton,3:1,H,2.37,3.14,2.93
70,04.03.2006,West Brom,Chelsea,1:2,A,7.7,4.07,1.42
70,04.03.2006,West Ham,Everton,2:2,D,2.04,3.18,3.54
69,26.02.2006,Bolton,Fulham,2:1,H,1.87,3.23,4.16
69,26.02.2006,Liverpool,Manchester City,1:0,H,1.55,3.58,6.29
69,26.02.2006,West Brom,Middlesbrough,0:2,A,2.39,3.17,2.86
68,25.02.2006,Birmingham,Sunderland,1:0,H,1.65,3.48,5.22
68,25.02.2006,Blackburn,Arsenal,1:0,H,2.93,3.24,2.3
68,25.02.2006,Charlton,Aston Villa,0:0,D,2.22,3.18,3.14
68,25.02.2006,Chelsea,Portsmouth,2:0,H,1.16,6.24,11.66
68,25.02.2006,Newcastle,Everton,2:0,H,2.12,3.17,3.3
67,22.02.2006,Newcastle,Charlton,0:0,D,1.82,3.25,4.34
66,19.02.2006,Tottenham,Wigan,2:2,D,1.61,3.47,5.56
65,15.02.2006,Blackburn,Sunderland,2:0,H,1.42,3.95,7.6
64,14.02.2006,Liverpool,Arsenal,1:0,H,2.05,3.14,3.57
63,13.02.2006,West Ham,Birmingham,3:0,H,1.77,3.31,4.45
62,12.02.2006,Manchester City,Charlton,3:2,H,1.78,3.37,4.39
62,12.02.2006,Sunderland,Tottenham,1:1,D,5.63,3.51,1.6
61,11.02.2006,Arsenal,Bolton,1:1,D,1.55,3.63,6.1
61,11.02.2006,Aston Villa,Newcastle,1:2,A,2.12,3.18,3.33
61,11.02.2006,Everton,Blackburn,1:0,H,2.24,3.15,3.1
61,11.02.2006,Fulham,West Brom,6:1,H,1.8,3.29,4.41
61,11.02.2006,Middlesbrough,Chelsea,3:0,H,7.92,4.21,1.38
61,11.02.2006,Portsmouth,Manchester United,1:3,A,6.25,3.65,1.52
61,11.02.2006,Wigan,Liverpool,0:1,A,3.99,3.2,1.92
60,08.02.2006,Charlton,Liverpool,2:0,H,4.49,3.28,1.79
59,05.02.2006,Chelsea,Liverpool,2:0,H,1.88,3.06,4.4
59,05.02.2006,Tottenham,Charlton,3:1,H,1.77,3.28,4.63
58,04.02.2006,Birmingham,Arsenal,0:2,A,3.54,3.23,2.02
58,04.02.2006,Bolton,Wigan,1:1,D,1.87,3.24,4.14
58,04.02.2006,Everton,Manchester City,1:0,H,2.24,3.17,3.08
58,04.02.2006,Manchester United,Fulham,4:2,H,1.28,4.87,10.04
58,04.02.2006,Middlesbrough,Aston Villa,0:4,A,2.26,3.18,3.03
58,04.02.2006,Newcastle,Portsmouth,2:0,H,1.78,3.39,4.36
58,04.02.2006,West Brom,Blackburn,2:0,H,2.72,3.19,2.47
58,04.02.2006,West Ham,Sunderland,2:0,H,1.5,3.75,6.48
57,01.02.2006,Arsenal,West Ham,2:3,A,1.35,4.44,8.35
57,01.02.2006,Aston Villa,Chelsea,1:1,D,7.12,3.71,1.47
