Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
101,19.05.2013,Chelsea,Everton,2:1,H,1.72,3.75,4.82
101,19.05.2013,Liverpool,QPR,1:0,H,1.24,6.18,11.86
101,19.05.2013,Manchester City,Norwich,2:3,A,1.26,5.72,11.27
101,19.05.2013,Newcastle,Arsenal,0:1,A,5.91,4.4,1.52
101,19.05.2013,Southampton,Stoke,1:1,D,1.67,3.67,5.39
101,19.05.2013,Swansea,Fulham,0:3,A,1.66,3.82,5.24
101,19.05.2013,Tottenham,Sunderland,1:0,H,1.24,5.98,12.52
101,19.05.2013,West Brom,Manchester United,5:5,D,3.78,3.49,1.98
101,19.05.2013,West Ham,Reading,4:2,H,1.61,3.92,5.64
101,19.05.2013,Wigan,Aston Villa,2:2,D,2.05,3.47,3.58
100,14.05.2013,Arsenal,Wigan,4:1,H,1.36,5.3,7.62
100,14.05.2013,Reading,Manchester City,0:2,A,6.51,4.53,1.48
99,12.05.2013,Everton,West Ham,2:0,H,1.51,4.14,6.75
99,12.05.2013,Fulham,Liverpool,1:3,A,3.77,3.46,2.01
99,12.05.2013,Manchester United,Swansea,2:1,H,1.33,5.1,9.35
99,12.05.2013,Norwich,West Brom,4:0,H,2.35,3.27,3.1
99,12.05.2013,QPR,Newcastle,1:2,A,3.01,3.38,2.34
99,12.05.2013,Stoke,Tottenham,1:2,A,4.65,3.54,1.79
99,12.05.2013,Sunderland,Southampton,1:1,D,3.04,3.08,2.5
98,11.05.2013,Aston Villa,Chelsea,1:2,A,5.19,3.97,1.65
97,08.05.2013,Chelsea,Tottenham,2:2,D,1.82,3.69,4.28
96,07.05.2013,Manchester City,West Brom,1:0,H,1.39,4.71,8.31
96,07.05.2013,Wigan,Swansea,2:3,A,1.78,3.68,4.55
95,06.05.2013,Sunderland,Stoke,1:1,D,2.19,3.12,3.63
94,05.05.2013,Liverpool,Everton,0:0,D,1.95,3.49,3.93
94,05.05.2013,Manchester United,Chelsea,0:1,A,2.3,3.4,3.06
93,04.05.2013,Fulham,Reading,2:4,A,1.69,3.74,5.18
93,04.05.2013,Norwich,Aston Villa,1:2,A,2.51,3.2,2.91
93,04.05.2013,QPR,Arsenal,0:1,A,8.36,4.87,1.37
93,04.05.2013,Swansea,Manchester City,0:0,D,4.81,3.67,1.75
93,04.05.2013,Tottenham,Southampton,1:0,H,1.5,4.26,6.54
93,04.05.2013,West Brom,Wigan,2:3,A,2.28,3.42,3.07
93,04.05.2013,West Ham,Newcastle,0:0,D,2.21,3.41,3.25
92,29.04.2013,Aston Villa,Sunderland,6:1,H,2.2,3.28,3.42
91,28.04.2013,Arsenal,Manchester United,1:1,D,2.21,3.52,3.16
91,28.04.2013,Chelsea,Swansea,2:0,H,1.37,4.93,8.53
91,28.04.2013,Reading,QPR,0:0,D,2.44,3.43,2.82
90,27.04.2013,Everton,Fulham,1:0,H,1.49,4.22,7.05
90,27.04.2013,Manchester City,West Ham,2:1,H,1.24,6.11,12.65
90,27.04.2013,Newcastle,Liverpool,0:6,A,3.03,3.37,2.35
90,27.04.2013,Southampton,West Brom,0:3,A,1.74,3.73,4.79
90,27.04.2013,Stoke,Norwich,1:0,H,2.1,3.12,3.89
90,27.04.2013,Wigan,Tottenham,2:2,D,3.29,3.4,2.2
89,22.04.2013,Manchester United,Aston Villa,3:0,H,1.24,6.33,11.91
88,21.04.2013,Liverpool,Chelsea,2:2,D,2.13,3.46,3.41
88,21.04.2013,Tottenham,Manchester City,3:1,H,2.75,3.26,2.62
87,20.04.2013,Fulham,Arsenal,0:1,A,5.93,4.11,1.57
87,20.04.2013,Norwich,Reading,2:1,H,1.75,3.62,4.87
87,20.04.2013,QPR,Stoke,0:2,A,2.12,3.23,3.67
87,20.04.2013,Sunderland,Everton,1:0,H,3.29,3.29,2.25
87,20.04.2013,Swansea,Southampton,0:0,D,2.25,3.32,3.24
87,20.04.2013,West Brom,Newcastle,1:1,D,2.34,3.32,3.08
87,20.04.2013,West Ham,Wigan,2:0,H,2.35,3.32,3.06
86,17.04.2013,Fulham,Chelsea,0:3,A,5.04,3.76,1.7
86,17.04.2013,Manchester City,Wigan,1:0,H,1.28,5.67,11.12
86,17.04.2013,West Ham,Manchester United,2:2,D,5.06,3.66,1.72
