Date,Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
95,13.05.2007,Blackburn,Reading,3:3,D,1.92,3.37,3.63
95,13.05.2007,Bolton,Aston Villa,2:2,D,2.05,3.25,3.44
95,13.05.2007,Chelsea,Everton,1:1,D,1.63,3.44,5.31
95,13.05.2007,Liverpool,Charlton,2:2,D,1.32,4.42,9.05
95,13.05.2007,Manchester United,West Ham,0:1,A,1.68,3.34,5.15
95,13.05.2007,Middlesbrough,Fulham,3:1,H,1.82,3.31,4.19
95,13.05.2007,Portsmouth,Arsenal,0:0,D,2.72,3.26,2.38
95,13.05.2007,Sheffield Utd,Wigan,1:2,A,2.19,3.34,3
95,13.05.2007,Tottenham,Manchester City,2:1,H,1.47,3.82,6.91
95,13.05.2007,Watford,Newcastle,1:1,D,2.57,3.23,2.55
94,10.05.2007,Tottenham,Blackburn,1:1,D,1.75,3.39,4.45
93,09.05.2007,Chelsea,Manchester United,0:0,D,2.25,3.25,3.2
92,07.05.2007,Charlton,Tottenham,0:2,A,3.09,3.35,2.16
91,06.05.2007,Arsenal,Chelsea,1:1,D,2.65,3.22,2.57
90,05.05.2007,Aston Villa,Sheffield Utd,3:0,H,1.94,3.22,3.84
90,05.05.2007,Everton,Portsmouth,3:0,H,1.88,3.28,4.01
90,05.05.2007,Fulham,Liverpool,1:0,H,2.8,3.25,2.4
90,05.05.2007,Manchester City,Manchester United,0:1,A,6.57,3.68,1.51
90,05.05.2007,Newcastle,Blackburn,0:2,A,2.31,3.22,2.94
90,05.05.2007,Reading,Watford,0:2,A,1.4,4.09,7.64
90,05.05.2007,West Ham,Bolton,3:1,H,2.06,3.35,3.33
90,05.05.2007,Wigan,Middlesbrough,0:1,A,2.06,3.25,3.4
89,30.04.2007,Reading,Newcastle,1:0,H,1.91,3.32,3.88
88,29.04.2007,Arsenal,Fulham,3:1,H,1.35,4.37,8.73
87,28.04.2007,Blackburn,Charlton,4:1,H,1.89,3.32,3.98
87,28.04.2007,Chelsea,Bolton,2:2,D,1.27,4.87,10.56
87,28.04.2007,Everton,Manchester United,2:4,A,5.05,3.49,1.67
87,28.04.2007,Manchester City,Aston Villa,0:2,A,2.22,3.16,3.11
87,28.04.2007,Middlesbrough,Tottenham,2:3,A,2.73,3.18,2.45
87,28.04.2007,Portsmouth,Liverpool,2:1,H,2.8,3.18,2.44
87,28.04.2007,Sheffield Utd,Watford,1:0,H,1.55,3.65,6.17
87,28.04.2007,Wigan,West Ham,0:3,A,2.23,3.21,3.04
86,22.04.2007,Aston Villa,Portsmouth,0:0,D,2.14,3.21,3.28
86,22.04.2007,Newcastle,Chelsea,0:0,D,7,3.78,1.48
85,21.04.2007,Bolton,Reading,1:3,A,1.81,3.32,4.34
85,21.04.2007,Charlton,Sheffield Utd,1:1,D,2.01,3.25,3.55
85,21.04.2007,Fulham,Blackburn,1:1,D,2.23,3.18,3.07
85,21.04.2007,Liverpool,Wigan,2:0,H,1.39,4.29,7.78
85,21.04.2007,Manchester United,Middlesbrough,1:1,D,1.19,5.74,13.36
85,21.04.2007,Tottenham,Arsenal,2:2,D,2.67,3.17,2.54
85,21.04.2007,Watford,Manchester City,1:1,D,2.7,3.18,2.47
85,21.04.2007,West Ham,Everton,1:0,H,2.44,3.21,2.75
84,18.04.2007,Blackburn,Watford,3:1,H,1.58,3.51,5.87
84,18.04.2007,Liverpool,Middlesbrough,2:0,H,1.34,4.4,8.76
84,18.04.2007,West Ham,Chelsea,1:4,A,6.9,3.86,1.46
83,17.04.2007,Manchester United,Sheffield Utd,2:0,H,1.14,6.53,15.67
83,17.04.2007,Arsenal,Manchester City,3:1,H,1.4,4.14,7.82
82,15.04.2007,Everton,Charlton,2:1,H,1.69,3.42,4.93
82,15.04.2007,Wigan,Tottenham,3:3,D,2.87,3.23,2.31
81,14.04.2007,Arsenal,Bolton,2:1,H,1.66,3.43,5.28
81,14.04.2007,Manchester City,Liverpool,0:0,D,4.42,3.34,1.79
81,14.04.2007,Middlesbrough,Aston Villa,1:3,A,2.13,3.16,3.26
81,14.04.2007,Portsmouth,Newcastle,2:1,H,2.02,3.23,3.57
81,14.04.2007,Reading,Fulham,1:0,H,1.89,3.26,4.01
81,14.04.2007,Sheffield Utd,West Ham,3:0,H,2.39,3.2,2.78
80,09.04.2007,Aston Villa,Wigan,1:1,D,1.93,3.21,3.83
80,09.04.2007,Bolton,Everton,1:1,D,2.16,3.2,3.23
80,09.04.2007,Charlton,Reading,0:0,D,2.17,3.17,3.07
80,09.04.2007,Fulham,Manchester City,1:3,A,2.21,3.22,3.09
80,09.04.2007,Newcastle,Arsenal,0:0,D,3.45,3.21,2.05
80,09.04.2007,Watford,Portsmouth,4:2,H,3,3.24,2.26
79,07.04.2007,Arsenal,West Ham,0:1,A,1.42,4.12,7.27
79,07.04.2007,Blackburn,Aston Villa,1:2,A,1.97,3.16,3.84
79,07.04.2007,Chelsea,Tottenham,1:0,H,1.41,4.06,7.54
79,07.04.2007,Middlesbrough,Watford,4:1,H,1.67,3.42,5.19
79,07.04.2007,Portsmouth,Manchester United,2:1,H,6.21,3.59,1.55
79,07.04.2007,Reading,Liverpool,1:2,A,4.18,3.31,1.84
79,07.04.2007,Sheffield Utd,Newcastle,1:2,A,2.28,3.21,2.96
79,07.04.2007,Wigan,Bolton,1:3,A,2.46,3.16,2.74
78,06.04.2007,Everton,Fulham,4:1,H,1.67,3.39,5.41
78,06.04.2007,Manchester City,Charlton,0:0,D,1.98,3.26,3.71
77,02.04.2007,Aston Villa,Everton,1:1,D,2.32,3.11,2.97
76,01.04.2007,Tottenham,Reading,1:0,H,1.72,3.34,4.91
75,31.03.2007,Bolton,Sheffield Utd,1:0,H,1.64,3.46,5.33
75,31.03.2007,Charlton,Wigan,1:0,H,2.17,3.18,3.23
75,31.03.2007,Fulham,Portsmouth,1:1,D,2.26,3.14,3.06
75,31.03.2007,Liverpool,Arsenal,4:1,H,2.13,3.11,3.23
75,31.03.2007,Manchester United,Blackburn,4:1,H,1.32,4.56,9.62
75,31.03.2007,Newcastle,Manchester City,0:1,A,1.97,3.24,3.74
75,31.03.2007,Watford,Chelsea,0:1,A,10.75,4.83,1.27
75,31.03.2007,West Ham,Middlesbrough,2:0,H,2.11,3.27,3.25
74,18.03.2007,Aston Villa,Liverpool,0:0,D,4.11,3.26,1.86
74,18.03.2007,Charlton,Newcastle,2:0,H,2.36,3.2,2.82
74,18.03.2007,Everton,Arsenal,1:0,H,3.26,3.22,3
73,17.03.2007,Blackburn,West Ham,1:2,A,1.65,3.46,5.18
73,17.03.2007,Chelsea,Sheffield Utd,3:0,H,1.18,5.82,14.64
73,17.03.2007,Manchester United,Bolton,4:1,H,1.34,4.34,9.13
73,17.03.2007,Middlesbrough,Manchester City,0:2,A,2.14,3.15,3.35
73,17.03.2007,Reading,Portsmouth,0:0,D,1.92,3.28,3.83
73,17.03.2007,Tottenham,Watford,3:1,H,1.44,3.84,7.57
73,17.03.2007,Wigan,Fulham,0:0,D,2.04,3.18,3.43
72,14.03.2007,Aston Villa,Arsenal,0:1,A,3.59,3.14,2.01
72,14.03.2007,Manchester City,Chelsea,0:1,A,6.97,3.78,1.48
