Date,League,Home_Team,Away_Team,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
2020-09-20,championship,Stoke City,Bristol City,1.08,7,1.4,2.55,2.3,1.57,4,1.2,7.5,1.05,0,0
2020-09-20,championship,Stoke City,Bristol City,1.08,7,1.4,2.55,2.25,1.57,4,1.2,7.5,1.05,0,0
2020-09-19,championship,Nottingham Forest,Cardiff City,1.06,8.5,1.33,2.9,2.05,1.67,3.5,1.25,6.5,1.08,0,0
2020-09-19,championship,Blackburn Rovers,Wycombe Wanderers,1.08,7.5,1.4,2.55,2.25,1.57,4,1.2,7.5,1.06,0,0
2020-09-19,championship,Brentford FC,Huddersfield Town,1.05,9,1.3,3,1.95,1.8,3.25,1.3,6,1.1,0,0
2020-09-19,championship,Luton Town,Derby County,1.05,10,1.3,3,1.95,1.8,3.25,1.3,6,1.1,0,0
2020-09-19,championship,Middlesbrough FC,AFC Bournemouth,1.05,9,1.28,3.2,1.95,1.8,3.2,1.3,6,1.1,0,0
2020-09-19,championship,Norwich City FC,Preston North End,1.07,8,1.36,2.7,2.15,1.62,3.75,1.22,7,1.07,0,0
2020-09-19,championship,Reading FC,Barnsley,1.04,10,1.28,3.25,1.87,1.83,3,1.33,5.5,1.11,0,0
2020-09-19,championship,Rotherham United,Millwall FC,1.06,8.5,1.3,3,2,1.75,3.4,1.28,6.5,1.09,0,0
2020-09-19,championship,Sheffield Wednesday,Watford FC,1.09,6.5,1.44,2.45,2.35,1.53,4.25,1.18,8,1.05,0,0
2020-09-19,championship,Swansea City,Birmingham City,1.08,7,1.4,2.55,2.25,1.57,4,1.2,7.5,1.05,0,0
2020-09-19,championship,Nottingham Forest,Cardiff City,1.07,8,1.36,2.8,2.1,1.67,3.6,1.25,6.5,1.07,0,0
2020-09-19,championship,Blackburn Rovers,Wycombe Wanderers,1.06,8.5,1.33,2.9,2.05,1.67,3.5,1.25,6.5,1.08,0,0
2020-09-19,championship,Brentford FC,Huddersfield Town,1.08,7.5,1.4,2.55,2.25,1.57,4,1.2,7.5,1.06,0,0
2020-09-19,championship,Luton Town,Derby County,1.05,9,1.3,3,1.95,1.8,3.25,1.3,6,1.1,0,0
2020-09-19,championship,Middlesbrough FC,AFC Bournemouth,1.05,10,1.3,3,1.95,1.8,3.25,1.3,6,1.1,0,0
2020-09-19,championship,Norwich City FC,Preston North End,1.05,9,1.28,3.2,1.95,1.8,3.2,1.3,6,1.1,0,0
2020-09-19,championship,Reading FC,Barnsley,1.07,8,1.36,2.7,2.15,1.62,3.75,1.22,7,1.07,0,0
2020-09-19,championship,Rotherham United,Millwall FC,1.04,10,1.28,3.25,1.87,1.83,3,1.33,5.5,1.11,0,0
2020-09-19,championship,Sheffield Wednesday,Watford FC,1.06,8.5,1.3,3,2,1.75,3.4,1.28,6.5,1.09,0,0
2020-09-19,championship,Swansea City,Birmingham City,1.09,6.5,1.44,2.45,2.35,1.53,4.25,1.18,8,1.05,0,0
