Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
03.04.,2021,Granada CF,Rayo Vallecano,2,2,2.76,3.05,2.81
03.04.,2021,Valencia,Cadiz CF,0,0,2.08,3.18,3.97
02.04.,2021,Atl. Madrid,Alaves,4,1,1.38,4.68,9.32
02.04.,2021,Celta Vigo,Real Madrid,1,2,4.36,3.70,1.82
02.04.,2021,Getafe,Mallorca,1,0,1.99,3.09,4.48
02.04.,2021,Levante,Villarreal,2,0,5.06,4.15,1.65
20.03.,2021,Cadiz CF,Villarreal,1,0,3.62,3.34,2.13
20.03.,2021,Celta Vigo,Betis,0,0,2.16,3.35,3.54
20.03.,2021,Espanyol,Mallorca,1,0,2.17,3.31,3.52
20.03.,2021,Real Madrid,Barcelona,0,4,2.29,3.45,3.14
20.03.,2021,Sevilla,Real Sociedad,0,0,2.13,3.15,3.83
19.03.,2021,Alaves,Granada CF,2,3,2.00,3.30,4.15
19.03.,2021,Elche,Valencia,0,1,2.72,3.13,2.78
19.03.,2021,Osasuna,Levante,3,1,1.89,3.54,4.30
19.03.,2021,Rayo Vallecano,Atl. Madrid,0,1,4.05,3.16,2.07
18.03.,2021,Ath Bilbao,Getafe,1,1,1.68,3.42,6.37
14.03.,2021,Mallorca,Real Madrid,0,3,5.92,4.18,1.57
13.03.,2021,Barcelona,Osasuna,4,0,1.32,5.44,9.85
13.03.,2021,Betis,Ath Bilbao,1,0,2.48,3.22,3.03
13.03.,2021,Rayo Vallecano,Sevilla,1,1,3.18,3.10,2.46
13.03.,2021,Real Sociedad,Alaves,1,0,1.64,3.70,6.07
12.03.,2021,Getafe,Valencia,0,0,2.19,2.99,3.90
12.03.,2021,Granada CF,Elche,0,1,2.37,3.09,3.32
12.03.,2021,Levante,Espanyol,1,1,2.24,3.34,3.33
12.03.,2021,Villarreal,Celta Vigo,1,0,1.62,4.21,5.28
11.03.,2021,Atl. Madrid,Cadiz CF,2,1,1.36,4.66,10.42
07.03.,2021,Ath Bilbao,Levante,3,1,1.51,4.28,6.62
06.03.,2021,Betis,Atl. Madrid,1,3,3.49,3.22,2.23
06.03.,2021,Cadiz CF,Rayo Vallecano,2,0,2.48,3.03,3.18
06.03.,2021,Celta Vigo,Mallorca,4,3,1.94,3.26,4.50
06.03.,2021,Elche,Barcelona,1,2,8.07,4.82,1.40
05.03.,2021,Espanyol,Getafe,2,0,2.20,3.06,3.76
05.03.,2021,Osasuna,Villarreal,1,0,3.41,3.30,2.23
05.03.,2021,Real Madrid,Real Sociedad,4,1,1.51,4.44,6.36
05.03.,2021,Valencia,Granada CF,3,1,1.85,3.61,4.35
04.03.,2021,Alaves,Sevilla,0,0,4.51,3.15,1.97
02.03.,2021,Mallorca,Real Sociedad,0,2,3.19,3.10,2.44
28.02.,2021,Granada CF,Cadiz CF,0,0,2.13,3.14,3.90
27.02.,2021,Barcelona,Ath Bilbao,4,0,1.51,4.24,6.73
27.02.,2021,Real Sociedad,Osasuna,1,0,2.26,3.03,3.64
27.02.,2021,Sevilla,Betis,2,1,2.24,3.20,3.50
27.02.,2021,Villarreal,Espanyol,5,1,1.53,4.31,6.33
26.02.,2021,Atl. Madrid,Celta Vigo,2,0,1.73,3.47,5.62
26.02.,2021,Getafe,Alaves,2,2,1.94,3.02,4.99
26.02.,2021,Mallorca,Valencia,0,1,2.33,3.21,3.29
26.02.,2021,Rayo Vallecano,Real Madrid,0,1,6.04,4.17,1.56
25.02.,2021,Levante,Elche,3,0,2.07,3.35,3.83
21.02.,2021,Celta Vigo,Levante,1,1,1.63,3.94,5.58
20.02.,2021,Ath Bilbao,Real Sociedad,4,0,2.24,3.04,3.64
20.02.,2021,Betis,Mallorca,2,1,1.55,4.20,6.12
20.02.,2021,Espanyol,Sevilla,1,1,3.71,3.12,2.19
20.02.,2021,Valencia,Barcelona,1,4,3.70,3.73,1.98
19.02.,2021,Cadiz CF,Getafe,1,1,3.10,2.78,2.75
19.02.,2021,Granada CF,Villarreal,1,4,4.29,3.53,1.89
19.02.,2021,Osasuna,Atl. Madrid,0,3,3.62,3.11,2.23
19.02.,2021,Real Madrid,Alaves,3,0,1.20,6.96,14.54
18.02.,2021,Elche,Rayo Vallecano,2,1,3.02,2.94,2.67
16.02.,2021,Atl. Madrid,Levante,0,1,1.26,5.82,12.57
14.02.,2021,Mallorca,Ath Bilbao,3,2,3.08,2.96,2.62
13.02.,2021,Alaves,Valencia,2,1,2.63,3.06,2.96
13.02.,2021,Espanyol,Barcelona,2,2,5.26,4.12,1.63
13.02.,2021,Levante,Betis,2,4,3.25,3.48,2.20
13.02.,2021,Real Sociedad,Granada CF,2,0,1.36,4.87,9.73
12.02.,2021,Atl. Madrid,Getafe,4,3,1.49,3.97,7.95
12.02.,2021,Cadiz CF,Celta Vigo,0,0,4.07,3.23,2.04
12.02.,2021,Rayo Vallecano,Osasuna,0,3,2.16,3.09,3.83
12.02.,2021,Villarreal,Real Madrid,0,0,2.75,3.32,2.63
11.02.,2021,Sevilla,Elche,2,0,1.41,4.42,9.49
07.02.,2021,Ath Bilbao,Espanyol,2,1,1.61,3.75,6.23
06.02.,2021,Barcelona,Atl. Madrid,4,2,2.34,3.29,3.21
06.02.,2021,Betis,Villarreal,0,2,2.45,3.45,2.89
06.02.,2021,Real Madrid,Granada CF,1,0,1.26,5.87,11.75
06.02.,2021,Valencia,Real Sociedad,0,0,3.71,3.26,2.13
05.02.,2021,Celta Vigo,Rayo Vallecano,2,0,1.96,3.36,4.21
05.02.,2021,Elche,Alaves,3,1,2.42,2.97,3.35
05.02.,2021,Mallorca,Cadiz CF,2,1,1.89,3.32,4.69
05.02.,2021,Osasuna,Sevilla,0,0,3.69,3.02,2.25
04.02.,2021,Getafe,Levante,3,0,2.06,3.06,4.29
23.01.,2021,Alaves,Barcelona,0,1,5.42,3.85,1.66
23.01.,2021,Granada CF,Osasuna,0,2,2.58,3.08,2.99
23.01.,2021,Rayo Vallecano,Ath Bilbao,0,1,2.70,2.95,2.96
23.01.,2021,Real Madrid,Elche,2,2,1.17,7.60,15.89
23.01.,2021,Real Sociedad,Getafe,0,0,1.76,3.32,5.65
22.01.,2021,Atl. Madrid,Valencia,3,2,1.41,4.53,8.51
22.01.,2021,Levante,Cadiz CF,0,2,1.74,3.69,5.00
22.01.,2021,Sevilla,Celta Vigo,2,2,1.92,3.29,4.51
22.01.,2021,Villarreal,Mallorca,3,0,1.53,4.14,6.69
21.01.,2021,Espanyol,Betis,1,4,3.08,3.41,2.33
20.01.,2021,Getafe,Granada CF,4,2,2.03,3.05,4.39
19.01.,2021,Celta Vigo,Osasuna,2,0,1.78,3.56,4.85
19.01.,2021,Valencia,Sevilla,1,1,3.14,3.07,2.48
18.01.,2021,Betis,Alaves,4,0,1.54,4.17,6.13
18.01.,2021,Cadiz CF,Espanyol,2,2,3.07,3.10,2.51
16.01.,2021,Elche,Villarreal,1,0,5.71,4.00,1.60
10.01.,2021,Espanyol,Elche,1,2,1.78,3.61,4.81
09.01.,2021,Alaves,Ath Bilbao,0,0,4.03,3.31,2.01
09.01.,2021,Osasuna,Cadiz CF,2,0,1.62,3.66,6.49
09.01.,2021,Rayo Vallecano,Betis,1,1,2.81,3.37,2.53
09.01.,2021,Sevilla,Getafe,1,0,1.56,3.64,7.66
09.01.,2021,Villarreal,Atl. Madrid,2,2,2.58,3.18,2.89
08.01.,2021,Granada CF,Barcelona,1,1,4.66,3.93,1.73
08.01.,2021,Levante,Mallorca,2,0,2.14,3.25,3.66
08.01.,2021,Real Madrid,Valencia,4,1,1.35,5.31,8.56
08.01.,2021,Real Sociedad,Celta Vigo,1,0,1.86,3.50,4.48
03.01.,2021,Cadiz CF,Sevilla,0,1,6.07,3.53,1.67
03.01.,2021,Osasuna,Ath Bilbao,1,3,3.41,2.91,2.44
03.01.,2021,Villarreal,Levante,5,0,1.39,5.07,7.61
02.01.,2021,Alaves,Real Sociedad,1,1,4.52,3.36,1.90
02.01.,2021,Atl. Madrid,Rayo Vallecano,2,0,1.44,4.29,8.29
02.01.,2021,Betis,Celta Vigo,0,2,1.82,3.71,4.35
02.01.,2021,Elche,Granada CF,0,0,2.47,3.15,3.09
02.01.,2021,Getafe,Real Madrid,1,0,6.42,4.03,1.55
02.01.,2021,Mallorca,Barcelona,0,1,3.77,3.20,2.15
31.12.2021,2021,Valencia,Espanyol,1,2,1.81,3.72,4.49
22.12.2021,2021,Ath Bilbao,Real Madrid,1,2,3.25,3.44,2.21
22.12.2021,2021,Granada CF,Atl. Madrid,2,1,6.35,4.00,1.56
21.12.2021,2021,Sevilla,Barcelona,1,1,2.42,3.17,3.13
21.12.2021,2021,Villarreal,Alaves,5,2,1.39,4.88,8.05
20.12.2021,2021,Levante,Valencia,3,4,2.98,3.34,2.42
19.12.2021,2021,Ath Bilbao,Betis,3,2,2.16,3.42,3.41
19.12.2021,2021,Getafe,Osasuna,1,0,2.28,2.91,3.77
19.12.2021,2021,Granada CF,Mallorca,4,1,2.42,3.10,3.20
19.12.2021,2021,Real Madrid,Cadiz CF,0,0,1.11,9.82,24.97
18.12.2021,2021,Barcelona,Elche,3,2,1.29,5.51,10.82
18.12.2021,2021,Rayo Vallecano,Alaves,2,0,1.72,3.60,5.31
18.12.2021,2021,Real Sociedad,Villarreal,1,3,2.23,3.28,3.40
18.12.2021,2021,Sevilla,Atl. Madrid,2,1,2.94,2.93,2.73
17.12.2021,2021,Celta Vigo,Espanyol,3,1,1.96,3.40,4.07
13.12.2021,2021,Cadiz CF,Granada CF,1,1,2.60,3.05,2.98
12.12.2021,2021,Betis,Real Sociedad,4,0,2.30,3.30,3.23
12.12.2021,2021,Osasuna,Barcelona,2,2,4.10,3.39,1.98
12.12.2021,2021,Real Madrid,Atl. Madrid,2,0,1.88,3.56,4.32
12.12.2021,2021,Villarreal,Rayo Vallecano,2,0,1.75,3.81,4.70
11.12.2021,2021,Alaves,Getafe,1,1,2.54,2.80,3.40
11.12.2021,2021,Ath Bilbao,Sevilla,0,1,2.43,2.92,3.39
