"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2013-08-17,"Arsenal","Aston Villa","Liverpool","Stoke","A","D","7.66","4.48",34.3168,0
2013-08-17,"Arsenal","Aston Villa","Liverpool","Stoke","D","A","4.71","8.85",41.6835,0
2013-08-18,"Chelsea","Hull City","Crystal Palace","Tottenham","D","H","6.4","5.64",36.096,0
2013-08-18,"Chelsea","Hull City","Crystal Palace","Tottenham","A","D","14.76","3.7",54.612,0
2013-08-24,"Everton","West Brom","Southampton","Sunderland","A","A","6.27","5.62",35.2374,0
2013-08-25,"Cardiff","Manchester City","Tottenham","Swansea","H","A","7.86","5.22",41.0292,0
2013-08-31,"Cardiff","Everton","Manchester City","Hull City","H","A","3.24","16.05",52.002,0
2013-08-31,"Cardiff","Everton","Manchester City","Hull City","D","A","3.28","16.05",52.644,0
2013-08-31,"Cardiff","Everton","Manchester City","Hull City","A","A","2.27","16.05",36.4335,0
2013-08-31,"Crystal Palace","Sunderland","Manchester City","Hull City","H","A","2.45","16.05",39.3225,0
2013-08-31,"Crystal Palace","Sunderland","Manchester City","Hull City","D","A","3.22","16.05",51.681,0
2013-08-31,"Crystal Palace","Sunderland","Manchester City","Hull City","A","A","3","16.05",48.15,0
2013-08-31,"Manchester City","Hull City","Newcastle","Fulham","A","H","16.05","2.12",34.026,0
2013-08-31,"Manchester City","Hull City","Newcastle","Fulham","A","D","16.05","3.3",52.965,0
2013-08-31,"Manchester City","Hull City","Norwich","Southampton","A","H","16.05","2.84",45.582,0
2013-08-31,"Manchester City","Hull City","Norwich","Southampton","A","D","16.05","3.28",52.644,0
2013-08-31,"Manchester City","Hull City","Norwich","Southampton","A","A","16.05","2.51",40.2855,0
2013-08-31,"Manchester City","Hull City","West Ham","Stoke","A","D","16.05","3.36",53.928,0
2013-09-14,"Aston Villa","Newcastle","Manchester United","Crystal Palace","D","A","3.38","16.21",54.7898,0
2013-09-14,"Everton","Chelsea","Manchester United","Crystal Palace","H","A","3.3","16.21",53.493,0
2013-09-14,"Everton","Chelsea","Manchester United","Crystal Palace","D","A","3.35","16.21",54.3035,0
2013-09-14,"Everton","Chelsea","Manchester United","Crystal Palace","A","A","2.23","16.21",36.1483,0
2013-09-14,"Fulham","West Brom","Manchester United","Crystal Palace","H","A","2.14","16.21",34.6894,0
2013-09-14,"Fulham","West Brom","Manchester United","Crystal Palace","D","A","3.36","16.21",54.4656,0
2013-09-14,"Fulham","West Brom","Manchester United","Crystal Palace","A","A","3.49","16.21",56.5729,0
2013-09-14,"Hull City","Cardiff","Manchester United","Crystal Palace","H","A","2.19","16.21",35.4999,0
2013-09-14,"Hull City","Cardiff","Manchester United","Crystal Palace","D","A","3.2","16.21",51.872,0
2013-09-14,"Manchester United","Crystal Palace","Stoke","Manchester City","D","H","7.2","5.51",39.672,0
2013-09-14,"Manchester United","Crystal Palace","Sunderland","Arsenal","D","H","7.2","5.59",40.248,0
2013-09-14,"Manchester United","Crystal Palace","Tottenham","Norwich","D","A","7.2","7.79",56.088,0
2013-09-14,"Stoke","Manchester City","Tottenham","Norwich","H","A","5.51","7.79",42.9229,0
2013-09-14,"Sunderland","Arsenal","Tottenham","Norwich","H","A","5.59","7.79",43.5461,0
2013-09-21,"Chelsea","Fulham","Liverpool","Southampton","A","D","11.2","3.67",41.104,0
2013-09-21,"Chelsea","Fulham","Newcastle","Hull City","A","D","11.2","3.47",38.864,0
2013-09-21,"Chelsea","Fulham","Newcastle","Hull City","A","A","11.2","4.94",55.328,0
2013-09-21,"Chelsea","Fulham","Norwich","Aston Villa","A","D","11.2","3.27",36.624,0
2013-09-21,"Chelsea","Fulham","Norwich","Aston Villa","A","A","11.2","3.1",34.72,0
2013-09-21,"Chelsea","Fulham","West Brom","Sunderland","A","D","11.2","3.37",37.744,0
2013-09-21,"Chelsea","Fulham","West Brom","Sunderland","A","A","11.2","3.71",41.552,0
2013-09-21,"Chelsea","Fulham","West Ham","Everton","A","H","11.2","3.18",35.616,0
2013-09-21,"Chelsea","Fulham","West Ham","Everton","A","D","11.2","3.25",36.4,0
2013-09-22,"Arsenal","Stoke","Cardiff","Tottenham","A","H","8.68","4.22",36.6296,0
2013-09-28,"Aston Villa","Manchester City","Manchester United","West Brom","H","D","6.78","5.37",36.4086,0
2013-09-28,"Aston Villa","Manchester City","Manchester United","West Brom","D","A","4.13","10.72",44.2736,0
2013-09-28,"Aston Villa","Manchester City","Southampton","Crystal Palace","H","A","6.78","7.77",52.6806,1
2013-09-28,"Fulham","Cardiff","Manchester United","West Brom","D","A","3.3","10.72",35.376,0
2013-09-28,"Fulham","Cardiff","Manchester United","West Brom","A","A","3.74","10.72",40.0928,0
2013-09-28,"Hull City","West Ham","Manchester United","West Brom","D","A","3.18","10.72",34.0896,0
2013-09-28,"Hull City","West Ham","Manchester United","West Brom","A","A","3.35","10.72",35.912,0
2013-09-28,"Manchester United","West Brom","Southampton","Crystal Palace","A","D","10.72","4.3",46.096,0
2013-09-28,"Manchester United","West Brom","Southampton","Crystal Palace","D","A","5.37","7.77",41.7249,0
2013-09-28,"Manchester United","West Brom","Swansea","Arsenal","A","D","10.72","3.35",35.912,0
2013-09-28,"Manchester United","West Brom","Tottenham","Chelsea","A","D","10.72","3.21",34.4112,0
2013-10-05,"Cardiff","Newcastle","Liverpool","Crystal Palace","H","A","2.36","15.98",37.7128,0
2013-10-05,"Cardiff","Newcastle","Liverpool","Crystal Palace","D","A","3.33","15.98",53.2134,0
2013-10-05,"Cardiff","Newcastle","Liverpool","Crystal Palace","A","A","3.04","15.98",48.5792,0
2013-10-05,"Fulham","Stoke","Liverpool","Crystal Palace","H","A","2.5","15.98",39.95,0
2013-10-05,"Fulham","Stoke","Liverpool","Crystal Palace","D","A","3.18","15.98",50.8164,0
2013-10-05,"Fulham","Stoke","Liverpool","Crystal Palace","A","A","2.96","15.98",47.3008,0
2013-10-05,"Hull City","Aston Villa","Liverpool","Crystal Palace","H","A","2.27","15.98",36.2746,0
2013-10-05,"Hull City","Aston Villa","Liverpool","Crystal Palace","D","A","3.18","15.98",50.8164,0
2013-10-05,"Hull City","Aston Villa","Liverpool","Crystal Palace","A","A","3.38","15.98",54.0124,0
2013-10-05,"Liverpool","Crystal Palace","Manchester City","Everton","D","A","6.96","5.71",39.7416,0
2013-10-05,"Liverpool","Crystal Palace","Sunderland","Manchester United","D","H","6.96","6.3",43.848,0
2013-10-05,"Manchester City","Everton","Sunderland","Manchester United","A","H","5.71","6.3",35.973,1
2013-10-06,"Norwich","Chelsea","Tottenham","West Ham","H","A","6.16","8.04",49.5264,0
2013-10-06,"Tottenham","West Ham","West Brom","Arsenal","A","H","8.04","4.88",39.2352,1
2013-10-19,"Arsenal","Norwich","Everton","Hull City","A","D","10.89","4.1",44.649,0
2013-10-19,"Arsenal","Norwich","Everton","Hull City","D","A","5.46","7.07",38.6022,0
2013-10-19,"Arsenal","Norwich","Manchester United","Southampton","A","D","10.89","4.09",44.5401,0
2013-10-19,"Arsenal","Norwich","Manchester United","Southampton","D","A","5.46","6.4",34.944,0
2013-10-19,"Arsenal","Norwich","Newcastle","Liverpool","A","H","10.89","4.19",45.6291,0
2013-10-19,"Arsenal","Norwich","Newcastle","Liverpool","A","D","10.89","3.73",40.6197,0
2013-10-19,"Arsenal","Norwich","Stoke","West Brom","A","D","10.89","3.2",34.848,0
2013-10-19,"Arsenal","Norwich","Swansea","Sunderland","A","D","10.89","4.03",43.8867,0
2013-10-19,"Arsenal","Norwich","West Ham","Manchester City","A","D","10.89","3.84",41.8176,0
2013-10-19,"Chelsea","Cardiff","Everton","Hull City","A","D","11.17","4.1",45.797,0
2013-10-19,"Chelsea","Cardiff","Everton","Hull City","D","A","5.6","7.07",39.592,0
2013-10-19,"Chelsea","Cardiff","Manchester United","Southampton","A","D","11.17","4.09",45.6853,0
2013-10-19,"Chelsea","Cardiff","Manchester United","Southampton","D","A","5.6","6.4",35.84,0
2013-10-19,"Chelsea","Cardiff","Newcastle","Liverpool","A","H","11.17","4.19",46.8023,0
2013-10-19,"Chelsea","Cardiff","Newcastle","Liverpool","A","D","11.17","3.73",41.6641,0
2013-10-19,"Chelsea","Cardiff","Stoke","West Brom","A","D","11.17","3.2",35.744,0
2013-10-19,"Chelsea","Cardiff","Swansea","Sunderland","A","D","11.17","4.03",45.0151,0
2013-10-19,"Chelsea","Cardiff","Swansea","Sunderland","D","A","5.6","6.21",34.776,0
2013-10-19,"Chelsea","Cardiff","West Ham","Manchester City","A","D","11.17","3.84",42.8928,0
2013-10-19,"Everton","Hull City","Manchester United","Southampton","A","A","7.07","6.4",45.248,0
2013-10-19,"Everton","Hull City","Swansea","Sunderland","A","A","7.07","6.21",43.9047,0
2013-10-19,"Everton","Hull City","West Ham","Manchester City","A","H","7.07","5.3",37.471,0
2013-10-19,"Manchester United","Southampton","Swansea","Sunderland","A","A","6.4","6.21",39.744,0
2013-10-26,"Aston Villa","Everton","Crystal Palace","Arsenal","H","H","3.29","11.47",37.7363,0
2013-10-26,"Aston Villa","Everton","Crystal Palace","Arsenal","D","H","3.31","11.47",37.9657,0
2013-10-26,"Crystal Palace","Arsenal","Liverpool","West Brom","H","D","11.47","4.8",55.056,0
2013-10-26,"Crystal Palace","Arsenal","Liverpool","West Brom","D","A","5.51","7.81",43.0331,0
2013-10-26,"Crystal Palace","Arsenal","Manchester United","Stoke","D","A","5.51","10.11",55.7061,0
2013-10-26,"Crystal Palace","Arsenal","Norwich","Cardiff","H","D","11.47","3.37",38.6539,0
2013-10-26,"Crystal Palace","Arsenal","Norwich","Cardiff","H","A","11.47","3.75",43.0125,0
2013-10-26,"Crystal Palace","Arsenal","Southampton","Fulham","H","D","11.47","3.94",45.1918,0
2013-10-26,"Liverpool","West Brom","Manchester United","Stoke","A","D","7.81","5.11",39.9091,0
2013-10-26,"Liverpool","West Brom","Manchester United","Stoke","D","A","4.8","10.11",48.528,0
2013-10-26,"Liverpool","West Brom","Southampton","Fulham","A","A","7.81","5.82",45.4542,1
