Exact_Date,HomeTeam,AwayTeam,Score,Home odds,Draw odds,Away odds
12.05.2019,Brighton , Manchester City,1:04,15.42,7.74,1.18
12.05.2019,Burnley , Arsenal,1:03,2.52,3.61,2.74
12.05.2019,Crystal Palace , Bournemouth,5:03,1.77,4.24,4.19
12.05.2019,Fulham , Newcastle,0:04,2.43,3.52,2.91
12.05.2019,Leicester , Chelsea,0:00,2.39,3.61,2.9
12.05.2019,Liverpool , Wolves,2:00,1.31,5.78,9.91
12.05.2019,Manchester Utd , Cardiff,0:02,1.3,5.97,9.57
12.05.2019,Southampton , Huddersfield,1:01,1.39,5.03,8.16
12.05.2019,Tottenham , Everton,2:02,1.9,3.72,4.12
12.05.2019,Watford , West Ham,1:04,2.1,3.76,3.37
06.05.2019,Manchester City , Leicester,1:00,1.17,8.63,15.1
05.05.2019,Arsenal , Brighton,1:01,1.27,5.88,11.79
05.05.2019,Chelsea , Watford,3:00,1.3,5.84,10.04
05.05.2019,Huddersfield , Manchester Utd,1:01,9.56,5.56,1.32
04.05.2019,Bournemouth , Tottenham,1:00,5.7,4.55,1.56
04.05.2019,Cardiff , Crystal Palace,2:03,2.55,3.69,2.66
04.05.2019,Newcastle , Liverpool,2:03,9.1,5.39,1.34
04.05.2019,West Ham , Southampton,3:00,2.3,3.57,3.07
04.05.2019,Wolves , Fulham,1:00,1.48,4.33,7.47
03.05.2019,Everton , Burnley,2:00,1.66,3.87,5.62
28.04.2019,Burnley , Manchester City,0:01,17.04,8.67,1.15
28.04.2019,Leicester , Arsenal,3:00,2.63,3.59,2.61
28.04.2019,Manchester Utd , Chelsea,1:01,2.68,3.33,2.72
27.04.2019,Brighton , Newcastle,1:01,2.2,3.23,3.63
27.04.2019,Crystal Palace , Everton,0:00,2.96,3.37,2.46
27.04.2019,Fulham , Cardiff,1:00,2.22,3.59,3.23
27.04.2019,Southampton , Bournemouth,3:03,1.79,3.9,4.43
27.04.2019,Tottenham , West Ham,0:01,1.35,5.34,8.74
27.04.2019,Watford , Wolves,1:02,2.67,3.19,2.84
26.04.2019,Liverpool , Huddersfield,5:00,1.06,14.6,36.06
24.04.2019,Manchester Utd , Manchester City,0:02,6.35,4.64,1.5
24.04.2019,Wolves , Arsenal,3:01,2.72,3.37,2.66
23.04.2019,Tottenham , Brighton,1:00,1.25,6.06,12.86
23.04.2019,Watford , Southampton,1:01,2.18,3.41,3.47
22.04.2019,Chelsea , Burnley,2:02,1.22,6.5,14.11
21.04.2019,Arsenal , Crystal Palace,2:03,1.51,4.61,6.3
21.04.2019,Cardiff , Liverpool,0:02,15.81,7.55,1.18
21.04.2019,Everton , Manchester Utd,4:00,3.21,3.48,2.27
20.04.2019,Bournemouth , Fulham,0:01,1.7,4.14,4.74
20.04.2019,Huddersfield , Watford,1:02,4.04,3.54,1.96
20.04.2019,Manchester City , Tottenham,1:00,1.27,6.29,10.71
20.04.2019,Newcastle , Southampton,3:01,2.44,3.05,3.3
20.04.2019,West Ham , Leicester,2:02,3.21,3.53,2.24
20.04.2019,Wolves , Brighton,0:00,1.93,3.18,4.82
16.04.2019,Brighton , Cardiff,0:02,1.99,3.25,4.35
15.04.2019,Watford , Arsenal,0:01,3.56,3.67,2.06
14.04.2019,Crystal Palace , Manchester City,1:03,12.69,6.7,1.23
14.04.2019,Liverpool , Chelsea,2:00,1.73,3.77,5.17
13.04.2019,Brighton , Bournemouth,0:05,2.28,3.25,3.39
13.04.2019,Burnley , Cardiff,2:00,1.85,3.57,4.59
13.04.2019,Fulham , Everton,2:00,4.91,4.11,1.69
13.04.2019,Manchester Utd , West Ham,2:01,1.32,5.7,9.34
13.04.2019,Southampton , Wolves,3:01,2.7,3.12,2.85
13.04.2019,Tottenham , Huddersfield,4:00,1.2,6.74,16.35
12.04.2019,Leicester , Newcastle,0:01,1.66,3.81,5.74
08.04.2019,Chelsea , West Ham,2:00,1.23,6.57,12.81
07.04.2019,Everton , Arsenal,1:00,2.84,3.49,2.49
06.04.2019,Bournemouth , Burnley,1:03,2.04,3.51,3.77
06.04.2019,Huddersfield , Leicester,1:04,5.35,4.03,1.65
06.04.2019,Newcastle , Crystal Palace,0:01,2.68,3.12,2.88
05.04.2019,Southampton , Liverpool,1:03,8.58,5.09,1.37
03.04.2019,Manchester City , Cardiff,2:00,1.07,14.4,30.98
03.04.2019,Tottenham , Crystal Palace,2:00,1.48,4.53,7.03
03.04.2019,Chelsea , Brighton,3:00,1.28,5.53,12.47
02.04.2019,Watford , Fulham,4:01,1.72,3.82,5.05
02.04.2019,Wolves , Manchester Utd,2:01,3.23,3.19,2.4
01.04.2019,Arsenal , Newcastle,2:00,1.41,4.76,8.21
31.03.2019,Cardiff , Chelsea,1:02,8.66,4.7,1.41
31.03.2019,Liverpool , Tottenham,2:01,1.56,4.34,5.9
30.03.2019,Brighton , Southampton,0:01,2.52,3.1,3.12
30.03.2019,Burnley , Wolves,2:00,2.9,3.1,2.67
30.03.2019,Crystal Palace , Huddersfield,2:00,1.47,4.32,7.91
30.03.2019,Fulham , Manchester City,0:02,20.03,10.59,1.12
30.03.2019,Leicester , Bournemouth,2:00,1.8,3.84,4.49
30.03.2019,Manchester Utd , Watford,2:01,1.39,5.04,8.17
30.03.2019,West Ham , Everton,0:02,2.64,3.32,2.75
17.03.2019,Everton , Chelsea,2:00,4.5,3.69,1.83
