Exact_Date,HomeTeam,AwayTeam,Score,Home odds,Draw odds,Away odds
14.05.2000,Aston Villa,Manchester United,0:01,3,3.1,2.29
14.05.2000,Bradford,Liverpool,1:00,3.7,3.7,1.92
14.05.2000,Chelsea,Derby,4:00,1.54,3.8,6.6
14.05.2000,Everton,Middlesbrough,0:02,2.04,3.1,3.8
14.05.2000,Newcastle,Arsenal,4:02,2.1,3,3.1
14.05.2000,Sheffield Wed,Leicester,4:00,2.9,2.9,2.4
14.05.2000,Southampton,Wimbledon FC,2:00,2.5,3.5,2.25
14.05.2000,Tottenham,Sunderland,3:01,2.15,3,3.6
14.05.2000,Watford,Coventry,1:00,2.6,2.95,2.6
14.05.2000,West Ham,Leeds,0:00,3,3.1,2.2
09.05.2000,Arsenal,Sheffield Wed,3:03,1.3,5.2,9
08.05.2000,Leeds,Everton,1:01,1.54,3.5,6
07.05.2000,Liverpool,Southampton,0:00,1.32,4.5,8.5
06.05.2000,Arsenal,Chelsea,2:01,1.96,3.2,3.9
06.05.2000,Coventry,Sheffield Wed,4:01,1.96,3.1,4.25
06.05.2000,Derby,Newcastle,0:00,2.35,3.05,3.1
06.05.2000,Leicester,Bradford,3:00,2,3.2,3.5
06.05.2000,Manchester United,Tottenham,3:01,1.43,4.09,8
06.05.2000,Middlesbrough,Watford,1:01,1.43,4.09,8
06.05.2000,Sunderland,West Ham,1:00,2.04,3.1,3.8
06.05.2000,Wimbledon FC,Aston Villa,2:02,2.35,3.2,2.65
03.05.2000,Leeds,Watford,3:01,1.21,5.5,9.99
03.05.2000,Liverpool,Leicester,0:02,1.43,4.09,7.2
02.05.2000,Arsenal,West Ham,2:01,1.43,4.09,7.2
02.05.2000,Middlesbrough,Newcastle,2:02,2.29,3,3.2
30.04.2000,Bradford,Wimbledon FC,3:00,2.1,3.15,3.3
30.04.2000,Sheffield Wed,Leeds,0:03,3.2,3.25,2.1
29.04.2000,Aston Villa,Sunderland,1:01,1.91,3.1,4.5
29.04.2000,Chelsea,Liverpool,2:00,2.29,3,3.1
29.04.2000,Everton,Arsenal,0:01,3.4,3,2.15
29.04.2000,Newcastle,Coventry,2:00,1.7,3.2,5.5
29.04.2000,Southampton,Leicester,1:02,2.1,3.05,3.25
29.04.2000,Tottenham,Derby,1:01,1.91,3.1,4.4
29.04.2000,Watford,Manchester United,2:03,7,4,1.43
29.04.2000,West Ham,Middlesbrough,0:01,1.86,3.1,4.59
24.04.2000,Derby,Southampton,2:00,1.96,3.2,3.75
24.04.2000,Manchester United,Chelsea,3:02,1.8,3.5,4.4
24.04.2000,Sunderland,Bradford,0:01,1.48,4.09,6
23.04.2000,Newcastle,Leeds,2:02,2.4,3,3
23.04.2000,Watford,Arsenal,2:03,7,4,1.43
22.04.2000,Aston Villa,Leicester,2:02,1.77,3.4,4.84
22.04.2000,Chelsea,Middlesbrough,1:01,1.48,3.9,7
22.04.2000,Sheffield Wed,Sunderland,0:02,2.4,3,2.85
22.04.2000,Southampton,Manchester United,1:03,5,3.5,1.75
22.04.2000,Tottenham,Wimbledon FC,2:00,1.96,3.2,3.9
