Exact_Date,HomeTeam,AwayTeam,Score,Home odds,Draw odds,Away odds
24.05.2009,Arsenal,Stoke,4:01,1.31,5.07,9.86
24.05.2009,Aston Villa,Newcastle,1:00,2.02,3.51,3.48
24.05.2009,Blackburn,West Brom,0:00,1.88,3.44,4.09
24.05.2009,Fulham,Everton,0:02,2.15,3.25,3.35
24.05.2009,Hull City,Manchester United,0:01,2.54,3.34,2.64
24.05.2009,Liverpool,Tottenham,3:01,1.44,4.19,7.25
24.05.2009,Manchester City,Bolton,1:00,1.73,3.51,4.83
24.05.2009,Sunderland,Chelsea,2:03,4.74,3.57,1.74
24.05.2009,West Ham,Middlesbrough,2:01,2.12,3.43,3.29
24.05.2009,Wigan,Portsmouth,1:00,1.93,3.41,3.92
18.05.2009,Portsmouth,Sunderland,3:01,2.34,3.16,3.08
17.05.2009,Chelsea,Blackburn,2:00,1.26,5.3,12.28
17.05.2009,West Brom,Liverpool,0:02,6.73,4.51,1.43
16.05.2009,Bolton,Hull City,1:01,2.13,3.33,3.36
16.05.2009,Everton,West Ham,3:01,1.69,3.55,5.13
16.05.2009,Manchester United,Arsenal,0:00,1.56,3.72,6.48
16.05.2009,Middlesbrough,Aston Villa,1:01,2.52,3.35,2.68
16.05.2009,Newcastle,Fulham,0:01,1.94,3.42,3.86
16.05.2009,Stoke,Wigan,2:00,2.19,3.25,3.3
16.05.2009,Tottenham,Manchester City,2:01,1.79,3.45,4.52
13.05.2009,Wigan,Manchester United,1:02,10.79,5.14,1.29
11.05.2009,Newcastle,Middlesbrough,3:01,1.98,3.39,3.75
10.05.2009,Arsenal,Chelsea,1:04,2.67,3.23,2.62
10.05.2009,Manchester United,Manchester City,2:00,1.32,4.97,9.6
09.05.2009,Blackburn,Portsmouth,2:00,2.03,3.22,3.82
09.05.2009,Bolton,Sunderland,0:00,2.09,3.25,3.56
09.05.2009,Everton,Tottenham,0:00,2.22,3.28,3.21
09.05.2009,Fulham,Aston Villa,3:01,2.61,3.23,2.66
09.05.2009,Hull City,Stoke,1:02,2.07,3.25,3.62
09.05.2009,West Brom,Wigan,3:01,2.34,3.31,2.96
09.05.2009,West Ham,Liverpool,0:03,6.94,3.94,1.5
04.05.2009,Aston Villa,Hull City,1:00,1.53,3.82,6.57
03.05.2009,Liverpool,Newcastle,3:00,1.25,5.53,13.45
03.05.2009,Sunderland,Everton,0:02,2.61,3.22,2.68
02.05.2009,Chelsea,Fulham,3:01,1.45,3.93,8.07
