Exact_Date,HomeTeam,AwayTeam,Score,Home odds,Draw odds,Away odds
13.05.2012,Chelsea,Blackburn,2:01,1.26,5.95,10.43
13.05.2012,Everton,Newcastle,3:01,2.06,3.6,3.38
13.05.2012,Manchester City,QPR,3:02,1.12,8.61,18.51
13.05.2012,Norwich,Aston Villa,2:00,2.01,3.43,3.67
13.05.2012,Stoke,Bolton,2:02,2.14,3.81,3.02
13.05.2012,Sunderland,Manchester United,0:01,7.07,4.54,1.44
13.05.2012,Swansea,Liverpool,1:00,3.39,3.44,2.11
13.05.2012,Tottenham,Fulham,2:00,1.41,4.48,8.02
13.05.2012,West Brom,Arsenal,2:03,5.11,3.98,1.63
13.05.2012,Wigan,Wolves,3:02,1.56,4.04,5.9
08.05.2012,Liverpool,Chelsea,4:01,2.08,3.56,3.37
07.05.2012,Blackburn,Wigan,0:01,2.74,3.41,2.49
06.05.2012,Aston Villa,Tottenham,1:01,4.13,3.48,1.88
06.05.2012,Bolton,West Brom,2:02,2.11,3.45,3.38
06.05.2012,Fulham,Sunderland,2:01,1.7,3.72,4.91
06.05.2012,Manchester United,Swansea,2:00,1.16,7.28,15.43
06.05.2012,Newcastle,Manchester City,0:02,4.69,4.03,1.68
06.05.2012,QPR,Stoke,1:00,1.77,3.63,4.57
06.05.2012,Wolves,Everton,0:00,4.67,3.7,1.74
05.05.2012,Arsenal,Norwich,3:03,1.2,6.63,13.9
02.05.2012,Bolton,Tottenham,1:04,4.27,3.7,1.81
02.05.2012,Chelsea,Newcastle,0:02,1.45,4.49,6.74
01.05.2012,Liverpool,Fulham,0:01,1.71,3.62,5
01.05.2012,Stoke,Everton,1:01,3.03,3.25,2.37
30.04.2012,Manchester City,Manchester United,1:00,2.06,3.44,3.6
29.04.2012,Chelsea,QPR,6:01,1.43,4.43,7.5
29.04.2012,Tottenham,Blackburn,2:00,1.33,5.24,8.54
28.04.2012,Everton,Fulham,4:00,1.8,3.49,4.61
28.04.2012,Norwich,Liverpool,0:03,4.42,3.74,1.77
28.04.2012,Stoke,Arsenal,1:01,4.27,3.51,1.85
28.04.2012,Sunderland,Bolton,2:02,1.99,3.42,3.75
28.04.2012,Swansea,Wolves,4:04,1.51,4.12,6.42
28.04.2012,West Brom,Aston Villa,0:00,2.13,3.32,3.45
28.04.2012,Wigan,Newcastle,4:00,2.64,3.37,2.61
24.04.2012,Aston Villa,Bolton,1:02,2.03,3.37,3.7
22.04.2012,Liverpool,West Brom,0:01,1.39,4.6,8.19
22.04.2012,Manchester United,Everton,4:04,1.34,4.86,9.13
22.04.2012,Wolves,Manchester City,0:02,13.78,6.73,1.19
21.04.2012,Arsenal,Chelsea,0:00,1.89,3.58,4.04
21.04.2012,Aston Villa,Sunderland,0:00,2.15,3.25,3.49
21.04.2012,Blackburn,Norwich,2:00,1.95,3.58,3.73
21.04.2012,Bolton,Swansea,1:01,2.35,3.25,3.05
21.04.2012,Fulham,Wigan,2:01,1.85,3.52,4.28
21.04.2012,Newcastle,Stoke,3:00,1.68,3.61,5.33
21.04.2012,QPR,Tottenham,1:00,3.61,3.42,2.05
16.04.2012,Arsenal,Wigan,1:02,1.27,5.62,10.84
15.04.2012,Manchester United,Aston Villa,4:00,1.2,6.6,14.27
14.04.2012,Norwich,Manchester City,1:06,6.5,4.2,1.51
14.04.2012,Sunderland,Wolves,0:00,1.52,4.07,6.39
14.04.2012,Swansea,Blackburn,3:00,1.98,3.42,3.78
14.04.2012,West Brom,QPR,1:00,2.18,3.37,3.29
11.04.2012,Manchester City,West Brom,4:00,1.25,5.8,12.07
11.04.2012,QPR,Swansea,3:00,2.08,3.35,3.53
11.04.2012,Wigan,Manchester United,1:00,7.75,4.47,1.42
11.04.2012,Wolves,Arsenal,0:03,7.76,4.7,1.4
10.04.2012,Blackburn,Liverpool,2:03,3.15,3.39,2.24
09.04.2012,Aston Villa,Stoke,1:01,2.22,3.23,3.32
09.04.2012,Everton,Sunderland,4:00,1.94,3.35,4.06
09.04.2012,Fulham,Chelsea,1:01,3.34,3.33,2.19
09.04.2012,Newcastle,Bolton,2:00,1.52,4.11,6.29
09.04.2012,Tottenham,Norwich,1:02,1.29,5.41,10.13
08.04.2012,Arsenal,Manchester City,1:00,2.38,3.38,2.92
08.04.2012,Manchester United,QPR,2:00,1.16,7.31,15.94
07.04.2012,Bolton,Fulham,0:03,2.44,3.31,2.87
07.04.2012,Chelsea,Wigan,2:01,1.32,5.06,9.68
07.04.2012,Liverpool,Aston Villa,1:01,1.4,4.45,8.49
07.04.2012,Norwich,Everton,2:02,2.92,3.26,2.43
07.04.2012,Stoke,Wolves,2:01,1.64,3.75,5.45
07.04.2012,Sunderland,Tottenham,0:00,3.45,3.37,2.12
07.04.2012,West Brom,Blackburn,3:00,1.94,3.44,3.95
06.04.2012,Swansea,Newcastle,0:02,2.4,3.32,2.92
