Exact_Date,HomeTeam,AwayTeam,Score,Home odds,Draw odds,Away odds
15.02.2020,Arsenal , Newcastle,4:00,1.45,4.53,7.45
15.02.2020,Aston Villa , Tottenham,2:03,3.88,3.71,1.94
15.02.2020,Norwich , Liverpool,0:01,8.64,5.46,1.34
15.02.2020,Southampton , Burnley,1:02,1.68,3.95,5.12
14.02.2020,Wolves , Leicester,0:00,2.67,3.2,2.8
09.02.2020,Sheffield Utd , Bournemouth,2:01,1.76,3.43,5.39
08.02.2020,Brighton , Watford,1:01,2.3,3.34,3.22
08.02.2020,Everton , Crystal Palace,3:01,1.65,3.69,5.9
02.02.2020,Burnley , Arsenal,0:00,3.93,3.66,1.94
02.02.2020,Tottenham , Manchester City,2:00,5.86,4.6,1.52
01.02.2020,Bournemouth , Aston Villa,2:01,2.17,3.36,3.51
01.02.2020,Crystal Palace , Sheffield Utd,0:01,3.08,3.01,2.58
01.02.2020,Leicester , Chelsea,2:02,2.54,3.51,2.73
01.02.2020,Liverpool , Southampton,4:00,1.3,5.64,9.99
01.02.2020,Manchester Utd , Wolves,0:00,2.13,3.35,3.65
01.02.2020,Newcastle , Norwich,0:00,2.25,3.34,3.34
01.02.2020,Watford , Everton,2:03,2.97,3.33,2.45
01.02.2020,West Ham , Brighton,3:03,2.51,3.36,2.87
29.01.2020,West Ham , Liverpool,0:02,8.51,5.35,1.35
23.01.2020,Wolves , Liverpool,1:02,5.2,3.94,1.67
22.01.2020,Leicester , West Ham,4:01,1.47,4.7,6.6
22.01.2020,Manchester Utd , Burnley,0:02,1.44,4.48,7.78
22.01.2020,Tottenham , Norwich,2:01,1.38,5.12,8.19
21.01.2020,Aston Villa , Watford,2:01,3.1,3.39,2.35
21.01.2020,Bournemouth , Brighton,3:01,2.85,3.27,2.58
21.01.2020,Chelsea , Arsenal,2:02,1.74,3.89,4.75
21.01.2020,Crystal Palace , Southampton,0:02,2.76,3.16,2.74
21.01.2020,Everton , Newcastle,2:02,1.5,4.28,7.11
21.01.2020,Sheffield Utd , Manchester City,0:01,8.06,4.8,1.41
19.01.2020,Burnley , Leicester,2:01,4.28,3.66,1.87
19.01.2020,Liverpool , Manchester Utd,2:00,1.45,4.6,7.26
18.01.2020,Arsenal , Sheffield Utd,1:01,1.99,3.38,4.1
18.01.2020,Brighton , Aston Villa,1:01,1.68,4.15,4.83
18.01.2020,Manchester City , Crystal Palace,2:02,1.08,11.49,29.28
18.01.2020,Newcastle , Chelsea,1:00,5.58,4.36,1.58
18.01.2020,Norwich , Bournemouth,1:00,2.25,3.47,3.2
18.01.2020,Southampton , Wolves,2:03,2.59,3.11,2.96
18.01.2020,Watford , Tottenham,0:00,3.09,3.6,2.26
18.01.2020,West Ham , Everton,1:01,2.91,3.42,2.45
