Exact_Date,HomeTeam,AwayTeam,Score,Home odds,Draw odds,Away odds
11.05.2003,Birmingham,West Ham,2:02,2.95,3.63,1.99
11.05.2003,Bolton,Middlesbrough,2:01,1.58,3.68,4.68
11.05.2003,Charlton,Fulham,0:01,2.14,3.21,3.14
11.05.2003,Chelsea,Liverpool,2:01,2.36,3.3,2.7
11.05.2003,Everton,Manchester United,1:02,2.7,3.39,2.28
11.05.2003,Leeds,Aston Villa,3:01,1.91,3.25,3.78
11.05.2003,Manchester City,Southampton,0:01,1.78,3.48,4.01
11.05.2003,Sunderland,Arsenal,0:04,4.03,3.53,1.76
11.05.2003,Tottenham,Blackburn,0:04,2.59,3.43,2.38
11.05.2003,West Brom,Newcastle,2:02,3.56,3.33,1.93
07.05.2003,Arsenal,Southampton,6:01,1.49,3.92,5.89
04.05.2003,Arsenal,Leeds,2:03,1.41,4.26,6.79
03.05.2003,Aston Villa,Sunderland,1:00,1.38,4.31,7.33
03.05.2003,Blackburn,West Brom,1:01,1.37,4.21,7.58
03.05.2003,Fulham,Everton,2:00,2.48,3.33,2.56
03.05.2003,Liverpool,Manchester City,1:02,1.32,4.69,8.14
03.05.2003,Manchester United,Charlton,4:01,1.2,5.92,9.98
03.05.2003,Middlesbrough,Tottenham,5:01,2.21,3.17,3.11
03.05.2003,Newcastle,Birmingham,1:00,1.36,4.51,7.37
03.05.2003,Southampton,Bolton,0:00,2.39,3.41,2.49
03.05.2003,West Ham,Chelsea,1:00,2.63,3.41,2.35
27.04.2003,Manchester City,West Ham,0:01,2.23,3.45,2.6
27.04.2003,Tottenham,Manchester United,0:02,4.97,3.74,1.59
26.04.2003,Birmingham,Middlesbrough,3:00,2.22,3.13,3.07
26.04.2003,Bolton,Arsenal,2:02,4.82,3.74,1.6
26.04.2003,Charlton,Southampton,2:01,2.26,3.14,2.98
26.04.2003,Chelsea,Fulham,1:01,1.4,4.19,6.9
26.04.2003,Everton,Aston Villa,2:01,1.79,3.4,4.14
26.04.2003,Leeds,Blackburn,2:03,2.14,3.22,3.15
