Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
16.03.2019,2018,Antalyaspor,Alanyaspor,3,0,3.30,3.36,2.14
16.03.2019,2018,Besiktas,Goztepe,1,0,1.41,4.68,6.83
16.03.2019,2018,Erzurumspor,Trabzonspor,0,1,2.33,3.53,2.84
16.03.2019,2018,Konyaspor,Rizespor,0,2,2.27,3.22,3.17
15.03.2019,2018,Fenerbahce,Sivasspor,2,1,1.44,4.68,6.25
11.03.2019,2018,Galatasaray,Antalyaspor,5,0,1.25,5.95,10.20
10.03.2019,2018,Alanyaspor,Erzurumspor,2,1,1.76,3.61,4.57
10.03.2019,2018,Besiktas,Konyaspor,3,2,1.53,4.11,5.84
10.03.2019,2018,Goztepe,Kasimpasa,0,0,2.11,3.50,3.28
10.03.2019,2018,Rizespor,Kayserispor,3,0,2.26,3.17,3.24
09.03.2019,2018,Ankaragucu,Bursaspor,0,0,3.11,3.11,2.37
09.03.2019,2018,Basaksehir,Fenerbahce,2,1,2.04,3.35,3.61
09.03.2019,2018,Trabzonspor,Akhisarspor,2,1,1.62,4.04,5.07
08.03.2019,2018,Sivasspor,Yeni Malatyaspor,2,0,1.95,3.43,3.81
04.03.2019,2018,Akhisarspor,Alanyaspor,3,1,3.06,3.27,2.29
04.03.2019,2018,Kasimpasa,Trabzonspor,2,2,2.88,3.67,2.22
03.03.2019,2018,Erzurumspor,Galatasaray,1,1,3.38,3.27,2.13
03.03.2019,2018,Konyaspor,Goztepe,1,1,2.12,3.06,3.66
03.03.2019,2018,Yeni Malatyaspor,Basaksehir,0,2,4.76,3.57,1.72
02.03.2019,2018,Bursaspor,Sivasspor,3,2,2.02,3.34,3.62
02.03.2019,2018,Fenerbahce,Rizespor,3,2,1.48,4.51,5.83
02.03.2019,2018,Kayserispor,Besiktas,2,2,3.63,3.43,1.99
01.03.2019,2018,Antalyaspor,Ankaragucu,2,4,2.00,3.32,3.75
25.02.2019,2018,Besiktas,Fenerbahce,3,3,1.89,3.52,3.91
24.02.2019,2018,Ankaragucu,Erzurumspor,2,1,2.84,3.07,2.55
24.02.2019,2018,Basaksehir,Bursaspor,3,0,1.29,5.29,9.34
24.02.2019,2018,Galatasaray,Akhisarspor,1,0,2.23,3.01,3.44
24.02.2019,2018,Konyaspor,Kayserispor,0,1,1.70,3.99,4.33
23.02.2019,2018,Alanyaspor,Kasimpasa,3,0,1.54,4.16,5.51
23.02.2019,2018,Sivasspor,Antalyaspor,1,2,2.41,3.39,2.77
22.02.2019,2018,Goztepe,Trabzonspor,1,3,1.88,3.46,4.01
22.02.2019,2018,Rizespor,Yeni Malatyaspor,3,0,5.09,3.80,1.64
18.02.2019,2018,Antalyaspor,Basaksehir,0,1,2.34,3.28,2.96
17.02.2019,2018,Erzurumspor,Sivasspor,4,2,3.90,3.91,1.80
17.02.2019,2018,Kasimpasa,Galatasaray,1,4,2.21,3.10,3.37
17.02.2019,2018,Kayserispor,Goztepe,2,1,1.78,3.96,3.91
17.02.2019,2018,Trabzonspor,Alanyaspor,0,2,1.73,3.78,4.44
16.02.2019,2018,Akhisarspor,Ankaragucu,0,0,1.87,3.44,4.11
