Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-10-18,premier-league,Tottenham,West Ham,https://www.playnow.com/sports/sports/event/10214653/tottenham-hotspur-fc-v-west-ham-united-fc,1.02,17,1.18,4.75,1.6,2.25,2.45,1.53,4.25,1.2,0,0,Under 1.5,4.75,0.315789473684211,19,0.106639205290416,3.6,2020-10-17 03:40:46
2020-10-18,premier-league,Sheffield Utd,Fulham,https://www.playnow.com/sports/sports/event/10209138/sheffield-united-fc-v-fulham-fc,1.07,8.5,1.38,2.9,2.2,1.62,3.9,1.22,7.5,1.07,0,0,Over 3.5,3.9,0,1,0,2.85714285714286,2020-10-17 03:39:55
2020-10-18,premier-league,Leicester,Aston Villa,https://www.playnow.com/sports/sports/event/10209141/leicester-city-fc-v-aston-villa-fc,1.03,16,1.2,4.5,1.62,2.2,2.5,1.5,4.5,1.18,0,0,Under 1.5,4.5,0.25,8,0.153093108923949,3.25,2020-10-17 03:41:12
2020-10-18,premier-league,Crystal Palace,Brighton,https://www.playnow.com/sports/sports/event/10209137/crystal-palace-fc-v-brighton-and-hove-albion-fc,1.07,9,1.36,3,2.1,1.7,3.6,1.25,7,1.08,0,0,Over 3.5,3.6,0.333333333333333,3,0.272165526975909,2,2020-10-17 03:40:18
2020-10-17,premier-league,Newcastle,Manchester Utd,https://www.playnow.com/sports/sports/event/10209143/newcastle-united-fc-v-manchester-united-fc,1.03,14,1.22,4,1.7,2.05,2.7,1.44,4.75,1.16,0,0,Over 4.5,4.75,0.2,20,0.0894427190999916,4.04,2020-10-16 01:43:15
2020-10-17,premier-league,Manchester City,Arsenal,https://www.playnow.com/sports/sports/event/10209140/manchester-city-fc-v-arsenal-fc,0,0,1.12,6,1.4,2.75,2,1.75,3.25,1.3,5.5,1.12,Over 5.5,5.5,0.157894736842105,19,0.0836546751830554,10.2631578947368,2020-10-16 01:42:53
2020-10-17,premier-league,Everton,Liverpool,https://www.playnow.com/sports/sports/event/10209144/everton-fc-v-liverpool-fc,0,0,1.14,5.5,1.5,2.5,2.2,1.62,3.6,1.25,6.5,1.09,Under 1.5,5.5,0.363636363636364,22,0.102559286330503,8,2020-10-16 01:41:59
2020-10-17,premier-league,Chelsea,Southampton,https://www.playnow.com/sports/sports/event/10209136/chelsea-fc-v-southampton-fc,1.02,19,1.18,5,1.57,2.35,2.35,1.53,4,1.22,0,0,Under 1.5,5,0.333333333333333,15,0.121716123890037,4.33333333333333,2020-10-16 01:42:25
2020-10-04,premier-league,Wolves,Fulham,https://www.playnow.com/sports/sports/event/10203971/wolverhampton-wanderers-fc-v-fulham-fc,1.06,9,1.33,3.2,2.05,1.75,3.6,1.28,6.5,1.09,0,0,Under 2.5,1.75,0.6,5,0.219089023002066,0.038,2020-10-03 02:00:42
2020-10-04,premier-league,Southampton,West Brom,https://www.playnow.com/sports/sports/event/10203964/southampton-fc-v-west-bromwich-albion,1.04,12,1.25,3.9,1.75,2,2.8,1.4,5.25,1.14,0,0,Over 2.5,1.75,0.5,8,0.176776695296637,0.045,2020-10-03 01:59:57
2020-10-04,premier-league,Manchester Utd,Tottenham,https://www.playnow.com/sports/sports/event/10203969/manchester-united-fc-v-tottenham-hotspur-fc,1.04,12,1.25,3.9,1.75,2,2.8,1.4,5,1.14,0,0,Over 2.5,1.75,0.545454545454545,22,0.106158946931117,0.0418181818181818,2020-10-03 02:01:04
2020-10-04,premier-league,Leicester,West Ham,https://www.playnow.com/sports/sports/event/10203973/leicester-city-fc-v-west-ham-united-fc,1.03,15,1.18,4.5,1.62,2.2,2.5,1.5,4.25,1.18,0,0,Over 2.5,1.62,0.5,10,0.158113883008419,0.0313157894736842,2020-10-03 01:59:35
2020-10-04,premier-league,Aston Villa,Liverpool,https://www.playnow.com/sports/sports/event/10203967/aston-villa-fc-v-liverpool-fc,1.02,15,1.18,4.5,1.6,2.25,2.5,1.5,4.25,1.2,0,0,Over 2.5,1.6,0.368421052631579,19,0.110664733271126,0.0352631578947369,2020-10-03 02:01:27
2020-10-04,premier-league,Arsenal,Sheffield Utd,https://www.playnow.com/sports/sports/event/10203966/arsenal-fc-v-sheffield-united-fc,1.04,11,1.28,3.6,1.83,1.9,3,1.36,5.5,1.12,0,0,Under 2.5,1.9,0.5,2,0.353553390593274,0.105,2020-10-03 02:00:20
