"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","opt.proportion"
"2017-08-26","CrystalPalace","Swansea","Newcastle","WestHam","A","H",3.99,2.34,9.3366,0,0
"2017-08-26","CrystalPalace","Swansea","Newcastle","WestHam","D","D",3.3,3.32,10.956,0,0
"2017-08-26","CrystalPalace","Swansea","Newcastle","WestHam","A","D",3.99,3.32,13.2468,0,0
"2017-08-26","CrystalPalace","Swansea","Newcastle","WestHam","D","A",3.3,3.19,10.527,0,0
"2017-08-26","CrystalPalace","Swansea","Newcastle","WestHam","A","A",3.99,3.19,12.7281,1,0
"2017-08-26","CrystalPalace","Swansea","Watford","Brighton","A","H",3.99,2.12,8.4588,0,0
"2017-08-26","CrystalPalace","Swansea","Watford","Brighton","D","D",3.3,3.24,10.692,0,0
"2017-08-26","CrystalPalace","Swansea","Watford","Brighton","A","D",3.99,3.24,12.9276,0,0
"2017-08-26","CrystalPalace","Swansea","Watford","Brighton","D","A",3.3,3.79,12.507,0,0
"2017-08-26","CrystalPalace","Swansea","Watford","Brighton","A","A",3.99,3.79,15.1221,1,0.001
"2017-08-26","Huddersfield","Southampton","ManchesterUnited","Leicester","H","D",4.02,5.54,22.2708,0,0.007
"2017-08-26","Huddersfield","Southampton","ManchesterUnited","Leicester","D","D",3.43,5.54,19.0022,0,0.004
"2017-08-26","Huddersfield","Southampton","ManchesterUnited","Leicester","A","D",1.99,5.54,11.0246,0,0
"2017-08-26","Huddersfield","Southampton","ManchesterUnited","Leicester","H","A",4.02,10.45,42.009,0,0.014
"2017-08-26","Huddersfield","Southampton","ManchesterUnited","Leicester","D","A",3.43,10.45,35.8435,0,0.012
"2017-08-26","Huddersfield","Southampton","ManchesterUnited","Leicester","A","A",1.99,10.45,20.7955,1,0.006
"2017-08-26","Huddersfield","Southampton","Newcastle","WestHam","H","H",4.02,2.34,9.4068,0,0
"2017-08-26","Huddersfield","Southampton","Newcastle","WestHam","H","D",4.02,3.32,13.3464,0,0
"2017-08-26","Huddersfield","Southampton","Newcastle","WestHam","D","D",3.43,3.32,11.3876,0,0
"2017-08-26","Huddersfield","Southampton","Newcastle","WestHam","H","A",4.02,3.19,12.8238,0,0
"2017-08-26","Huddersfield","Southampton","Newcastle","WestHam","D","A",3.43,3.19,10.9417,0,0
"2017-08-26","Huddersfield","Southampton","Watford","Brighton","H","H",4.02,2.12,8.5224,0,0
"2017-08-26","Huddersfield","Southampton","Watford","Brighton","H","D",4.02,3.24,13.0248,0,0
"2017-08-26","Huddersfield","Southampton","Watford","Brighton","D","D",3.43,3.24,11.1132,0,0
"2017-08-26","Huddersfield","Southampton","Watford","Brighton","H","A",4.02,3.79,15.2358,0,0.001
"2017-08-26","Huddersfield","Southampton","Watford","Brighton","D","A",3.43,3.79,12.9997,0,0
"2017-08-26","ManchesterUnited","Leicester","Newcastle","WestHam","D","H",5.54,2.34,12.9636,0,0
"2017-08-26","ManchesterUnited","Leicester","Newcastle","WestHam","A","H",10.45,2.34,24.453,0,0.007
"2017-08-26","ManchesterUnited","Leicester","Newcastle","WestHam","D","D",5.54,3.32,18.3928,0,0.004
"2017-08-26","ManchesterUnited","Leicester","Newcastle","WestHam","A","D",10.45,3.32,34.694,0,0.012
"2017-08-26","ManchesterUnited","Leicester","Newcastle","WestHam","D","A",5.54,3.19,17.6726,0,0.004
"2017-08-26","ManchesterUnited","Leicester","Newcastle","WestHam","A","A",10.45,3.19,33.3355,1,0.012
"2017-08-26","ManchesterUnited","Leicester","Watford","Brighton","D","H",5.54,2.12,11.7448,0,0
"2017-08-26","ManchesterUnited","Leicester","Watford","Brighton","A","H",10.45,2.12,22.154,0,0.007
"2017-08-26","ManchesterUnited","Leicester","Watford","Brighton","D","D",5.54,3.24,17.9496,0,0.004
"2017-08-26","ManchesterUnited","Leicester","Watford","Brighton","A","D",10.45,3.24,33.858,0,0.012
"2017-08-26","ManchesterUnited","Leicester","Watford","Brighton","D","A",5.54,3.79,20.9966,0,0.006
"2017-08-26","ManchesterUnited","Leicester","Watford","Brighton","A","A",10.45,3.79,39.6055,1,0.014
"2017-08-26","Newcastle","WestHam","Watford","Brighton","D","D",3.32,3.24,10.7568,0,0
"2017-08-26","Newcastle","WestHam","Watford","Brighton","A","D",3.19,3.24,10.3356,0,0
"2017-08-26","Newcastle","WestHam","Watford","Brighton","H","A",2.34,3.79,8.8686,0,0
"2017-08-26","Newcastle","WestHam","Watford","Brighton","D","A",3.32,3.79,12.5828,0,0
"2017-08-26","Newcastle","WestHam","Watford","Brighton","A","A",3.19,3.79,12.0901,1,0
"2017-08-27","Chelsea","Everton","Liverpool","Arsenal","D","H",4.27,2.17,9.2659,0,0
"2017-08-27","Chelsea","Everton","Liverpool","Arsenal","A","H",6.9,2.17,14.973,0,0.001
"2017-08-27","Chelsea","Everton","Liverpool","Arsenal","D","D",4.27,3.63,15.5001,0,0.002
"2017-08-27","Chelsea","Everton","Liverpool","Arsenal","A","D",6.9,3.63,25.047,0,0.007
"2017-08-27","Chelsea","Everton","Liverpool","Arsenal","D","A",4.27,3.25,13.8775,0,0.001
"2017-08-27","Chelsea","Everton","Liverpool","Arsenal","A","A",6.9,3.25,22.425,0,0.007
"2017-08-27","Chelsea","Everton","Tottenham","Burnley","A","H",6.9,1.21,8.349,0,0
"2017-08-27","Chelsea","Everton","Tottenham","Burnley","H","D",1.51,6.82,10.2982,0,0
"2017-08-27","Chelsea","Everton","Tottenham","Burnley","D","D",4.27,6.82,29.1214,0,0.012
"2017-08-27","Chelsea","Everton","Tottenham","Burnley","A","D",6.9,6.82,47.058,0,0.014
"2017-08-27","Chelsea","Everton","Tottenham","Burnley","H","A",1.51,15.07,22.7557,0,0.007
"2017-08-27","Chelsea","Everton","Tottenham","Burnley","D","A",4.27,15.07,64.3489,0,0.019
"2017-08-27","Chelsea","Everton","Tottenham","Burnley","A","A",6.9,15.07,103.983,0,0.019
"2017-08-27","Chelsea","Everton","WestBrom","Stoke","D","H",4.27,2.51,10.7177,0,0
"2017-08-27","Chelsea","Everton","WestBrom","Stoke","A","H",6.9,2.51,17.319,0,0.003
"2017-08-27","Chelsea","Everton","WestBrom","Stoke","D","D",4.27,3.13,13.3651,0,0
"2017-08-27","Chelsea","Everton","WestBrom","Stoke","A","D",6.9,3.13,21.597,0,0.007
"2017-08-27","Chelsea","Everton","WestBrom","Stoke","D","A",4.27,3.08,13.1516,0,0
"2017-08-27","Chelsea","Everton","WestBrom","Stoke","A","A",6.9,3.08,21.252,0,0.006
"2017-08-27","Liverpool","Arsenal","Tottenham","Burnley","H","D",2.17,6.82,14.7994,0,0.001
"2017-08-27","Liverpool","Arsenal","Tottenham","Burnley","D","D",3.63,6.82,24.7566,0,0.007
"2017-08-27","Liverpool","Arsenal","Tottenham","Burnley","A","D",3.25,6.82,22.165,0,0.007
"2017-08-27","Liverpool","Arsenal","Tottenham","Burnley","H","A",2.17,15.07,32.7019,0,0.012
"2017-08-27","Liverpool","Arsenal","Tottenham","Burnley","D","A",3.63,15.07,54.7041,0,0.019
"2017-08-27","Liverpool","Arsenal","Tottenham","Burnley","A","A",3.25,15.07,48.9775,0,0.014
"2017-08-27","Liverpool","Arsenal","WestBrom","Stoke","D","H",3.63,2.51,9.1113,0,0
"2017-08-27","Liverpool","Arsenal","WestBrom","Stoke","D","D",3.63,3.13,11.3619,0,0
"2017-08-27","Liverpool","Arsenal","WestBrom","Stoke","A","D",3.25,3.13,10.1725,0,0
"2017-08-27","Liverpool","Arsenal","WestBrom","Stoke","D","A",3.63,3.08,11.1804,0,0
"2017-08-27","Liverpool","Arsenal","WestBrom","Stoke","A","A",3.25,3.08,10.01,0,0
"2017-08-27","Tottenham","Burnley","WestBrom","Stoke","D","H",6.82,2.51,17.1182,0,0.003
"2017-08-27","Tottenham","Burnley","WestBrom","Stoke","A","H",15.07,2.51,37.8257,0,0.014
"2017-08-27","Tottenham","Burnley","WestBrom","Stoke","D","D",6.82,3.13,21.3466,0,0.006
"2017-08-27","Tottenham","Burnley","WestBrom","Stoke","A","D",15.07,3.13,47.1691,0,0.014
"2017-08-27","Tottenham","Burnley","WestBrom","Stoke","D","A",6.82,3.08,21.0056,0,0.006
"2017-08-27","Tottenham","Burnley","WestBrom","Stoke","A","A",15.07,3.08,46.4156,0,0.014
"2017-09-09","Arsenal","Bournemouth","Brighton","WestBrom","D","H",6.08,2.65,16.112,0,0.002
"2017-09-09","Arsenal","Bournemouth","Brighton","WestBrom","A","H",9.41,2.65,24.9365,0,0.007
"2017-09-09","Arsenal","Bournemouth","Brighton","WestBrom","D","D",6.08,3.04,18.4832,0,0.004
"2017-09-09","Arsenal","Bournemouth","Brighton","WestBrom","A","D",9.41,3.04,28.6064,0,0.01
"2017-09-09","Arsenal","Bournemouth","Brighton","WestBrom","D","A",6.08,2.98,18.1184,0,0.004
"2017-09-09","Arsenal","Bournemouth","Brighton","WestBrom","A","A",9.41,2.98,28.0418,0,0.01
"2017-09-09","Arsenal","Bournemouth","Everton","Tottenham","D","H",6.08,3.88,23.5904,0,0.007
"2017-09-09","Arsenal","Bournemouth","Everton","Tottenham","A","H",9.41,3.88,36.5108,0,0.012
"2017-09-09","Arsenal","Bournemouth","Everton","Tottenham","D","D",6.08,3.5,21.28,0,0.006
"2017-09-09","Arsenal","Bournemouth","Everton","Tottenham","A","D",9.41,3.5,32.935,0,0.012
"2017-09-09","Arsenal","Bournemouth","Everton","Tottenham","D","A",6.08,2,12.16,0,0
"2017-09-09","Arsenal","Bournemouth","Everton","Tottenham","A","A",9.41,2,18.82,0,0.004
"2017-09-09","Arsenal","Bournemouth","Leicester","Chelsea","D","H",6.08,4.68,28.4544,0,0.01
"2017-09-09","Arsenal","Bournemouth","Leicester","Chelsea","A","H",9.41,4.68,44.0388,0,0.014
"2017-09-09","Arsenal","Bournemouth","Leicester","Chelsea","D","D",6.08,3.79,23.0432,0,0.007
"2017-09-09","Arsenal","Bournemouth","Leicester","Chelsea","A","D",9.41,3.79,35.6639,0,0.012
"2017-09-09","Arsenal","Bournemouth","Leicester","Chelsea","D","A",6.08,1.77,10.7616,0,0
"2017-09-09","Arsenal","Bournemouth","Leicester","Chelsea","A","A",9.41,1.77,16.6557,0,0.003
"2017-09-09","Arsenal","Bournemouth","ManchesterCity","Liverpool","D","H",6.08,1.88,11.4304,0,0
"2017-09-09","Arsenal","Bournemouth","ManchesterCity","Liverpool","A","H",9.41,1.88,17.6908,0,0.004
"2017-09-09","Arsenal","Bournemouth","ManchesterCity","Liverpool","D","D",6.08,3.85,23.408,0,0.007
"2017-09-09","Arsenal","Bournemouth","ManchesterCity","Liverpool","A","D",9.41,3.85,36.2285,0,0.012
"2017-09-09","Arsenal","Bournemouth","ManchesterCity","Liverpool","D","A",6.08,4,24.32,0,0.007
"2017-09-09","Arsenal","Bournemouth","ManchesterCity","Liverpool","A","A",9.41,4,37.64,0,0.014
"2017-09-09","Arsenal","Bournemouth","Southampton","Watford","D","H",6.08,1.67,10.1536,0,0
"2017-09-09","Arsenal","Bournemouth","Southampton","Watford","A","H",9.41,1.67,15.7147,0,0.002
"2017-09-09","Arsenal","Bournemouth","Southampton","Watford","D","D",6.08,3.85,23.408,0,0.007
"2017-09-09","Arsenal","Bournemouth","Southampton","Watford","A","D",9.41,3.85,36.2285,0,0.012
"2017-09-09","Arsenal","Bournemouth","Southampton","Watford","D","A",6.08,5.39,32.7712,0,0.012
"2017-09-09","Arsenal","Bournemouth","Southampton","Watford","A","A",9.41,5.39,50.7199,0,0.014
"2017-09-09","Arsenal","Bournemouth","Stoke","ManchesterUnited","H","H",1.3,7.03,9.139,1,0
"2017-09-09","Arsenal","Bournemouth","Stoke","ManchesterUnited","D","H",6.08,7.03,42.7424,0,0.014
"2017-09-09","Arsenal","Bournemouth","Stoke","ManchesterUnited","A","H",9.41,7.03,66.1523,0,0.019
"2017-09-09","Arsenal","Bournemouth","Stoke","ManchesterUnited","D","D",6.08,4.2,25.536,0,0.007
"2017-09-09","Arsenal","Bournemouth","Stoke","ManchesterUnited","A","D",9.41,4.2,39.522,0,0.014
"2017-09-09","Arsenal","Bournemouth","Stoke","ManchesterUnited","D","A",6.08,1.51,9.1808,0,0
"2017-09-09","Arsenal","Bournemouth","Stoke","ManchesterUnited","A","A",9.41,1.51,14.2091,0,0.001
"2017-09-09","Brighton","WestBrom","Everton","Tottenham","H","H",2.65,3.88,10.282,1,0
"2017-09-09","Brighton","WestBrom","Everton","Tottenham","D","H",3.04,3.88,11.7952,0,0
"2017-09-09","Brighton","WestBrom","Everton","Tottenham","A","H",2.98,3.88,11.5624,0,0
