"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","bet.money"
"2001-09-08","Leicester","Ipswich","Manchester United","Everton","D","D",3,5,15,1,0
"2001-09-08","Leicester","Ipswich","Manchester United","Everton","A","D",2.6,5,13,0,0
"2001-09-08","Leicester","Ipswich","Manchester United","Everton","H","A",2.6,8.5,22.1,0,0
"2001-09-08","Leicester","Ipswich","Manchester United","Everton","A","A",2.6,8.5,22.1,0,0
"2001-09-08","Leicester","Ipswich","Middlesbrough","Newcastle","D","D",3,3,9,1,0
"2001-09-08","Leicester","Ipswich","Sunderland","Blackburn","D","D",3,3.2,9.6,1,0
"2001-09-08","Leicester","Ipswich","Sunderland","Blackburn","H","A",2.6,3.75,9.75,0,0
"2001-09-08","Leicester","Ipswich","Sunderland","Blackburn","D","A",3,3.75,11.25,0,0
"2001-09-08","Leicester","Ipswich","Sunderland","Blackburn","A","A",2.6,3.75,9.75,0,0
"2001-09-08","Liverpool","Aston Villa","Manchester United","Everton","D","D",3.8,5,19,1,0
"2001-09-08","Liverpool","Aston Villa","Manchester United","Everton","H","A",1.53,8.5,13.005,0,0
"2001-09-08","Liverpool","Aston Villa","Middlesbrough","Newcastle","D","H",3.8,2.5,9.5,0,0
"2001-09-08","Liverpool","Aston Villa","Middlesbrough","Newcastle","A","H",6.5,2.5,16.25,0,0
"2001-09-08","Liverpool","Aston Villa","Middlesbrough","Newcastle","D","D",3.8,3,11.4,1,0
"2001-09-08","Liverpool","Aston Villa","Middlesbrough","Newcastle","A","D",6.5,3,19.5,0,0
"2001-09-08","Liverpool","Aston Villa","Middlesbrough","Newcastle","D","A",3.8,2.7,10.26,0,0
"2001-09-08","Liverpool","Aston Villa","Middlesbrough","Newcastle","A","A",6.5,2.7,17.55,0,0
"2001-09-08","Liverpool","Aston Villa","Sunderland","Blackburn","A","H",6.5,2.04,13.26,0,0
"2001-09-08","Liverpool","Aston Villa","Sunderland","Blackburn","D","D",3.8,3.2,12.16,1,0
"2001-09-08","Liverpool","Aston Villa","Sunderland","Blackburn","A","D",6.5,3.2,20.8,0,0
"2001-09-08","Liverpool","Aston Villa","Sunderland","Blackburn","D","A",3.8,3.75,14.25,0,0
"2001-09-08","Manchester United","Everton","Middlesbrough","Newcastle","D","H",5,2.5,12.5,0,0
"2001-09-08","Manchester United","Everton","Middlesbrough","Newcastle","A","H",8.5,2.5,21.25,0,0
"2001-09-08","Manchester United","Everton","Middlesbrough","Newcastle","D","D",5,3,15,1,0
"2001-09-08","Manchester United","Everton","Middlesbrough","Newcastle","D","A",5,2.7,13.5,0,0
"2001-09-08","Manchester United","Everton","Middlesbrough","Newcastle","A","A",8.5,2.7,22.95,0,0
"2001-09-08","Manchester United","Everton","Sunderland","Blackburn","D","H",5,2.04,10.2,0,0
"2001-09-08","Manchester United","Everton","Sunderland","Blackburn","A","H",8.5,2.04,17.34,0,0
"2001-09-08","Manchester United","Everton","Sunderland","Blackburn","D","D",5,3.2,16,1,0
"2001-09-08","Manchester United","Everton","Sunderland","Blackburn","D","A",5,3.75,18.75,0,0
"2001-09-08","Middlesbrough","Newcastle","Sunderland","Blackburn","D","D",3,3.2,9.6,1,0
"2001-09-08","Middlesbrough","Newcastle","Sunderland","Blackburn","H","A",2.5,3.75,9.375,0,0
