Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
20.04.2002,2001,Brentford,Reading,1,1,2.20,3.25,2.90
20.04.2002,2001,Bristol City,Stoke,1,1,2.44,3.15,2.68
20.04.2002,2001,Chesterfield,Blackpool,2,1,2.44,3.15,2.68
20.04.2002,2001,Colchester,Wigan,2,2,2.48,3.15,2.65
20.04.2002,2001,Northampton,Cambridge Utd,2,2,1.73,3.60,3.93
20.04.2002,2001,Notts Co,Huddersfield,2,1,2.08,3.33,2.97
20.04.2002,2001,Oldham,QPR,1,0,2.20,3.22,2.95
20.04.2002,2001,Peterborough,Bury,2,1,1.86,3.63,3.17
20.04.2002,2001,Port Vale,Brighton,0,1,2.55,3.13,2.50
20.04.2002,2001,Swindon,Wycombe,1,1,2.20,3.22,2.95
20.04.2002,2001,Tranmere,Cardiff,0,1,2.53,3.13,2.52
20.04.2002,2001,Wrexham,Bournemouth,2,1,3.10,3.57,1.91
13.04.2002,2001,Blackpool,Bristol City,5,1,3.40,3.60,1.86
13.04.2002,2001,Bournemouth,Chesterfield,3,1,2.23,3.18,2.90
13.04.2002,2001,Brighton,Swindon,0,0,1.26,4.67,8.93
13.04.2002,2001,Bury,Colchester,1,3,1.75,3.63,3.73
13.04.2002,2001,Cambridge Utd,Tranmere,2,1,2.88,3.22,2.26
13.04.2002,2001,Cardiff,Notts Co,2,1,1.51,3.77,5.57
13.04.2002,2001,Huddersfield,Port Vale,2,1,1.37,4.77,6.17
13.04.2002,2001,QPR,Brentford,0,0,2.55,3.17,2.43
13.04.2002,2001,Reading,Peterborough,2,2,1.31,5.07,6.83
13.04.2002,2001,Stoke,Wrexham,1,0,1.26,4.80,7.97
13.04.2002,2001,Wigan,Northampton,3,0,2.18,3.12,2.85
13.04.2002,2001,Wycombe,Oldham,2,1,2.23,3.22,2.93
09.04.2002,2001,Cambridge Utd,Swindon,1,2,2.53,3.08,2.58
09.04.2002,2001,Huddersfield,Cardiff,2,2,2.23,3.20,2.92
07.04.2002,2001,Tranmere,Reading,2,2,3.25,3.33,2.04
06.04.2002,2001,Brentford,Huddersfield,3,0,1.98,3.35,3.37
06.04.2002,2001,Bristol City,Bury,2,0,1.53,3.80,5.26
06.04.2002,2001,Chesterfield,Wigan,1,2,2.40,3.23,2.62
06.04.2002,2001,Colchester,Cardiff,0,1,3.55,3.37,1.92
06.04.2002,2001,Northampton,Wycombe,4,1,1.92,3.43,3.37
06.04.2002,2001,Notts Co,Blackpool,1,0,1.71,3.60,4.10
06.04.2002,2001,Oldham,Stoke,2,1,2.72,3.15,2.40
06.04.2002,2001,Peterborough,Brighton,0,1,3.50,3.40,1.92
06.04.2002,2001,Port Vale,Bournemouth,0,0,1.93,3.43,3.50
06.04.2002,2001,Swindon,QPR,0,1,2.70,3.17,2.41
06.04.2002,2001,Wrexham,Cambridge Utd,5,0,1.71,3.67,4.13
02.04.2002,2001,Bournemouth,Colchester,0,1,2.20,3.23,3.00
02.04.2002,2001,Cambridge Utd,Chesterfield,4,1,2.72,3.17,2.40
01.04.2002,2001,Blackpool,Wrexham,3,0,NA,1.86,3.70
01.04.2002,2001,Brighton,Bristol City,2,1,1.81,3.48,3.83
01.04.2002,2001,Bury,Brentford,2,0,3.12,3.25,2.13
01.04.2002,2001,Cardiff,Port Vale,1,0,1.58,3.75,4.93
01.04.2002,2001,Huddersfield,Oldham,0,0,1.75,3.52,4.05
01.04.2002,2001,QPR,Notts Co,3,2,1.92,3.42,3.47
01.04.2002,2001,Reading,Northampton,0,0,1.41,4.23,6.30
01.04.2002,2001,Stoke,Swindon,2,0,1.49,3.93,5.67
01.04.2002,2001,Wigan,Peterborough,2,1,1.85,3.45,3.73
01.04.2002,2001,Wycombe,Tranmere,2,1,2.40,3.17,2.72
30.03.2002,2001,Brentford,Stoke,1,0,2.07,3.23,3.20
30.03.2002,2001,Bristol City,Reading,3,3,2.57,3.10,2.55
30.03.2002,2001,Chesterfield,Cardiff,0,2,2.90,3.18,2.27
30.03.2002,2001,Colchester,Brighton,1,4,2.88,3.17,2.28
30.03.2002,2001,Notts Co,Bournemouth,2,0,1.77,3.48,3.92
30.03.2002,2001,Oldham,Cambridge Utd,2,2,1.42,4.33,6.13
30.03.2002,2001,Peterborough,Wycombe,2,1,2.25,3.22,2.92
30.03.2002,2001,Port Vale,Wigan,1,0,2.38,3.07,2.83
30.03.2002,2001,Swindon,Blackpool,1,0,2.07,3.23,3.20
30.03.2002,2001,Tranmere,QPR,2,3,2.00,3.30,3.28
30.03.2002,2001,Wrexham,Huddersfield,1,1,3.33,3.37,1.93
29.03.2002,2001,Northampton,Bury,1,0,1.88,3.40,3.55
23.03.2002,2001,Bournemouth,Bristol City,1,3,2.60,3.12,2.51
23.03.2002,2001,Brighton,Notts Co,2,2,1.53,3.70,5.33
23.03.2002,2001,Bury,Port Vale,1,1,2.40,3.17,2.73
23.03.2002,2001,Huddersfield,Northampton,2,0,1.50,3.83,5.33
23.03.2002,2001,QPR,Peterborough,1,0,1.80,3.47,3.90
23.03.2002,2001,Reading,Oldham,2,2,1.58,3.70,4.97
23.03.2002,2001,Stoke,Chesterfield,1,0,1.54,3.73,5.23
23.03.2002,2001,Wigan,Tranmere,1,2,2.00,3.27,3.30
23.03.2002,2001,Wycombe,Colchester,0,0,1.81,3.47,3.80
22.03.2002,2001,Cardiff,Wrexham,3,2,1.51,3.77,5.57
