Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
30.04.2017,2016,AFC Wimbledon,Oldham,0,0,1.88,3.46,4.19
30.04.2017,2016,Bolton,Peterborough,3,0,1.47,4.37,6.69
30.04.2017,2016,Bristol Rovers,Millwall,3,4,3.76,3.76,1.91
30.04.2017,2016,Charlton,Swindon,3,0,1.59,4.18,5.29
30.04.2017,2016,Fleetwood,Port Vale,0,0,1.61,4.20,4.97
30.04.2017,2016,Northampton,Gillingham,0,0,2.76,3.71,2.34
30.04.2017,2016,Oxford Utd,Shrewsbury,2,0,1.80,3.71,4.29
30.04.2017,2016,Rochdale,Bradford City,1,1,1.86,3.71,4.00
30.04.2017,2016,Scunthorpe,Coventry,3,1,1.63,3.94,5.24
30.04.2017,2016,Sheffield Utd,Chesterfield,3,2,1.18,7.23,13.68
30.04.2017,2016,Southend,Bury,1,0,1.79,3.70,4.40
30.04.2017,2016,Walsall,MK Dons,1,4,3.04,3.51,2.25
25.04.2017,2016,Walsall,Port Vale,0,1,2.37,3.48,2.86
22.04.2017,2016,Bradford City,AFC Wimbledon,3,0,1.52,3.92,6.86
22.04.2017,2016,Bury,Northampton,3,0,1.80,3.71,4.26
22.04.2017,2016,Chesterfield,Charlton,1,2,4.32,3.66,1.81
22.04.2017,2016,Coventry,Walsall,1,0,2.63,3.20,2.72
22.04.2017,2016,Gillingham,Fleetwood,2,3,3.64,3.38,2.05
22.04.2017,2016,Millwall,Oxford Utd,0,3,1.51,4.18,6.35
22.04.2017,2016,MK Dons,Sheffield Utd,0,3,3.64,3.44,2.02
22.04.2017,2016,Oldham,Rochdale,1,1,3.31,3.31,2.21
22.04.2017,2016,Peterborough,Bristol Rovers,4,2,2.86,3.52,2.35
22.04.2017,2016,Port Vale,Bolton,0,2,4.95,3.71,1.71
22.04.2017,2016,Shrewsbury,Southend,1,0,3.10,3.35,2.29
22.04.2017,2016,Swindon,Scunthorpe,1,2,2.70,3.41,2.53
18.04.2017,2016,Bolton,Bury,0,0,1.60,3.86,5.82
17.04.2017,2016,AFC Wimbledon,Peterborough,0,0,2.18,3.50,3.19
17.04.2017,2016,Bristol Rovers,Oldham,1,0,1.86,3.41,4.41
17.04.2017,2016,Charlton,Gillingham,3,0,1.84,3.56,4.31
17.04.2017,2016,Fleetwood,Millwall,1,0,2.89,3.16,2.53
17.04.2017,2016,Northampton,Shrewsbury,1,1,2.26,3.36,3.14
17.04.2017,2016,Oxford Utd,Port Vale,2,0,1.72,3.82,4.65
17.04.2017,2016,Rochdale,Coventry,2,0,1.52,4.23,6.17
17.04.2017,2016,Scunthorpe,Chesterfield,3,1,1.36,4.86,8.68
17.04.2017,2016,Sheffield Utd,Bradford City,3,0,1.88,3.56,4.08
17.04.2017,2016,Southend,MK Dons,1,2,1.81,3.65,4.28
17.04.2017,2016,Walsall,Swindon,1,0,2.58,3.39,2.66
15.04.2017,2016,Oldham,Bolton,1,0,3.38,3.13,2.26
14.04.2017,2016,Bradford City,Oxford Utd,1,0,1.75,3.67,4.70
14.04.2017,2016,Chesterfield,Southend,0,4,4.68,3.82,1.72
14.04.2017,2016,Coventry,Charlton,1,1,2.92,3.25,2.45
14.04.2017,2016,Gillingham,Bristol Rovers,3,1,3.58,3.60,1.99
14.04.2017,2016,Millwall,Northampton,3,0,1.51,4.13,6.54
14.04.2017,2016,MK Dons,Scunthorpe,0,1,2.34,3.37,2.99
14.04.2017,2016,Peterborough,Fleetwood,1,2,2.82,3.28,2.51
14.04.2017,2016,Port Vale,Sheffield Utd,0,3,6.25,4.10,1.53
14.04.2017,2016,Shrewsbury,Walsall,1,1,2.32,3.19,3.19
14.04.2017,2016,Swindon,AFC Wimbledon,0,0,2.09,3.36,3.53
13.04.2017,2016,Bury,Rochdale,0,1,2.87,3.47,2.38
08.04.2017,2016,AFC Wimbledon,Bristol Rovers,0,1,3.02,3.29,2.36
08.04.2017,2016,Bury,Bradford City,0,2,3.67,3.41,2.04
08.04.2017,2016,Charlton,Southend,2,1,2.54,3.34,2.73
08.04.2017,2016,Chesterfield,Port Vale,1,0,2.59,3.31,2.70
08.04.2017,2016,Coventry,Peterborough,1,0,3.02,3.42,2.29
08.04.2017,2016,Gillingham,Millwall,1,1,4.74,3.70,1.73
08.04.2017,2016,Northampton,Sheffield Utd,1,2,5.44,3.97,1.61
08.04.2017,2016,Oldham,Fleetwood,2,0,2.72,2.95,2.84
08.04.2017,2016,Scunthorpe,Bolton,1,0,2.77,3.13,2.64
08.04.2017,2016,Shrewsbury,Rochdale,1,0,3.41,3.39,2.13
08.04.2017,2016,Swindon,MK Dons,1,1,2.68,3.31,2.61
08.04.2017,2016,Walsall,Oxford Utd,1,1,2.81,3.33,2.49
05.04.2017,2016,Sheffield Utd,Coventry,2,0,1.24,5.80,13.06
05.04.2017,2016,Oxford Utd,Fleetwood,1,3,2.16,3.30,3.43
04.04.2017,2016,Charlton,MK Dons,0,2,2.48,3.26,2.87
04.04.2017,2016,Shrewsbury,Millwall,1,2,3.47,3.34,2.13
04.04.2017,2016,Rochdale,Port Vale,3,0,1.61,4.08,5.23
04.04.2017,2016,Southend,Bolton,0,1,2.61,3.24,2.73
01.04.2017,2016,Bolton,Chesterfield,0,0,1.32,4.95,10.08
01.04.2017,2016,Bradford City,Walsall,1,0,1.54,3.92,6.50
01.04.2017,2016,Bristol Rovers,Shrewsbury,2,0,1.74,3.73,4.66
01.04.2017,2016,Fleetwood,Swindon,0,1,1.83,3.45,4.50
01.04.2017,2016,Millwall,Scunthorpe,3,1,1.98,3.33,3.96
01.04.2017,2016,MK Dons,Gillingham,3,2,1.58,4.13,5.50
01.04.2017,2016,Peterborough,Charlton,2,0,2.36,3.50,2.86
01.04.2017,2016,Port Vale,AFC Wimbledon,2,0,3.01,3.21,2.41
01.04.2017,2016,Rochdale,Northampton,1,1,1.85,3.78,3.98
01.04.2017,2016,Southend,Oldham,3,0,1.74,3.60,4.91
28.03.2017,2016,Oxford Utd,Bury,5,1,1.85,3.67,4.08
28.03.2017,2016,Sheffield Utd,Millwall,2,0,1.62,3.86,5.49
28.03.2017,2016,AFC Wimbledon,Rochdale,3,1,2.79,3.35,2.49
26.03.2017,2016,Scunthorpe,Bradford City,3,2,2.68,3.20,2.68
25.03.2017,2016,AFC Wimbledon,Southend,0,2,2.87,3.22,2.51
25.03.2017,2016,Bury,Fleetwood,0,0,2.63,3.20,2.74
25.03.2017,2016,Chesterfield,Rochdale,1,3,4.14,3.88,1.79
