Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
30.03.2013,Everton,Stoke,1:00,H,1.7,3.51,5.57
30.03.2013,Manchester City,Newcastle,4:00,H,1.29,5.43,10.72
30.03.2013,Southampton,Chelsea,2:01,H,3.06,3.31,2.35
30.03.2013,Sunderland,Manchester United,0:01,A,5.62,3.7,1.65
30.03.2013,Swansea,Tottenham,1:02,A,3.08,3.32,2.34
30.03.2013,West Ham,West Brom,3:01,H,2.14,3.35,3.51
30.03.2013,Wigan,Norwich,1:00,H,1.8,3.53,4.63
17.03.2013,Chelsea,West Ham,2:00,H,1.36,4.98,8.39
17.03.2013,Sunderland,Norwich,1:01,D,1.99,3.36,3.9
17.03.2013,Tottenham,Fulham,0:01,A,1.51,4.15,6.7
17.03.2013,Wigan,Newcastle,2:01,H,2.23,3.34,3.27
16.03.2013,Aston Villa,QPR,3:02,H,2.34,3.26,3.13
16.03.2013,Everton,Manchester City,2:00,H,3.42,3.36,2.16
16.03.2013,Manchester United,Reading,1:00,H,1.13,8.37,17.58
16.03.2013,Southampton,Liverpool,3:01,H,3.83,3.61,1.94
16.03.2013,Stoke,West Brom,0:00,D,2.66,3.12,2.81
16.03.2013,Swansea,Arsenal,0:02,A,3.32,3.4,2.18
10.03.2013,Liverpool,Tottenham,3:02,H,1.87,3.77,3.9
10.03.2013,Newcastle,Stoke,2:01,H,1.77,3.5,4.92
09.03.2013,Norwich,Southampton,0:00,D,2.62,3.23,2.76
09.03.2013,QPR,Sunderland,3:01,H,2.25,3.25,3.31
09.03.2013,Reading,Aston Villa,1:02,A,2.49,3.29,2.86
09.03.2013,West Brom,Swansea,2:01,H,2.28,3.32,3.19
04.03.2013,Aston Villa,Manchester City,0:01,A,7.31,4.6,1.43
03.03.2013,Tottenham,Arsenal,2:01,H,2.35,3.4,3
02.03.2013,Chelsea,West Brom,1:00,H,1.38,4.77,8.3
02.03.2013,Everton,Reading,3:01,H,1.36,4.85,8.85
02.03.2013,Manchester United,Norwich,4:00,H,1.28,5.63,11.16
02.03.2013,Southampton,QPR,1:02,A,1.69,3.8,5.1
02.03.2013,Stoke,West Ham,0:01,A,2.37,3.18,3.14
02.03.2013,Sunderland,Fulham,2:02,D,2.27,3.26,3.27
02.03.2013,Swansea,Newcastle,1:00,H,2.04,3.45,3.62
02.03.2013,Wigan,Liverpool,0:04,A,4.5,3.72,1.78
25.02.2013,West Ham,Tottenham,2:03,A,3.46,3.31,2.16
24.02.2013,Manchester City,Chelsea,2:00,H,2.03,3.46,3.67
24.02.2013,Newcastle,Southampton,4:02,H,2.16,3.35,3.42
23.02.2013,Arsenal,Aston Villa,2:01,H,1.31,5.42,9.64
23.02.2013,Fulham,Stoke,1:00,H,2.1,3.25,3.72
23.02.2013,Norwich,Everton,2:01,H,3.43,3.27,2.18
23.02.2013,QPR,Manchester United,0:02,A,6.31,4.18,1.53
23.02.2013,Reading,Wigan,0:03,A,2.53,3.29,2.8
23.02.2013,West Brom,Sunderland,2:01,H,1.85,3.52,4.36
17.02.2013,Liverpool,Swansea,5:00,H,1.41,4.7,7.71
11.02.2013,Liverpool,West Brom,0:02,A,1.39,4.76,8.35
10.02.2013,Aston Villa,West Ham,2:01,H,2.79,3.25,2.57
10.02.2013,Manchester United,Everton,2:00,H,1.73,3.7,4.88
09.02.2013,Chelsea,Wigan,4:01,H,1.34,5.17,8.9
09.02.2013,Norwich,Fulham,0:00,D,2.31,3.3,3.16
09.02.2013,Southampton,Manchester City,3:01,H,5.36,3.93,1.64
09.02.2013,Stoke,Reading,2:01,H,1.87,3.43,4.42
09.02.2013,Sunderland,Arsenal,0:01,A,4.24,3.55,1.86
09.02.2013,Swansea,QPR,4:01,H,1.74,3.59,4.96
09.02.2013,Tottenham,Newcastle,2:01,H,1.65,3.84,5.44
03.02.2013,Manchester City,Liverpool,2:02,D,1.83,3.6,4.39
03.02.2013,West Brom,Tottenham,0:01,A,3.48,3.34,2.14
02.02.2013,Arsenal,Stoke,1:00,H,1.39,4.54,8.78
02.02.2013,Everton,Aston Villa,3:03,D,1.38,4.62,8.78
02.02.2013,Fulham,Manchester United,0:01,A,6.09,4.21,1.54
02.02.2013,Newcastle,Chelsea,3:02,H,4.03,3.44,1.94
02.02.2013,QPR,Norwich,0:00,D,2.23,3.22,3.42
02.02.2013,Reading,Sunderland,2:01,H,2.43,3.25,2.99
02.02.2013,West Ham,Swansea,1:00,H,2.4,3.28,3.01
02.02.2013,Wigan,Southampton,2:02,D,2.21,3.34,3.32
30.01.2013,Arsenal,Liverpool,2:02,D,2.14,3.39,3.44
30.01.2013,Everton,West Brom,2:01,H,1.57,4.02,6.08
30.01.2013,Fulham,West Ham,3:01,H,2.37,3.28,3.06
30.01.2013,Manchester United,Southampton,2:01,H,1.23,6.49,11.79
30.01.2013,Norwich,Tottenham,1:01,D,4.33,3.58,1.85
30.01.2013,Reading,Chelsea,2:02,D,6,4.13,1.55
29.01.2013,Aston Villa,Newcastle,1:02,A,2.75,3.25,2.61
29.01.2013,QPR,Manchester City,0:00,D,7.37,4.43,1.45
29.01.2013,Stoke,Wigan,2:02,D,2.19,3.2,3.5
29.01.2013,Sunderland,Swansea,0:00,D,2.5,3.23,2.91
23.01.2013,Arsenal,West Ham,5:01,H,1.46,4.39,7.19
21.01.2013,Southampton,Everton,0:00,D,3.66,3.36,2.06
20.01.2013,Chelsea,Arsenal,2:01,H,1.96,3.55,3.83
20.01.2013,Tottenham,Manchester United,1:01,D,2.92,3.43,2.38
19.01.2013,Liverpool,Norwich,5:00,H,1.31,5.24,9.56
19.01.2013,Manchester City,Fulham,2:00,H,1.24,6.05,12.59
19.01.2013,Newcastle,Reading,1:02,A,1.66,3.81,5.33
19.01.2013,Swansea,Stoke,3:01,H,2.14,3.22,3.6
19.01.2013,West Brom,Aston Villa,2:02,D,1.84,3.55,4.4
19.01.2013,West Ham,QPR,1:01,D,2.05,3.38,3.67
