Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
23.05.2021,2020,Arsenal,Brighton,2,0,1.67,4.20,4.95
23.05.2021,2020,Aston Villa,Chelsea,2,1,6.99,4.85,1.44
23.05.2021,2020,Fulham,Newcastle,0,2,2.49,3.43,2.89
23.05.2021,2020,Leeds,West Brom,3,1,1.54,4.67,5.60
23.05.2021,2020,Leicester,Tottenham,2,4,1.78,4.21,4.16
23.05.2021,2020,Liverpool,Crystal Palace,2,0,1.16,8.51,16.08
23.05.2021,2020,Manchester City,Everton,5,0,1.29,6.11,9.62
23.05.2021,2020,Sheffield Utd,Burnley,1,0,2.79,3.48,2.53
23.05.2021,2020,West Ham,Southampton,3,0,1.77,3.88,4.56
23.05.2021,2020,Wolves,Manchester Utd,1,2,2.33,3.27,3.27
19.05.2021,2020,Burnley,Liverpool,0,3,9.98,6.32,1.28
19.05.2021,2020,Crystal Palace,Arsenal,1,3,5.91,4.12,1.59
19.05.2021,2020,Everton,Wolves,1,0,1.80,3.66,4.76
19.05.2021,2020,Newcastle,Sheffield Utd,1,0,1.86,3.74,4.28
19.05.2021,2020,Tottenham,Aston Villa,1,2,1.61,4.46,5.12
19.05.2021,2020,West Brom,West Ham,1,3,5.08,4.30,1.64
18.05.2021,2020,Brighton,Manchester City,3,2,7.27,4.67,1.45
18.05.2021,2020,Chelsea,Leicester,2,1,1.69,3.82,5.37
18.05.2021,2020,Manchester Utd,Fulham,1,1,1.30,5.78,9.89
18.05.2021,2020,Southampton,Leeds,0,2,2.64,3.82,2.50
16.05.2021,2020,Crystal Palace,Aston Villa,3,2,3.10,3.51,2.31
16.05.2021,2020,Everton,Sheffield Utd,0,1,1.36,5.08,9.10
16.05.2021,2020,Tottenham,Wolves,2,0,1.54,4.47,5.93
16.05.2021,2020,West Brom,Liverpool,1,2,12.41,7.22,1.22
15.05.2021,2020,Brighton,West Ham,1,1,3.48,3.54,2.12
15.05.2021,2020,Burnley,Leeds,0,4,3.50,3.81,2.04
15.05.2021,2020,Southampton,Fulham,3,1,1.85,3.75,4.25
14.05.2021,2020,Newcastle,Manchester City,3,4,8.86,5.74,1.33
13.05.2021,2020,Manchester Utd,Liverpool,2,4,2.78,3.73,2.41
13.05.2021,2020,Aston Villa,Everton,0,0,3.05,3.32,2.43
12.05.2021,2020,Chelsea,Arsenal,0,1,1.95,3.40,4.31
11.05.2021,2020,Manchester Utd,Leicester,1,2,3.73,3.55,2.04
11.05.2021,2020,Southampton,Crystal Palace,3,1,1.88,3.79,4.10
10.05.2021,2020,Fulham,Burnley,0,2,2.23,3.41,3.36
09.05.2021,2020,Arsenal,West Brom,3,1,1.49,4.53,6.75
09.05.2021,2020,Aston Villa,Manchester Utd,1,3,4.44,3.96,1.78
09.05.2021,2020,West Ham,Everton,0,1,2.15,3.53,3.46
09.05.2021,2020,Wolves,Brighton,2,1,4.01,3.31,2.05
08.05.2021,2020,Leeds,Tottenham,3,1,4.03,3.98,1.85
08.05.2021,2020,Liverpool,Southampton,2,0,1.31,5.92,9.35
08.05.2021,2020,Manchester City,Chelsea,1,2,2.03,3.35,4.01
08.05.2021,2020,Sheffield Utd,Crystal Palace,0,2,2.96,3.19,2.57
07.05.2021,2020,Leicester,Newcastle,2,4,1.39,4.94,8.35
03.05.2021,2020,Burnley,West Ham,1,2,3.03,3.53,2.34
03.05.2021,2020,West Brom,Wolves,1,1,2.54,3.13,3.06
02.05.2021,2020,Newcastle,Arsenal,0,2,3.75,3.63,2.01
02.05.2021,2020,Tottenham,Sheffield Utd,4,0,1.32,5.42,9.96
01.05.2021,2020,Brighton,Leeds,2,0,2.06,3.52,3.71
01.05.2021,2020,Chelsea,Fulham,2,0,1.48,4.19,7.87
01.05.2021,2020,Crystal Palace,Manchester City,0,2,9.92,5.40,1.33
01.05.2021,2020,Everton,Aston Villa,1,2,1.98,3.72,3.76
30.04.2021,2020,Southampton,Leicester,1,1,4.13,3.74,1.89
26.04.2021,2020,Leicester,Crystal Palace,2,1,1.43,4.65,7.99
25.04.2021,2020,Aston Villa,West Brom,2,2,2.07,3.49,3.70
25.04.2021,2020,Leeds,Manchester Utd,0,0,4.35,3.93,1.80
25.04.2021,2020,Wolves,Burnley,0,4,2.34,3.11,3.44
24.04.2021,2020,Liverpool,Newcastle,1,1,1.21,7.25,12.85
24.04.2021,2020,Sheffield Utd,Brighton,1,0,6.30,3.98,1.59
24.04.2021,2020,West Ham,Chelsea,0,1,5.34,3.95,1.67
23.04.2021,2020,Arsenal,Everton,0,1,2.02,3.56,3.78
22.04.2021,2020,Leicester,West Brom,3,0,1.63,3.95,5.69
21.04.2021,2020,Aston Villa,Manchester City,1,2,9.85,5.33,1.33
21.04.2021,2020,Tottenham,Southampton,2,1,1.85,3.82,4.20
20.04.2021,2020,Chelsea,Brighton,0,0,1.68,3.73,5.75
19.04.2021,2020,Leeds,Liverpool,1,1,5.21,4.47,1.60
18.04.2021,2020,Arsenal,Fulham,1,1,1.84,3.67,4.45
18.04.2021,2020,Manchester Utd,Burnley,3,1,1.36,5.20,8.90
17.04.2021,2020,Newcastle,West Ham,3,2,3.43,3.41,2.20
17.04.2021,2020,Wolves,Sheffield Utd,1,0,1.78,3.44,5.28
16.04.2021,2020,Everton,Tottenham,2,2,3.50,3.47,2.15
12.04.2021,2020,Brighton,Everton,0,0,2.14,3.46,3.56
12.04.2021,2020,West Brom,Southampton,3,0,3.56,3.56,2.09
11.04.2021,2020,Burnley,Newcastle,1,2,2.27,3.34,3.32
11.04.2021,2020,Sheffield Utd,Arsenal,0,3,5.55,3.90,1.66
11.04.2021,2020,Tottenham,Manchester Utd,1,3,2.95,3.54,2.39
11.04.2021,2020,West Ham,Leicester,3,2,3.19,3.24,2.39
10.04.2021,2020,Crystal Palace,Chelsea,1,4,7.47,4.22,1.50
10.04.2021,2020,Liverpool,Aston Villa,2,1,1.47,4.69,6.86
10.04.2021,2020,Manchester City,Leeds,1,2,1.38,5.26,7.88
09.04.2021,2020,Fulham,Wolves,0,1,2.64,3.09,2.96
05.04.2021,2020,Everton,Crystal Palace,1,1,1.84,3.46,4.79
05.04.2021,2020,Wolves,West Ham,2,3,2.90,3.17,2.63
04.04.2021,2020,Aston Villa,Fulham,3,1,2.55,3.18,3.00
04.04.2021,2020,Manchester Utd,Brighton,2,1,1.66,3.93,5.42
04.04.2021,2020,Newcastle,Tottenham,2,2,5.40,3.83,1.68
04.04.2021,2020,Southampton,Burnley,3,2,2.01,3.39,4.05
03.04.2021,2020,Arsenal,Liverpool,0,3,2.85,3.61,2.42
03.04.2021,2020,Chelsea,West Brom,2,5,1.28,5.65,11.81
03.04.2021,2020,Leeds,Sheffield Utd,2,1,1.56,4.19,6.23
03.04.2021,2020,Leicester,Manchester City,0,2,5.31,3.93,1.68
21.03.2021,2020,West Ham,Arsenal,3,3,3.51,3.48,2.14
21.03.2021,2020,Aston Villa,Tottenham,0,2,3.06,3.43,2.37
20.03.2021,2020,Brighton,Newcastle,3,0,1.72,3.55,5.66
19.03.2021,2020,Fulham,Leeds,1,2,2.57,3.31,2.85
15.03.2021,2020,Wolves,Liverpool,0,1,5.71,3.89,1.64
14.03.2021,2020,Arsenal,Tottenham,2,1,2.66,3.32,2.75
