Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-10-20,league-one,Gillingham,Portsmouth,https://www.playnow.com/sports/sports/event/10220903/gillingham-fc-v-portsmouth-fc,1.04,12,1.28,3.4,1.87,1.87,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0,3,0,1.76271186440678,2020-10-19 08:08:56
2020-10-20,league-one,Doncaster,Ipswich,https://www.playnow.com/sports/sports/event/10220897/doncaster-rovers-v-ipswich-town,1.06,9,1.33,3,2.05,1.7,3.5,1.25,6.5,1.08,0,0,Under 0.5,9,,0,,4.33333333333333,2020-10-19 08:09:58
2020-10-20,league-one,Burton,Rochdale,https://www.playnow.com/sports/sports/event/10220906/burton-albion-v-rochdale-afc,1.04,13,1.22,3.75,1.75,1.95,2.8,1.38,5,1.13,0,0,Over 4.5,5,0,3,0,1.625,2020-10-19 08:12:00
2020-10-20,league-one,Blackpool,Charlton,https://www.playnow.com/sports/sports/event/10220898/blackpool-v-charlton-athletic,1.06,10,1.3,3.2,2,1.75,3.4,1.28,6,1.09,0,0,Under 0.5,10,0,2,0,7.42857142857143,2020-10-19 08:09:38
2020-10-20,league-one,Accrington,Fleetwood,https://www.playnow.com/sports/sports/event/10220896/accrington-stanley-v-fleetwood-town,1.05,11,1.28,3.4,1.87,1.83,3,1.33,5.75,1.11,0,0,Under 0.5,11,0,1,0,25.9999999999999,2020-10-19 08:09:17
2020-10-17,league-one,Swindon,Sunderland,https://www.playnow.com/sports/sports/event/10219708/swindon-town-v-sunderland-afc,1.05,11,1.3,3.25,1.9,1.8,3.25,1.3,6,1.1,0,0,"",,,,,,2020-10-17 03:45:49
2020-10-17,league-one,Rochdale,Hull,https://www.playnow.com/sports/sports/event/10219710/rochdale-afc-v-hull-city,1.04,13,1.25,3.6,1.8,1.95,2.9,1.36,5.25,1.13,0,0,"",,,,,,2020-10-17 03:45:17
2020-10-17,league-one,Portsmouth,Doncaster,https://www.playnow.com/sports/sports/event/10219715/portsmouth-fc-v-doncaster-rovers,1.05,11,1.28,3.4,1.9,1.8,3.2,1.3,5.75,1.1,0,0,Over 4.5,5.75,0,3,0,24,2020-10-17 03:44:57
2020-10-17,league-one,Plymouth,Northampton,https://www.playnow.com/sports/sports/event/10219718/plymouth-argyle-v-northampton-town,1.03,15,1.2,4,1.62,2.1,2.55,1.44,4.5,1.16,0,0,Over 4.5,4.5,0,2,0,4,2020-10-17 03:44:37
2020-10-17,league-one,Peterborough,Oxford Utd,https://www.playnow.com/sports/sports/event/10219714/peterborough-united-v-oxford-united,1.04,13,1.25,3.75,1.75,1.95,2.8,1.38,5,1.13,0,0,Over 4.5,5,0.4,5,0.219089023002066,4,2020-10-17 03:44:16
2020-10-17,league-one,MK Dons,Gillingham,https://www.playnow.com/sports/sports/event/10219707/milton-keynes-dons-v-gillingham-fc,1.06,9,1.33,3,2.05,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0.2,5,0.178885438199983,2.12,2020-10-16 01:48:03
2020-10-17,league-one,Ipswich,Accrington,https://www.playnow.com/sports/sports/event/10219720/ipswich-town-v-accrington-stanley,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Under 1.5,3.2,0,1,0,2.14285714285714,2020-10-17 03:43:56
2020-10-17,league-one,Fleetwood,Lincoln,https://www.playnow.com/sports/sports/event/10219723/fleetwood-town-v-lincoln-city,1.05,11,1.28,3.4,1.87,1.83,3,1.33,5.75,1.11,0,0,"",,,,,,2020-10-17 03:43:36
2020-10-17,league-one,Crewe,Blackpool,https://www.playnow.com/sports/sports/event/10219719/crewe-alexandra-v-blackpool,1.04,11,1.28,3.4,1.87,1.83,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0,3,0,12,2020-10-17 03:43:16
2020-10-17,league-one,Charlton,Wigan,https://www.playnow.com/sports/sports/event/10219722/charlton-athletic-v-wigan-athletic,1.04,12,1.25,3.5,1.83,1.87,3,1.33,5.5,1.12,0,0,Over 4.5,5.5,0,1,0,12,2020-10-17 03:42:55
2020-10-17,league-one,Bristol Rovers,Burton,https://www.playnow.com/sports/sports/event/10219716/bristol-rovers-v-burton-albion,1.05,10,1.33,3.2,2,1.75,3.4,1.28,6.5,1.09,0,0,Under 0.5,10,1,1,0,1,2020-10-16 01:48:48
2020-10-17,league-one,AFC Wimbledon,Shrewsbury,https://www.playnow.com/sports/sports/event/10219721/afc-wimbledon-v-shrewsbury-town,1.07,8.5,1.36,2.9,2.1,1.62,3.6,1.25,7,1.07,0,0,Over 3.5,3.6,0,4,0,2.5,2020-10-16 01:48:22
2020-10-13,league-one,Oxford Utd,Crewe,https://www.playnow.com/sports/sports/event/10219428/oxford-united-v-crewe-alexandra,1.03,12,1.2,3.9,1.67,2.05,2.65,1.44,4.75,1.15,0,0,Over 4.5,4.75,0.123543731524952,0,Inf,4.33053382020518,2020-10-12 09:56:43
2020-10-10,league-one,Swindon,AFC Wimbledon,https://www.playnow.com/sports/sports/event/10214014/swindon-town-v-afc-wimbledon,1.04,10,1.25,3.4,1.83,1.87,3,1.33,5.5,1.12,0,0,Over 4.5,5.5,0,1,0,12,2020-10-09 05:50:24
2020-10-10,league-one,Portsmouth,MK Dons,https://www.playnow.com/sports/sports/event/10214006/portsmouth-fc-v-milton-keynes-dons,1.04,10,1.25,3.4,1.83,1.87,3,1.33,5.5,1.12,0,0,Over 4.5,5.5,0,3,0,12,2020-10-09 05:49:56
2020-10-10,league-one,Plymouth,Burton,https://www.playnow.com/sports/sports/event/10214012/plymouth-argyle-v-burton-albion,1.03,13,1.2,4,1.67,2.1,2.6,1.44,4.5,1.16,0,0,Under 1.5,4,0,1,0,3,2020-10-09 05:49:35
2020-10-10,league-one,Northampton,Peterborough,https://www.playnow.com/sports/sports/event/10214011/northampton-town-v-peterborough-united,1.04,10,1.28,3.4,1.87,1.87,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0.166666666666667,6,0.152145154862546,10.1666666666667,2020-10-09 05:49:15
2020-10-10,league-one,Lincoln,Bristol Rovers,https://www.playnow.com/sports/sports/event/10214009/lincoln-city-v-bristol-rovers,1.05,9,1.3,3.2,1.95,1.75,3.25,1.3,6,1.09,0,0,Over 3.5,3.25,0,2,0,2.18181818181818,2020-10-09 05:48:52
2020-10-10,league-one,Gillingham,Oxford Utd,https://www.playnow.com/sports/sports/event/10214008/gillingham-fc-v-oxford-united,1.06,8.5,1.36,2.9,2.05,1.67,3.6,1.25,6.5,1.07,0,0,Over 3.5,3.6,0,5,0,2.5,2020-10-09 05:46:51
2020-10-10,league-one,Doncaster,Shrewsbury,https://www.playnow.com/sports/sports/event/10214016/doncaster-rovers-v-shrewsbury-town,1.07,8,1.36,2.8,2.1,1.67,3.6,1.25,7,1.07,0,0,Over 3.5,3.6,0,5,0,2.5,2020-10-09 05:48:31
2020-10-10,league-one,Crewe,Wigan,https://www.playnow.com/sports/sports/event/10214013/crewe-alexandra-v-wigan-athletic,2.05,3,3,3,13,31,4.75,4.5,6.5,26,0,0,Under 2.5,31,1,2,0,1,2020-10-09 05:48:10
2020-10-10,league-one,Blackpool,Ipswich,https://www.playnow.com/sports/sports/event/10215099/blackpool-v-ipswich-town,1.07,8,1.33,2.9,2.1,1.67,3.6,1.25,6.5,1.07,0,0,Over 3.5,3.6,0,1,0,2.5,2020-10-09 05:47:38
2020-10-10,league-one,Accrington,Rochdale,https://www.playnow.com/sports/sports/event/10214015/accrington-stanley-v-rochdale-afc,1.04,10,1.25,3.5,1.83,1.9,3,1.36,5.25,1.12,0,0,Over 4.5,5.25,0,2,0,8,2020-10-09 05:47:18
2020-10-09,league-one,Fleetwood,Hull,https://www.playnow.com/sports/sports/event/10214007/fleetwood-town-v-hull-city,1.05,10,1.28,3.25,1.9,1.8,3.2,1.3,5.75,1.1,0,0,"",,,,,,2020-10-09 05:46:19
