Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
24.05.2003,2002,Arminia Bielefeld,Hannover,0,1,1.57,3.74,4.68
24.05.2003,2002,B. Monchengladbach,Werder Bremen,4,1,2.76,2.94,2.51
24.05.2003,2002,Dortmund,Energie Cottbus,1,1,1.12,7.00,10.79
24.05.2003,2002,Hamburger SV,Hansa Rostock,2,0,1.33,4.68,6.88
24.05.2003,2002,Hertha Berlin,Kaiserslautern,2,0,1.44,4.12,5.70
24.05.2003,2002,Munich 1860,Bochum,2,4,1.93,3.32,3.54
24.05.2003,2002,Nurnberg,Bayer Leverkusen,0,1,6.02,4.96,1.30
24.05.2003,2002,Schalke,Bayern Munich,1,0,2.57,3.07,2.60
24.05.2003,2002,Stuttgart,Wolfsburg,2,0,1.49,3.98,5.52
17.05.2003,2002,Bayer Leverkusen,Munich 1860,3,0,1.47,4.06,5.48
17.05.2003,2002,Bayern Munich,Stuttgart,2,1,1.76,3.59,3.63
17.05.2003,2002,Bochum,Hamburger SV,1,1,2.92,3.06,2.33
17.05.2003,2002,Energie Cottbus,Nurnberg,2,1,2.21,3.31,2.85
17.05.2003,2002,Hannover,B. Monchengladbach,2,2,2.09,2.62,4.02
17.05.2003,2002,Hansa Rostock,Arminia Bielefeld,3,0,1.96,2.88,4.08
17.05.2003,2002,Kaiserslautern,Dortmund,0,0,3.03,2.81,2.39
17.05.2003,2002,Werder Bremen,Schalke,2,1,1.93,3.20,3.70
17.05.2003,2002,Wolfsburg,Hertha Berlin,2,0,2.78,3.07,2.40
11.05.2003,2002,Arminia Bielefeld,Bochum,1,3,2.08,3.14,3.35
11.05.2003,2002,Schalke,Hannover,0,2,1.67,3.52,4.52
10.05.2003,2002,B. Monchengladbach,Hansa Rostock,3,0,1.95,3.17,3.67
10.05.2003,2002,Dortmund,Nurnberg,4,1,1.33,4.65,7.46
10.05.2003,2002,Hamburger SV,Bayer Leverkusen,4,1,1.96,3.30,3.42
10.05.2003,2002,Hertha Berlin,Bayern Munich,3,6,2.17,3.30,2.92
10.05.2003,2002,Munich 1860,Energie Cottbus,3,0,1.57,3.62,5.24
10.05.2003,2002,Stuttgart,Werder Bremen,0,1,1.79,3.38,4.08
10.05.2003,2002,Wolfsburg,Kaiserslautern,2,2,2.28,2.87,3.17
04.05.2003,2002,Bayer Leverkusen,Arminia Bielefeld,3,1,1.66,3.53,4.60
04.05.2003,2002,Hansa Rostock,Schalke,3,1,2.74,2.99,2.50
03.05.2003,2002,Bayern Munich,Kaiserslautern,1,0,1.60,3.70,4.80
03.05.2003,2002,Bochum,B. Monchengladbach,1,1,2.00,3.12,3.53
03.05.2003,2002,Dortmund,Wolfsburg,2,2,1.37,4.28,7.38
03.05.2003,2002,Energie Cottbus,Hamburger SV,0,0,3.24,3.29,2.04
03.05.2003,2002,Hannover,Stuttgart,1,2,2.67,3.03,2.54
03.05.2003,2002,Nurnberg,Munich 1860,1,2,2.17,3.13,3.01
03.05.2003,2002,Werder Bremen,Hertha Berlin,4,2,2.42,2.95,2.88
27.04.2003,2002,Arminia Bielefeld,Energie Cottbus,2,2,1.58,3.56,5.34
27.04.2003,2002,Kaiserslautern,Werder Bremen,1,0,2.12,3.12,3.23
26.04.2003,2002,B. Monchengladbach,Bayer Leverkusen,2,2,2.49,3.02,2.69
26.04.2003,2002,Hamburger SV,Nurnberg,4,0,1.53,3.64,5.66
26.04.2003,2002,Hertha Berlin,Hannover,2,0,1.65,3.50,4.86
26.04.2003,2002,Munich 1860,Dortmund,0,0,3.12,3.03,2.20
26.04.2003,2002,Schalke,Bochum,1,2,1.56,3.58,5.46
26.04.2003,2002,Stuttgart,Hansa Rostock,1,1,1.54,3.62,5.66
26.04.2003,2002,Wolfsburg,Bayern Munich,0,2,3.28,3.13,2.10
20.04.2003,2002,Bayer Leverkusen,Schalke,1,3,2.30,2.98,3.02
20.04.2003,2002,Bochum,Stuttgart,3,1,2.89,2.99,2.39
19.04.2003,2002,Dortmund,Bayern Munich,1,0,2.40,2.97,2.90
19.04.2003,2002,Energie Cottbus,B. Monchengladbach,1,1,2.46,3.20,2.61
19.04.2003,2002,Hannover,Kaiserslautern,2,1,2.40,2.97,2.90
19.04.2003,2002,Hansa Rostock,Hertha Berlin,0,1,2.67,2.93,2.61
19.04.2003,2002,Munich 1860,Hamburger SV,1,1,2.36,2.98,2.94
