Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
16.03.2002,Southampton,Leicester,2:02,D,1.65,3.63,5.34
16.03.2002,West Ham,Manchester United,3:05,A,4.6,3.58,1.74
13.03.2002,Blackburn,Ipswich,2:01,H,1.96,3.29,3.78
13.03.2002,Chelsea,Tottenham,4:00,H,1.76,3.48,4.47
09.03.2002,Leicester,Charlton,1:01,D,2.81,3.08,2.41
06.03.2002,Chelsea,Fulham,3:02,H,1.63,3.48,5.45
06.03.2002,Leeds,Ipswich,2:00,H,1.53,3.7,6.2
06.03.2002,Liverpool,Newcastle,3:00,H,1.83,3.33,4.43
06.03.2002,Manchester United,Tottenham,4:00,H,1.39,4.26,7.8
06.03.2002,Southampton,Middlesbrough,1:01,D,2.01,3.23,3.61
06.03.2002,West Ham,Everton,1:00,H,1.86,3.33,4.28
05.03.2002,Arsenal,Derby,1:00,H,1.27,5.02,9.27
05.03.2002,Blackburn,Aston Villa,3:00,H,2.64,3.08,2.58
05.03.2002,Sunderland,Bolton,1:00,H,1.96,3.25,3.88
03.03.2002,Derby,Manchester United,2:02,D,6.1,4.34,1.43
03.03.2002,Everton,Leeds,0:00,D,2.89,3.09,2.41
02.03.2002,Aston Villa,West Ham,2:01,H,1.78,3.4,4.34
02.03.2002,Bolton,Blackburn,1:01,D,2.24,3.09,3.18
02.03.2002,Charlton,Chelsea,2:01,H,2.99,3.13,2.32
02.03.2002,Fulham,Liverpool,0:02,A,3.05,3.14,2.26
02.03.2002,Ipswich,Southampton,1:03,A,2.09,3.16,3.45
02.03.2002,Middlesbrough,Leicester,1:00,H,1.72,3.48,4.68
02.03.2002,Newcastle,Arsenal,0:02,A,2.53,3.04,2.69
02.03.2002,Tottenham,Sunderland,2:01,H,1.78,3.43,4.39
24.02.2002,Leeds,Charlton,0:00,D,1.5,3.83,6.38
24.02.2002,Sunderland,Newcastle,0:01,A,2.98,3.04,2.41
23.02.2002,Arsenal,Fulham,4:01,H,1.47,3.9,6.91
23.02.2002,Leicester,Derby,0:03,A,2.2,3.13,3.28
23.02.2002,Liverpool,Everton,1:01,D,1.54,3.75,6.08
23.02.2002,Manchester United,Aston Villa,1:00,H,1.42,4.05,7.31
23.02.2002,Southampton,Bolton,0:00,D,1.96,3.33,3.84
23.02.2002,West Ham,Middlesbrough,1:00,H,1.92,3.3,4
19.02.2002,Middlesbrough,Fulham,2:01,H,2.39,3.08,2.93
10.02.2002,Charlton,Manchester United,0:02,A,5.63,3.6,1.64
10.02.2002,Everton,Arsenal,0:01,A,3.9,3.28,1.96
09.02.2002,Aston Villa,Chelsea,1:01,D,2.61,2.95,2.73
09.02.2002,Bolton,West Ham,1:00,H,2.44,3.11,2.89
09.02.2002,Derby,Sunderland,0:01,A,2.47,3.06,2.83
09.02.2002,Fulham,Blackburn,2:00,H,1.9,3.33,4.13
09.02.2002,Ipswich,Liverpool,0:06,A,3.73,3.25,2.01
09.02.2002,Middlesbrough,Leeds,2:02,D,3.11,3.16,2.27
09.02.2002,Newcastle,Southampton,3:01,H,1.52,3.83,6.49
09.02.2002,Tottenham,Leicester,2:01,H,1.55,3.73,6.21
03.02.2002,Leeds,Liverpool,0:04,A,2.4,3.09,2.91
03.02.2002,Middlesbrough,Charlton,0:00,D,2.18,3.17,3.37
02.02.2002,Arsenal,Southampton,1:01,D,1.38,4.46,7.7
02.02.2002,Derby,Tottenham,1:00,H,2.93,3.1,2.4
02.02.2002,Everton,Ipswich,1:02,A,2.11,3.2,3.46
02.02.2002,Fulham,Aston Villa,0:00,D,2.25,3.18,3.16
02.02.2002,Leicester,Chelsea,2:03,A,4.13,3.39,1.86
02.02.2002,Manchester United,Sunderland,4:01,H,1.31,4.85,8.83
02.02.2002,Newcastle,Bolton,3:02,H,1.45,4.13,6.9
02.02.2002,West Ham,Blackburn,2:00,H,2.02,3.21,3.68
30.01.2002,Aston Villa,Everton,0:00,D,1.82,3.39,4.45
30.01.2002,Blackburn,Arsenal,2:03,A,4.04,3.31,1.91
30.01.2002,Chelsea,Leeds,2:00,H,2.3,3.09,3.11
30.01.2002,Ipswich,Fulham,1:00,H,2.39,3.1,2.89
30.01.2002,Liverpool,Leicester,1:00,H,1.26,5.08,9.49
30.01.2002,Southampton,West Ham,2:00,H,2.11,3.16,3.54
30.01.2002,Tottenham,Newcastle,1:03,A,2.34,3.11,3
29.01.2002,Bolton,Manchester United,0:04,A,5.81,3.65,1.61
29.01.2002,Charlton,Derby,1:00,H,1.75,3.45,4.72
29.01.2002,Sunderland,Middlesbrough,0:01,A,1.92,3.26,4.04
23.01.2002,Leicester,Arsenal,1:03,A,5.28,3.5,1.67
22.01.2002,Manchester United,Liverpool,0:01,A,1.76,3.45,4.66
21.01.2002,Charlton,Aston Villa,1:02,A,2.43,3.09,2.86
20.01.2002,Chelsea,West Ham,5:01,H,1.65,3.55,5.3
20.01.2002,Leeds,Arsenal,1:01,D,2.36,3.08,3.01
19.01.2002,Derby,Ipswich,1:03,A,2.27,3.1,3.13
19.01.2002,Leicester,Newcastle,0:00,D,3.9,3.24,1.95
19.01.2002,Liverpool,Southampton,1:01,D,1.39,4.35,7.74
19.01.2002,Manchester United,Blackburn,2:01,H,1.31,4.8,8.78
19.01.2002,Middlesbrough,Bolton,1:01,D,2.12,3.19,3.46
19.01.2002,Sunderland,Fulham,1:01,D,2.25,3.15,3.2
19.01.2002,Tottenham,Everton,1:01,D,1.75,3.48,4.73
13.01.2002,Arsenal,Liverpool,1:01,D,2.14,3.18,3.43
13.01.2002,Southampton,Manchester United,1:03,A,5.2,3.58,1.67
12.01.2002,Aston Villa,Derby,2:01,H,1.56,3.7,6.18
12.01.2002,Blackburn,Charlton,4:01,H,2.26,3.13,3.23
12.01.2002,Bolton,Chelsea,2:02,D,3.13,3.1,2.28
12.01.2002,Everton,Sunderland,1:00,H,2.22,3.13,3.3
12.01.2002,Fulham,Middlesbrough,2:01,H,1.82,3.38,4.37
12.01.2002,Ipswich,Tottenham,2:01,H,2.66,3.04,2.6
12.01.2002,Newcastle,Leeds,3:01,H,2.4,3.05,3
12.01.2002,West Ham,Leicester,1:00,H,1.72,3.5,4.84
09.01.2002,Southampton,Liverpool,2:00,H,3.95,3.23,1.92
02.01.2002,Derby,Fulham,0:01,A,2.51,3.09,2.75
02.01.2002,Manchester United,Newcastle,3:01,H,1.66,3.6,5.3
01.01.2002,Charlton,Ipswich,3:02,H,2.04,3.24,3.63
01.01.2002,Chelsea,Southampton,2:04,A,1.46,4.07,7.13
01.01.2002,Leeds,West Ham,3:00,H,1.51,3.8,6.58
01.01.2002,Liverpool,Bolton,1:01,D,1.37,4.47,8.08
01.01.2002,Middlesbrough,Everton,1:00,H,2.17,3.2,3.33
