"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2018-06-15","Egypt","Uruguay","Morocco","Iran","D","D",3.65,2.94,10.731,0.0844877968707727,0,0.0955942912437144,0.00644566890817553,100
"2018-06-15","Egypt","Uruguay","Portugal","Spain","A","H",1.6,4.4,7.04,0.128612605295151,0,0.153184390890756,0.0202310885408162,100
"2018-06-15","Morocco","Iran","Portugal","Spain","H","H",2.28,4.4,10.032,0.0903389262644331,0,0.104294087223772,0.00788233872495097,100
"2018-06-16","France","Australia","Argentina","Iceland","D","H",6.34,1.31,8.3054,0.10933656961428,0,0.129893100286233,0.0136218845512285,100
"2018-06-16","France","Australia","Croatia","Nigeria","D","H",6.34,1.7,10.778,0.0841995080291262,0,0.0950392493085596,0.00644432956326834,100
"2018-06-16","Peru","Denmark","Croatia","Nigeria","H","D",3.13,3.61,11.2993,0.0803204459840039,0,0.0891187893102937,0.00554549505053643,100
"2018-06-16","Argentina","Iceland","Croatia","Nigeria","D","H",4.9,1.7,8.33,0.109009729397389,1,0.129481604608267,0.0135123799222971,100
"2018-06-17","Costa Rica","Serbia","Brazil","Switzerland","A","D",1.94,4.58,8.8852,0.102586901170849,1,0.120576192242507,0.0118033966561042,100
"2018-06-17","Costa Rica","Serbia","Germany","Mexico","A","D",1.94,4.24,8.2256,0.110542520640289,0,0.131238172475427,0.0141306363878051,100
"2018-06-17","Brazil","Switzerland","Germany","Mexico","H","A",1.41,7.25,10.2225,0.0890382823777286,0,0.101837875656669,0.0078654850845879,100
"2018-06-18","Sweden","South Korea","Tunisia","England","H","D",2.03,4.53,9.1959,0.0988783545101053,0,0.115896897954934,0.0104975695387055,100
"2018-06-18","Belgium","Panama","Tunisia","England","H","H",1.17,9.55,11.1735,0.0813145178148504,0,0.0905088630483782,0.00584850703856178,100
