Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
04.04.2015,2014,Fortuna Koln,Stuttgart II,0,1,2.27,3.15,3.08
04.04.2015,2014,Hallescher,Preussen Munster,3,0,2.43,3.05,2.91
04.04.2015,2014,Mainz II,Erfurt,3,1,2.22,3.13,3.17
04.04.2015,2014,Regensburg,Wehen,3,0,2.82,3.25,2.36
04.04.2015,2014,Grossaspach,Holstein Kiel,1,1,2.94,3.11,2.36
04.04.2015,2014,Stutt. Kickers,Dortmund II,2,0,1.51,3.84,6.26
22.03.2015,2014,Stuttgart II,Arminia Bielefeld,2,0,3.26,3.18,2.13
21.03.2015,2014,Dortmund II,Duisburg,1,4,3.18,3.16,2.21
21.03.2015,2014,SG Dynamo Dresden,Hallescher,2,3,1.98,3.26,3.67
21.03.2015,2014,Energie Cottbus,Chemnitzer,2,2,1.96,3.30,3.58
21.03.2015,2014,Erfurt,Grossaspach,0,1,1.66,3.67,4.84
21.03.2015,2014,Hansa Rostock,Fortuna Koln,4,0,1.93,3.33,3.77
21.03.2015,2014,Holstein Kiel,Regensburg,1,0,1.45,4.14,6.74
21.03.2015,2014,Preussen Munster,Mainz II,1,1,1.62,3.65,5.23
21.03.2015,2014,Unterhaching,Stutt. Kickers,1,2,3.40,3.29,2.06
20.03.2015,2014,Wehen,VfL Osnabruck,2,0,2.25,3.24,3.02
14.03.2015,2014,Arminia Bielefeld,Hansa Rostock,3,2,1.57,3.80,5.41
14.03.2015,2014,Chemnitzer,Stuttgart II,1,0,1.74,3.43,4.68
14.03.2015,2014,Duisburg,Unterhaching,1,0,1.55,3.82,5.60
14.03.2015,2014,Fortuna Koln,Dortmund II,0,0,2.06,3.21,3.45
14.03.2015,2014,Hallescher,Energie Cottbus,3,1,2.44,3.16,2.78
14.03.2015,2014,Mainz II,SG Dynamo Dresden,1,0,2.72,3.07,2.54
14.03.2015,2014,Regensburg,Erfurt,1,0,2.83,3.23,2.37
14.03.2015,2014,Grossaspach,Preussen Munster,1,1,3.40,3.27,2.06
14.03.2015,2014,VfL Osnabruck,Stutt. Kickers,4,1,2.49,3.19,2.70
13.03.2015,2014,Wehen,Holstein Kiel,0,1,2.44,3.06,2.89
11.03.2015,2014,Dortmund II,Grossaspach,0,1,1.99,3.32,3.57
10.03.2015,2014,Stutt. Kickers,Hallescher,1,1,1.63,3.60,5.18
10.03.2015,2014,Unterhaching,Mainz II,1,2,2.19,3.27,3.11
07.03.2015,2014,Dortmund II,Arminia Bielefeld,1,1,3.69,3.32,1.96
07.03.2015,2014,SG Dynamo Dresden,Grossaspach,0,1,1.58,3.68,5.62
07.03.2015,2014,Energie Cottbus,Mainz II,2,1,1.69,3.51,4.77
07.03.2015,2014,Erfurt,Wehen,0,2,2.01,3.31,3.52
07.03.2015,2014,Hansa Rostock,Chemnitzer,1,0,2.31,3.18,2.97
07.03.2015,2014,Holstein Kiel,VfL Osnabruck,1,0,1.80,3.35,4.30
07.03.2015,2014,Preussen Munster,Regensburg,3,0,1.52,4.01,5.70
07.03.2015,2014,Stutt. Kickers,Duisburg,4,2,2.01,3.24,3.62
07.03.2015,2014,Unterhaching,Fortuna Koln,1,1,2.36,3.20,2.88
07.03.2015,2014,Stuttgart II,Hallescher,0,1,2.51,3.09,2.76
03.03.2015,2014,Stuttgart II,Wehen,1,1,2.51,3.13,2.72
