Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
23.03.2010,2009,Stuttgart II,Sandhausen,3,0
23.03.2010,2009,Wuppertaler,Bayern II,5,3
21.03.2010,2009,Unterhaching,Werder Bremen II,0,1
21.03.2010,2009,Wehen,Erfurt,2,0
20.03.2010,2009,Heidenheim,Holstein Kiel,3,0
20.03.2010,2009,Ingolstadt,Offenbach,1,0
20.03.2010,2009,Jena,Braunschweig,2,1
20.03.2010,2009,Regensburg,Bayern II,1,1
20.03.2010,2009,Sandhausen,Aue,0,0
20.03.2010,2009,SG Dynamo Dresden,Burghausen,1,0
20.03.2010,2009,Wuppertaler,Dortmund II,0,2
19.03.2010,2009,Stuttgart II,VfL Osnabruck,0,1
17.03.2010,2009,Dortmund II,Jena,0,3
17.03.2010,2009,Bayern II,Heidenheim,4,2
17.03.2010,2009,Wuppertaler,Wehen,0,2
17.03.2010,2009,Burghausen,Regensburg,1,1
17.03.2010,2009,Sandhausen,SG Dynamo Dresden,0,0
16.03.2010,2009,Erfurt,Stuttgart II,0,1
16.03.2010,2009,Holstein Kiel,Offenbach,0,0
16.03.2010,2009,Werder Bremen II,VfL Osnabruck,0,1
13.03.2010,2009,Braunschweig,Unterhaching,1,0
13.03.2010,2009,Offenbach,Regensburg,0,0
13.03.2010,2009,VfL Osnabruck,Wuppertaler,1,1
13.03.2010,2009,Werder Bremen II,Ingolstadt,0,0
10.03.2010,2009,Jena,Holstein Kiel,3,0
10.03.2010,2009,Dortmund II,Werder Bremen II,1,2
09.03.2010,2009,Aue,Unterhaching,2,0
09.03.2010,2009,Erfurt,Ingolstadt,2,1
06.03.2010,2009,Heidenheim,VfL Osnabruck,1,0
06.03.2010,2009,Ingolstadt,Braunschweig,3,3
06.03.2010,2009,Offenbach,Werder Bremen II,4,0
06.03.2010,2009,Regensburg,Sandhausen,1,1
06.03.2010,2009,Wehen,Bayern II,1,2
03.03.2010,2009,Werder Bremen II,Holstein Kiel,6,1
27.02.2010,2009,Aue,Wuppertaler,1,0
27.02.2010,2009,Bayern II,Stuttgart II,2,0
27.02.2010,2009,Braunschweig,Offenbach,0,0
27.02.2010,2009,Burghausen,Ingolstadt,4,2
27.02.2010,2009,Erfurt,Heidenheim,1,2
27.02.2010,2009,Sandhausen,Wehen,2,1
27.02.2010,2009,VfL Osnabruck,SG Dynamo Dresden,1,1
24.02.2010,2009,Braunschweig,Burghausen,1,0
23.02.2010,2009,Sandhausen,Wuppertaler,1,3
23.02.2010,2009,Regensburg,Stuttgart II,0,0
21.02.2010,2009,Jena,VfL Osnabruck,1,1
21.02.2010,2009,Unterhaching,Dortmund II,1,1
20.02.2010,2009,Heidenheim,Aue,0,0
20.02.2010,2009,Ingolstadt,Holstein Kiel,1,0
20.02.2010,2009,Offenbach,Burghausen,3,0
20.02.2010,2009,SG Dynamo Dresden,Erfurt,1,0
14.02.2010,2009,VfL Osnabruck,Unterhaching,1,0
13.02.2010,2009,Wehen,Stuttgart II,1,4
10.02.2010,2009,Burghausen,Holstein Kiel,0,3
09.02.2010,2009,Regensburg,Wuppertaler,1,0
07.02.2010,2009,Offenbach,Dortmund II,1,2
07.02.2010,2009,Unterhaching,Erfurt,1,1
06.02.2010,2009,Heidenheim,Sandhausen,1,0
06.02.2010,2009,Ingolstadt,VfL Osnabruck,0,0
06.02.2010,2009,Jena,Aue,1,0
06.02.2010,2009,SG Dynamo Dresden,Bayern II,2,0
31.01.2010,2009,VfL Osnabruck,Offenbach,1,0
30.01.2010,2009,Wehen,Heidenheim,1,2
24.01.2010,2009,Unterhaching,Bayern II,0,1
23.01.2010,2009,Jena,Sandhausen,0,1
19.12.2009,2009,Braunschweig,Dortmund II,1,2
19.12.2009,2009,Heidenheim,Stuttgart II,2,1
19.12.2009,2009,Ingolstadt,Aue,5,1
19.12.2009,2009,SG Dynamo Dresden,Wehen,3,1
18.12.2009,2009,Offenbach,Erfurt,0,0
12.12.2009,2009,Aue,Offenbach,4,2
12.12.2009,2009,Dortmund II,Burghausen,3,0
12.12.2009,2009,Erfurt,Werder Bremen II,1,1
12.12.2009,2009,Holstein Kiel,Regensburg,1,0
12.12.2009,2009,Sandhausen,Unterhaching,3,1
12.12.2009,2009,Stuttgart II,SG Dynamo Dresden,2,2
12.12.2009,2009,VfL Osnabruck,Braunschweig,1,0
12.12.2009,2009,Wuppertaler,Heidenheim,1,2
11.12.2009,2009,Wehen,Jena,1,1
06.12.2009,2009,Dortmund II,Holstein Kiel,1,0
06.12.2009,2009,Wuppertaler,SG Dynamo Dresden,1,0
05.12.2009,2009,Aue,Werder Bremen II,2,1
05.12.2009,2009,Bayern II,Offenbach,2,1
05.12.2009,2009,Erfurt,Braunschweig,2,1
05.12.2009,2009,Heidenheim,Regensburg,3,2
05.12.2009,2009,Sandhausen,Ingolstadt,1,2
05.12.2009,2009,VfL Osnabruck,Burghausen,2,1
05.12.2009,2009,Wehen,Unterhaching,2,1
04.12.2009,2009,Stuttgart II,Jena,0,1
29.11.2009,2009,Werder Bremen II,Bayern II,0,3
28.11.2009,2009,Braunschweig,Aue,3,0
28.11.2009,2009,Burghausen,Erfurt,1,3
28.11.2009,2009,Holstein Kiel,VfL Osnabruck,1,1
28.11.2009,2009,Ingolstadt,Wehen,5,1
28.11.2009,2009,Jena,Wuppertaler,1,0
28.11.2009,2009,Offenbach,Sandhausen,3,3
28.11.2009,2009,Regensburg,Dortmund II,2,0
28.11.2009,2009,SG Dynamo Dresden,Heidenheim,4,3
28.11.2009,2009,Unterhaching,Stuttgart II,1,0
21.11.2009,2009,Aue,Burghausen,3,0
21.11.2009,2009,Bayern II,Braunschweig,1,1
21.11.2009,2009,Erfurt,Holstein Kiel,0,0
21.11.2009,2009,Heidenheim,Jena,3,1
21.11.2009,2009,Regensburg,SG Dynamo Dresden,2,0
21.11.2009,2009,Sandhausen,Werder Bremen II,2,2
21.11.2009,2009,VfL Osnabruck,Dortmund II,4,1
21.11.2009,2009,Wuppertaler,Unterhaching,1,0
20.11.2009,2009,Stuttgart II,Ingolstadt,2,4
20.11.2009,2009,Wehen,Offenbach,3,3
08.11.2009,2009,Ingolstadt,Wuppertaler,0,2
07.11.2009,2009,Braunschweig,Sandhausen,6,0
07.11.2009,2009,Burghausen,Bayern II,2,1
07.11.2009,2009,Dortmund II,Erfurt,1,0
07.11.2009,2009,Holstein Kiel,Aue,2,1
07.11.2009,2009,Jena,SG Dynamo Dresden,0,4
07.11.2009,2009,Offenbach,Stuttgart II,2,0
07.11.2009,2009,Unterhaching,Heidenheim,0,2
07.11.2009,2009,VfL Osnabruck,Regensburg,1,0
07.11.2009,2009,Werder Bremen II,Wehen,5,0
31.10.2009,2009,Aue,Dortmund II,2,2
31.10.2009,2009,Bayern II,Holstein Kiel,2,1
31.10.2009,2009,Erfurt,VfL Osnabruck,2,0
31.10.2009,2009,Heidenheim,Ingolstadt,0,1
31.10.2009,2009,Regensburg,Jena,1,1
31.10.2009,2009,Sandhausen,Burghausen,0,0
31.10.2009,2009,SG Dynamo Dresden,Unterhaching,0,2
31.10.2009,2009,Wehen,Braunschweig,0,0
31.10.2009,2009,Wuppertaler,Offenbach,1,1
30.10.2009,2009,Stuttgart II,Werder Bremen II,0,1
25.10.2009,2009,Unterhaching,Jena,3,1
24.10.2009,2009,Braunschweig,Stuttgart II,4,3
24.10.2009,2009,Burghausen,Wehen,2,0
24.10.2009,2009,Dortmund II,Bayern II,0,2
24.10.2009,2009,Erfurt,Regensburg,0,0
24.10.2009,2009,Holstein Kiel,Sandhausen,0,0
24.10.2009,2009,Offenbach,Heidenheim,2,1
24.10.2009,2009,VfL Osnabruck,Aue,3,1
24.10.2009,2009,Werder Bremen II,Wuppertaler,0,1
23.10.2009,2009,Ingolstadt,SG Dynamo Dresden,0,0
18.10.2009,2009,Aue,Erfurt,2,0
18.10.2009,2009,Stuttgart II,Burghausen,1,0
17.10.2009,2009,Bayern II,VfL Osnabruck,1,1
17.10.2009,2009,Heidenheim,Werder Bremen II,1,2
17.10.2009,2009,Jena,Ingolstadt,2,0
17.10.2009,2009,Regensburg,Unterhaching,1,3
17.10.2009,2009,Sandhausen,Dortmund II,3,2
17.10.2009,2009,Wehen,Holstein Kiel,2,1
17.10.2009,2009,Wuppertaler,Braunschweig,1,1
16.10.2009,2009,SG Dynamo Dresden,Offenbach,2,4
03.10.2009,2009,Aue,Regensburg,3,1
03.10.2009,2009,Braunschweig,Heidenheim,1,1
03.10.2009,2009,Burghausen,Wuppertaler,1,0
03.10.2009,2009,Dortmund II,Wehen,1,1
03.10.2009,2009,Erfurt,Bayern II,2,0
03.10.2009,2009,Ingolstadt,Unterhaching,2,2
03.10.2009,2009,Offenbach,Jena,4,0
03.10.2009,2009,VfL Osnabruck,Sandhausen,3,1
03.10.2009,2009,Werder Bremen II,SG Dynamo Dresden,2,0
02.10.2009,2009,Holstein Kiel,Stuttgart II,2,0
27.09.2009,2009,Bayern II,Aue,2,3
27.09.2009,2009,Wuppertaler,Holstein Kiel,5,3
26.09.2009,2009,Heidenheim,Burghausen,6,1
26.09.2009,2009,Jena,Werder Bremen II,2,2
26.09.2009,2009,Regensburg,Ingolstadt,0,2
26.09.2009,2009,Sandhausen,Erfurt,1,2
26.09.2009,2009,SG Dynamo Dresden,Braunschweig,1,1
26.09.2009,2009,Stuttgart II,Dortmund II,2,1
26.09.2009,2009,Unterhaching,Offenbach,1,2
26.09.2009,2009,Wehen,VfL Osnabruck,4,0
20.09.2009,2009,Braunschweig,Jena,2,1
19.09.2009,2009,Aue,Sandhausen,3,1
19.09.2009,2009,Burghausen,SG Dynamo Dresden,2,0
19.09.2009,2009,Dortmund II,Wuppertaler,2,0
19.09.2009,2009,Erfurt,Wehen,1,2
19.09.2009,2009,Holstein Kiel,Heidenheim,1,0
19.09.2009,2009,Offenbach,Ingolstadt,0,1
19.09.2009,2009,VfL Osnabruck,Stuttgart II,0,1
19.09.2009,2009,Werder Bremen II,Unterhaching,3,1
18.09.2009,2009,Bayern II,Regensburg,0,5
15.09.2009,2009,Werder Bremen II,Offenbach,0,1
13.09.2009,2009,Unterhaching,Braunschweig,2,0
13.09.2009,2009,Wehen,Aue,2,0
12.09.2009,2009,Heidenheim,Dortmund II,2,1
12.09.2009,2009,Ingolstadt,Werder Bremen II,4,1
12.09.2009,2009,Jena,Burghausen,0,0
12.09.2009,2009,Sandhausen,Bayern II,4,2
12.09.2009,2009,SG Dynamo Dresden,Holstein Kiel,3,0
12.09.2009,2009,Stuttgart II,Erfurt,3,1
12.09.2009,2009,Wuppertaler,VfL Osnabruck,0,4
11.09.2009,2009,Regensburg,Offenbach,1,1
06.09.2009,2009,Bayern II,Wehen,0,0
06.09.2009,2009,Dortmund II,SG Dynamo Dresden,1,0
05.09.2009,2009,Aue,Stuttgart II,1,0
05.09.2009,2009,Braunschweig,Ingolstadt,2,1
05.09.2009,2009,Burghausen,Unterhaching,3,0
05.09.2009,2009,Holstein Kiel,Jena,0,1
05.09.2009,2009,Sandhausen,Regensburg,2,1
05.09.2009,2009,VfL Osnabruck,Heidenheim,3,2
04.09.2009,2009,Erfurt,Wuppertaler,1,0
02.09.2009,2009,Ingolstadt,Burghausen,6,0
02.09.2009,2009,Jena,Dortmund II,2,1
02.09.2009,2009,Offenbach,Braunschweig,3,0
02.09.2009,2009,Regensburg,Werder Bremen II,1,0
02.09.2009,2009,SG Dynamo Dresden,VfL Osnabruck,0,0
01.09.2009,2009,Heidenheim,Erfurt,2,2
01.09.2009,2009,Stuttgart II,Bayern II,2,4
01.09.2009,2009,Unterhaching,Holstein Kiel,3,1
01.09.2009,2009,Wehen,Sandhausen,2,1
01.09.2009,2009,Wuppertaler,Aue,0,2
30.08.2009,2009,Braunschweig,Werder Bremen II,1,2
30.08.2009,2009,Burghausen,Offenbach,1,0
29.08.2009,2009,Aue,Heidenheim,0,1
29.08.2009,2009,Bayern II,Wuppertaler,3,1
29.08.2009,2009,Erfurt,SG Dynamo Dresden,4,1
29.08.2009,2009,Holstein Kiel,Ingolstadt,2,2
29.08.2009,2009,Sandhausen,Stuttgart II,2,1
29.08.2009,2009,VfL Osnabruck,Jena,2,0
29.08.2009,2009,Wehen,Regensburg,0,2
28.08.2009,2009,Dortmund II,Unterhaching,1,2
23.08.2009,2009,Jena,Erfurt,0,3
23.08.2009,2009,Stuttgart II,Wehen,3,0
22.08.2009,2009,Heidenheim,Bayern II,4,2
22.08.2009,2009,Offenbach,Holstein Kiel,2,3
22.08.2009,2009,Regensburg,Braunschweig,1,0
22.08.2009,2009,SG Dynamo Dresden,Aue,3,0
22.08.2009,2009,Unterhaching,VfL Osnabruck,1,0
22.08.2009,2009,Werder Bremen II,Burghausen,3,4
22.08.2009,2009,Wuppertaler,Sandhausen,0,2
21.08.2009,2009,Ingolstadt,Dortmund II,0,1
16.08.2009,2009,Bayern II,SG Dynamo Dresden,0,0
16.08.2009,2009,Stuttgart II,Regensburg,2,3
15.08.2009,2009,Aue,Jena,0,0
15.08.2009,2009,Burghausen,Braunschweig,0,2
15.08.2009,2009,Dortmund II,Offenbach,0,0
15.08.2009,2009,Erfurt,Unterhaching,1,1
15.08.2009,2009,Holstein Kiel,Werder Bremen II,4,0
15.08.2009,2009,Sandhausen,Heidenheim,3,0
15.08.2009,2009,VfL Osnabruck,Ingolstadt,5,2
14.08.2009,2009,Wehen,Wuppertaler,2,3
09.08.2009,2009,Jena,Bayern II,6,0
09.08.2009,2009,Unterhaching,Aue,2,2
08.08.2009,2009,Braunschweig,Holstein Kiel,2,1
08.08.2009,2009,Heidenheim,Wehen,0,2
08.08.2009,2009,Ingolstadt,Erfurt,5,0
08.08.2009,2009,Offenbach,VfL Osnabruck,2,0
08.08.2009,2009,Regensburg,Burghausen,0,0
08.08.2009,2009,SG Dynamo Dresden,Sandhausen,0,3
08.08.2009,2009,Wuppertaler,Stuttgart II,0,3
07.08.2009,2009,Werder Bremen II,Dortmund II,1,0
29.07.2009,2009,Erfurt,Offenbach,0,2
29.07.2009,2009,Holstein Kiel,Burghausen,0,1
29.07.2009,2009,Sandhausen,Jena,2,2
29.07.2009,2009,Stuttgart II,Heidenheim,1,1
29.07.2009,2009,Wuppertaler,Regensburg,2,2
28.07.2009,2009,Aue,Ingolstadt,1,0
28.07.2009,2009,Bayern II,Unterhaching,1,1
28.07.2009,2009,Dortmund II,Braunschweig,0,0
28.07.2009,2009,VfL Osnabruck,Werder Bremen II,1,0
28.07.2009,2009,Wehen,SG Dynamo Dresden,0,1
25.07.2009,2009,Braunschweig,VfL Osnabruck,1,0
25.07.2009,2009,Burghausen,Dortmund II,4,3
25.07.2009,2009,Heidenheim,Wuppertaler,2,2
25.07.2009,2009,Ingolstadt,Bayern II,2,0
25.07.2009,2009,Jena,Wehen,2,1
25.07.2009,2009,Offenbach,Aue,0,0
25.07.2009,2009,Regensburg,Holstein Kiel,2,0
25.07.2009,2009,SG Dynamo Dresden,Stuttgart II,0,1
25.07.2009,2009,Unterhaching,Sandhausen,3,3
25.07.2009,2009,Werder Bremen II,Erfurt,0,0
