Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
31.05.2003,2003,Den Haag,Haarlem,2,1
30.05.2003,2003,Cambuur,FC Volendam,2,0
30.05.2003,2003,Eindhoven FC,Dordrecht,2,0
30.05.2003,2003,Helmond,Sparta Rotterdam,2,1
30.05.2003,2003,Maastricht,Venlo,1,2
30.05.2003,2003,Oss,FC Emmen,0,3
30.05.2003,2003,Sittard,Den Bosch,2,1
30.05.2003,2003,Telstar,Veendam,5,0
28.05.2003,2003,Heracles,G.A. Eagles,4,1
25.05.2003,2003,Haarlem,Telstar,0,3
23.05.2003,2003,Den Bosch,Maastricht,4,1
23.05.2003,2003,Dordrecht,Sittard,1,2
23.05.2003,2003,FC Emmen,Helmond,0,0
23.05.2003,2003,FC Volendam,Oss,3,1
23.05.2003,2003,G.A. Eagles,Cambuur,10,0
23.05.2003,2003,Sparta Rotterdam,Eindhoven FC,3,1
23.05.2003,2003,Veendam,Heracles,0,5
23.05.2003,2003,Venlo,Den Haag,0,3
16.05.2003,2003,Cambuur,FC Emmen,1,2
16.05.2003,2003,Den Haag,Veendam,0,0
16.05.2003,2003,Eindhoven FC,Den Bosch,0,0
16.05.2003,2003,Heracles,FC Volendam,2,2
16.05.2003,2003,Maastricht,Haarlem,4,1
16.05.2003,2003,Oss,Helmond,2,3
16.05.2003,2003,Sittard,Venlo,2,3
16.05.2003,2003,Sparta Rotterdam,Dordrecht,3,0
16.05.2003,2003,Telstar,G.A. Eagles,0,1
11.05.2003,2003,G.A. Eagles,Den Haag,2,1
09.05.2003,2003,Den Bosch,Dordrecht,3,1
09.05.2003,2003,FC Emmen,Heracles,3,2
09.05.2003,2003,FC Volendam,Telstar,0,0
09.05.2003,2003,Haarlem,Sittard,1,0
09.05.2003,2003,Helmond,Cambuur,3,0
09.05.2003,2003,Oss,Sparta Rotterdam,1,2
09.05.2003,2003,Veendam,Maastricht,2,2
09.05.2003,2003,Venlo,Eindhoven FC,3,1
04.05.2003,2003,Sparta Rotterdam,Den Bosch,3,4
02.05.2003,2003,Cambuur,Oss,1,3
02.05.2003,2003,Den Haag,FC Volendam,2,0
