"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion"
2016-08-13,"Burnley","Swansea","Crystal Palace","West Brom","D","H","3.14","2.16",6.7824,0.136116497631557,0,0.152164154661423,0.0251117301602828
2016-08-13,"Burnley","Swansea","Crystal Palace","West Brom","H","D","2.73","3.17",8.6541,0.106677359117213,0,0.12906079418732,0.0141443792555181
2016-08-13,"Burnley","Swansea","Crystal Palace","West Brom","D","D","3.14","3.17",9.9538,0.0927481498057296,0,0.114934821596225,0.00992284258866609
2016-08-13,"Burnley","Swansea","Crystal Palace","West Brom","A","D","2.81","3.17",8.9077,0.103640281277577,0,0.12618545692679,0.0131692618964467
2016-08-13,"Burnley","Swansea","Crystal Palace","West Brom","H","A","2.73","3.81",10.4013,0.0887578027300694,0,0.110412307783856,0.00883339084108042
2016-08-13,"Burnley","Swansea","Crystal Palace","West Brom","D","A","3.14","3.81",11.9634,0.0771684081060795,0,0.0959064245930757,0.00598094248024672
2016-08-13,"Burnley","Swansea","Crystal Palace","West Brom","A","A","2.81","3.81",10.7061,0.086230890196829,1,0.10742802409139,0.0081716638274002
2016-08-13,"Burnley","Swansea","Everton","Tottenham","H","H","2.73","3.46",9.4458,0.0977915173251985,0,0.120277375061155,0.0114210638726337
2016-08-13,"Burnley","Swansea","Everton","Tottenham","D","H","3.14","3.46",10.8644,0.085022561241335,0,0.105908254489954,0.00790299019192126
2016-08-13,"Burnley","Swansea","Everton","Tottenham","A","H","2.81","3.46",9.7226,0.0950074171878264,0,0.117338441980783,0.0106069375642114
2016-08-13,"Burnley","Swansea","Everton","Tottenham","H","D","2.73","3.37",9.2001,0.100403160221124,0,0.122942822554579,0.0122082562712726
2016-08-13,"Burnley","Swansea","Everton","Tottenham","D","D","3.14","3.37",10.5818,0.0872931934406585,0,0.108635760893281,0.00848792944375464
2016-08-13,"Burnley","Swansea","Everton","Tottenham","A","D","2.81","3.37",9.4697,0.0975447072610917,1,0.120020959039571,0.0113478446252084
2016-08-13,"Burnley","Swansea","Everton","Tottenham","D","A","3.14","2.2",6.908,0.133717300861372,0,0.150506992082976,0.0241721947487488
2016-08-13,"Burnley","Swansea","Hull City","Leicester","H","H","2.73","4.51",12.3123,0.0750752018255042,0,0.0929247899621904,0.00559623889839955
2016-08-13,"Burnley","Swansea","Hull City","Leicester","D","H","3.14","4.51",14.1614,0.0652723888482887,0,0.0785634646928472,0.00362058814705326
2016-08-13,"Burnley","Swansea","Hull City","Leicester","A","H","2.81","4.51",12.6731,0.0729378295315397,1,0.0899355456250556,0.00513592868473393
2016-08-13,"Burnley","Swansea","Hull City","Leicester","H","D","2.73","3.43",9.3639,0.0987140408842636,0,0.121159890714665,0.0117500640882952
2016-08-13,"Burnley","Swansea","Hull City","Leicester","D","D","3.14","3.43",10.7702,0.0858246279025604,0,0.106810164752272,0.00815599252699838
