"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","D","H",3.18,1.94,6.1692,0.144360687515202,0,0.164336002074857,0.0250113441456769,9.28728459403468e-08
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","A","H",3.17,1.94,6.1498,0.144816084005786,0,0.164675611383194,0.0252065961887542,9.35978614697257e-08
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","H","D",2.32,3.4,7.888,0.112904405859379,0,0.136655891368455,0.0130961706950429,4.86290795202797e-08
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","D","D",3.18,3.4,10.812,0.0823705099351446,0,0.0995033742565695,0.00468430183618966,1.7393884960226e-08
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","A","D",3.17,3.4,10.778,0.0826303538150662,1,0.0998717497469644,0.00474194778815718,1.76079375751107e-08
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","H","A",2.32,4.02,9.3264,0.0954912885377834,0,0.116936058634783,0.0078994161076803,2.93323401938833e-08
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","D","A",3.18,4.02,12.7836,0.0696666004426596,0,0.0803330054416363,0.00217092445399623,8.06113942496659e-09
"2011-08-13","Blackburn","Wolves","Fulham","Aston Villa","A","A",3.17,4.02,12.7434,0.0698863688983147,0,0.0806836600973464,0.00220925616771776,8.20347385219106e-09
"2011-08-13","Blackburn","Wolves","Liverpool","Sunderland","H","D",2.32,4.18,9.6976,0.0916138603604845,0,0.112315136087919,0.00669891311628812,2.48745977902323e-08
"2011-08-13","Blackburn","Wolves","Liverpool","Sunderland","D","D",3.18,4.18,13.2924,0.066837784917083,0,0.0760273295825545,0.00154698595519302,5.74431295862021e-09
"2011-08-13","Blackburn","Wolves","Liverpool","Sunderland","A","D",3.17,4.18,13.2506,0.0670486296644555,1,0.076371969030015,0.00158111458891174,5.87104038770407e-09
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","H","H",2.32,3.45,8.004,0.111036699109324,0,0.13495388909353,0.0123068789304394,4.56982585284508e-08
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","D","H",3.18,3.45,10.971,0.0810079062684376,0,0.0977987258216258,0.00423970864655451,1.57430086791825e-08
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","A","H",3.17,3.45,10.9365,0.0812634517140793,0,0.0981660891342849,0.00429478013648787,1.59475017272369e-08
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","H","D",2.32,3.32,7.7024,0.11538452166481,0,0.13942145625703,0.0137326235292158,5.09923745784005e-08
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","D","D",3.18,3.32,10.5576,0.0841799025982258,0,0.10229311254741,0.00494025964451793,1.83443148916061e-08
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","A","D",3.17,3.32,10.5244,0.0844454543414379,1,0.10266292050702,0.00500057689371286,1.85682866445594e-08
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","D","A",3.18,2.13,6.7734,0.131209989026343,0,0.15406813975661,0.0194455087508315,7.22056250927158e-08
"2011-08-13","Blackburn","Wolves","Newcastle","Arsenal","A","A",3.17,2.13,6.7521,0.13162390066365,0,0.154420015473877,0.0196057250291312,7.28005448077458e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","D","H",3.18,2.17,6.9006,0.128849259723367,0,0.151981994137618,0.0185853885899557,6.90118020528209e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","A","H",3.17,2.17,6.8789,0.129255724265082,0,0.152336047302822,0.0187397543029144,6.95849972795381e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","H","D",2.32,3.25,7.54,0.117922705788736,0,0.141884529066766,0.0146349664197355,5.4342980278298e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","D","D",3.18,3.25,10.335,0.0860316595691407,0,0.104798333952268,0.00539925194400979,2.00486583635215e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","A","D",3.17,3.25,10.3025,0.0863030528169929,0,0.105169195320041,0.00546280090962665,2.02846302192933e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","H","A",2.32,3.43,7.9576,0.111734342219648,0,0.135632259994328,0.0125709884440436,4.66789576074558e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","D","A",3.18,3.43,10.9074,0.0815168786004978,0,0.0984770316402149,0.00438138962729604,1.62691025916267e-08
"2011-08-13","Blackburn","Wolves","QPR","Bolton","A","A",3.17,3.43,10.8731,0.0817740296370924,1,0.0988448102700256,0.00443736352942821,1.64769465027385e-08
