"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion"
2013-08-17,"Norwich","Everton","West Brom","Southampton","H","A","3.41","2.97",10.1277,0.0883861178860905,0,0.109466500832204,0.0064631794429343
2013-08-17,"Norwich","Everton","West Brom","Southampton","D","A","3.24","2.97",9.6228,0.0930236611085089,1,0.115719505867089,0.00764350343901581
2013-08-17,"Norwich","Everton","West Brom","Southampton","A","A","2.2","2.97",6.534,0.13699848272344,0,0.161504084756413,0.0224508961457181
2013-08-17,"Norwich","Everton","West Ham","Cardiff","H","H","3.41","2.04",6.9564,0.129116965116412,0,0.154430011250819,0.0196600455442954
2013-08-17,"Norwich","Everton","West Ham","Cardiff","D","H","3.24","2.04",6.6096,0.135891620693508,1,0.160218124207212,0.0223365876685797
2013-08-17,"Norwich","Everton","West Ham","Cardiff","H","D","3.41","3.32",11.3212,0.0793369303727351,0,0.0959147865083067,0.00461506321472569
2013-08-17,"Norwich","Everton","West Ham","Cardiff","D","D","3.24","3.32",10.7568,0.0834996705466132,0,0.102114339254232,0.00554475684106515
2013-08-17,"Norwich","Everton","West Ham","Cardiff","A","D","2.2","3.32",7.304,0.122972242077739,0,0.148809472296201,0.0173571459888352
2013-08-17,"Norwich","Everton","West Ham","Cardiff","H","A","3.41","3.81",12.9921,0.069133493133197,0,0.0795906174789346,0.0026054875538484
2013-08-17,"Norwich","Everton","West Ham","Cardiff","D","A","3.24","3.81",12.3444,0.0727608677729017,0,0.085574786787844,0.00327560562345342
2013-08-17,"Norwich","Everton","West Ham","Cardiff","A","A","2.2","3.81",8.382,0.107156914356455,0,0.13249878350922,0.0119913754901641
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","H","H","2.34","3.56",8.3304,0.107786141915453,0,0.13324184306385,0.012161746596437
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","D","H","3.2","3.56",11.392,0.078818616275675,0,0.0951626652676061,0.00448183579437057
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","A","H","3.15","3.56",11.214,0.0800697054229079,0,0.0970643022463765,0.00475201305537134
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","H","D","2.34","3.35",7.839,0.114542885140004,0,0.140506111543156,0.0143667209970016
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","D","D","3.2","3.35",10.72,0.0837594847586278,0,0.102531376667064,0.005581966393323
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","A","D","3.15","3.35",10.5525,0.0850890003897171,0,0.104449814044423,0.00589306880691833
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","D","A","3.2","2.11",6.752,0.132983068218674,0,0.157819472429545,0.021138778773199
2013-08-17,"Sunderland","Fulham","Swansea","Manchester United","A","A","3.15","2.11",6.6465,0.135093910571352,1,0.159593610580186,0.0219825407382716
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","D","H","3.2","2.41",7.712,0.11597679703551,0,0.142439545694407,0.0145048958687874
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","A","H","3.15","2.41",7.5915,0.117817698575756,0,0.144295584395049,0.0151368743396808
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","H","D","2.34","3.27",7.6518,0.116889236354564,0,0.143364162090654,0.0148167469713798
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","D","D","3.2","3.27",10.464,0.0854752540842752,0,0.105476939538181,0.00570163702951898
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","A","D","3.15","3.27",10.3005,0.0868320041491049,0,0.107399340792049,0.00602425264687977
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","H","A","2.34","2.97",6.9498,0.128696229925732,0,0.15453847410288,0.0190955141751139
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","D","A","3.2","2.97",9.504,0.0941091181331918,0,0.117237849899794,0.00786665032408978
2013-08-17,"Sunderland","Fulham","West Brom","Southampton","A","A","3.15","2.97",9.3555,0.0956029136591155,1,0.119161457950988,0.00826796253740393
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","D","H","3.2","2.04",6.528,0.137477287313372,0,0.161606518077792,0.0229020066695584
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","A","H","3.15","2.04",6.426,0.139659466477076,1,0.163356295029056,0.0238042909420743
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","H","D","2.34","3.32",7.7688,0.115519994282475,0,0.141571955198268,0.014653284388587
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","D","D","3.2","3.32",10.624,0.0844739958190598,0,0.103626825309562,0.00571229552820124
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","A","D","3.15","3.32",10.458,0.0858148528955528,0,0.105546915456876,0.00602910083546841
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","H","A","2.34","3.81",8.9154,0.100663092130661,0,0.125032693264074,0.00996207070244396
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","D","A","3.2","3.81",12.192,0.0736098861205456,0,0.0870444093531219,0.00338625711209693
2013-08-17,"Sunderland","Fulham","West Ham","Cardiff","A","A","3.15","3.81",12.0015,0.0747782970113479,0,0.0889154267568195,0.00361560786096891
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","H","H","3.56","2.41",8.5796,0.104641791136801,0,0.129687444291458,0.0111766977233805
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","D","H","3.35","2.41",8.0735,0.111201425805078,0,0.136996864063774,0.0132459979993883
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","H","D","3.56","3.27",11.6412,0.0771213200732995,0,0.0925595912522341,0.00411569719519458
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","D","D","3.35","3.27",10.9545,0.0819557908838646,0,0.0999010178828814,0.00516092626249729
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","A","D","2.11","3.27",6.8997,0.13011938363078,0,0.155363937233415,0.0200037315972575
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","H","A","3.56","2.97",10.5732,0.0849113524039359,0,0.104210923644556,0.00584172191314126
