"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion"
2014-08-16,"Arsenal","Crystal Palace","Leicester","Everton","D","A","5.56","2.39",13.2884,0.0677469679130449,0,0.0765146119367666,0.00250152181082529
2014-08-16,"Arsenal","Crystal Palace","Manchester United","Swansea","D","H","5.56","1.42",7.8952,0.114301436369704,0,0.142023676355395,0.0147310429406306
2014-08-16,"Arsenal","Crystal Palace","Manchester United","Swansea","H","D","1.28","4.65",5.952,0.151618397249007,0,0.175538195785235,0.0295842196381045
2014-08-16,"Arsenal","Crystal Palace","Manchester United","Swansea","H","A","1.28","7.55",9.664,0.0933808671798519,1,0.116426415012181,0.00836406927848765
2014-08-16,"Arsenal","Crystal Palace","QPR","Hull City","D","H","5.56","2.33",12.9548,0.0696825645514979,0,0.0795718670669306,0.0030160816604137
2014-08-16,"Arsenal","Crystal Palace","Stoke","Aston Villa","D","H","5.56","1.93",10.7308,0.0841271339769348,0,0.103050067193013,0.00605293051058422
2014-08-16,"Arsenal","Crystal Palace","Stoke","Aston Villa","H","A","1.28","4.31",5.5168,0.163636791125234,1,0.183865505481104,0.0352972366084827
2014-08-16,"Arsenal","Crystal Palace","West Brom","Sunderland","D","H","5.56","2.08",11.5648,0.0779402769952878,0,0.093582841642101,0.00455592364269065
2014-08-16,"Arsenal","Crystal Palace","West Ham","Tottenham","D","A","5.56","2.04",11.3424,0.079578233591994,0,0.0960261366981079,0.00500426366653329
2014-08-16,"Leicester","Everton","Manchester United","Swansea","A","D","2.39","4.65",11.1135,0.0811500534435851,0,0.0986019488029424,0.00529667113818911
2014-08-16,"Leicester","Everton","QPR","Hull City","H","H","2.98","2.33",6.9434,0.129929418075602,0,0.157702977259398,0.0203956438826375
2014-08-16,"Leicester","Everton","QPR","Hull City","D","H","3.33","2.33",7.7589,0.116273172932521,0,0.144184428313832,0.0153784456188768
2014-08-16,"Leicester","Everton","QPR","Hull City","A","H","2.39","2.33",5.5687,0.162004044295103,0,0.182856273792206,0.0344299496180892
2014-08-16,"Leicester","Everton","QPR","Hull City","H","D","2.98","3.17",9.4466,0.0955001716454743,0,0.119336075249459,0.00891699354403213
