Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
21.03.2015,Southampton,Burnley,2:00,H,1.47,4.3,7.65
21.03.2015,Stoke,Crystal Palace,1:02,A,2.45,3.1,3.15
21.03.2015,Tottenham,Leicester,4:03,H,1.62,4.03,5.53
21.03.2015,West Ham,Sunderland,1:00,H,1.83,3.52,4.65
16.03.2015,Swansea,Liverpool,0:01,A,4.08,3.43,1.97
15.03.2015,Chelsea,Southampton,1:01,D,1.6,3.78,6.43
15.03.2015,Everton,Newcastle,3:00,H,1.82,3.53,4.66
15.03.2015,Manchester United,Tottenham,3:00,H,1.85,3.68,4.3
14.03.2015,Arsenal,West Ham,3:00,H,1.33,5.41,9.18
14.03.2015,Burnley,Manchester City,1:00,H,7.37,4.83,1.42
14.03.2015,Crystal Palace,QPR,3:01,H,1.77,3.62,4.81
14.03.2015,Leicester,Hull City,0:00,D,2.06,3.25,3.92
14.03.2015,Sunderland,Aston Villa,0:04,A,2.33,3.16,3.3
14.03.2015,West Brom,Stoke,1:00,H,2.47,3.08,3.15
07.03.2015,QPR,Tottenham,1:02,A,4.42,3.74,1.81
04.03.2015,Liverpool,Burnley,2:00,H,1.35,5.07,9.17
04.03.2015,Manchester City,Leicester,2:00,H,1.24,6.32,11.96
04.03.2015,Newcastle,Manchester United,0:01,A,4.41,3.5,1.87
04.03.2015,QPR,Arsenal,1:02,A,6.61,4.54,1.48
04.03.2015,Stoke,Everton,2:00,H,2.62,3.2,2.81
04.03.2015,Tottenham,Swansea,3:02,H,1.73,3.69,4.99
04.03.2015,West Ham,Chelsea,0:01,A,5.95,4.01,1.59
03.03.2015,Aston Villa,West Brom,2:01,H,2.84,3.02,2.73
03.03.2015,Hull City,Sunderland,1:01,D,2.23,3.16,3.54
03.03.2015,Southampton,Crystal Palace,1:00,H,1.66,3.7,5.69
01.03.2015,Arsenal,Everton,2:00,H,1.54,4.18,6.21
01.03.2015,Liverpool,Manchester City,2:01,H,3.2,3.44,2.26
28.02.2015,Burnley,Swansea,0:01,A,2.46,3.2,3.04
28.02.2015,Manchester United,Sunderland,2:00,H,1.36,4.85,9.39
