"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2012-09-15","Fulham","West Brom","Sunderland","Liverpool","A","A",3.52,2.1,7.392,0.120541697718962,0,0.14523433402586,0.00156736028916782,15.0985189638791
"2012-09-15","Manchester United","Wigan","Stoke","Manchester City","H","H",1.27,5.27,6.6929,0.133435993926006,0,0.15489156722224,0.00396087759765933,38.1554808649742
"2012-09-15","Norwich","West Ham","Sunderland","Liverpool","D","A",3.28,2.1,6.888,0.129624335457394,0,0.152141055135294,0.00326317626131327,31.4344627743999
"2012-09-15","QPR","Chelsea","Stoke","Manchester City","H","A",4.37,1.68,7.3416,0.121398500532742,0,0.14591223750327,0.00172411082651156,16.6085106212148
"2012-09-15","QPR","Chelsea","Sunderland","Liverpool","D","A",3.5,2.1,7.35,0.121368450104757,0,0.145799057916959,0.00182674263601611,17.5971718325591
"2012-09-22","Chelsea","Stoke","West Brom","Reading","D","H",4.61,1.64,7.5604,0.118200001522233,0,0.142989643893446,0.00156596119662011,15.1679827038855
"2012-09-22","Southampton","Aston Villa","Swansea","Everton","D","A",3.31,2.33,7.7123,0.116218888979241,0,0.140991626580672,0.00162517361277942,15.74151728833
"2012-09-22","Southampton","Aston Villa","West Ham","Sunderland","H","D",2.28,3.32,7.5696,0.118082422718178,1,0.142867912313918,0.00157460496270575,15.251706677868
"2012-09-22","Southampton","Aston Villa","Wigan","Fulham","A","H",3.16,2.38,7.5208,0.118732211431126,0,0.143514681137311,0.00155481161077737,15.0599872276354
"2012-09-22","Swansea","Everton","West Ham","Sunderland","A","D",2.33,3.32,7.7356,0.115747602397587,1,0.140687380503861,0.00143812445115571,13.9297492480948
"2012-09-22","Swansea","Everton","Wigan","Fulham","D","H",3.25,2.38,7.735,0.115643200129417,0,0.140695207746256,0.00131135787077674,12.7018814677379
"2012-09-22","West Brom","Reading","West Ham","Sunderland","D","H",3.82,2,7.64,0.117043668137792,0,0.141939475248567,0.00147346763226739,14.2720851635436
"2012-09-22","West Ham","Sunderland","Wigan","Fulham","H","D",2,3.27,6.54,0.136395556613207,0,0.157077495209103,0.00434594753265804,42.0950769084366
"2012-09-23","Manchester City","Arsenal","Newcastle","Norwich","A","H",4.61,1.71,7.8831,0.113545288627521,0,0.138775050503473,0.00109527386524761,10.6953898388592
"2012-09-23","Manchester City","Arsenal","Tottenham","QPR","H","D",1.75,4.21,7.3675,0.121299454601978,0,0.145563518593987,0.00203232933587365,19.8457711973292
"2012-09-23","Newcastle","Norwich","Tottenham","QPR","H","D",1.71,4.21,7.1991,0.124011106249677,0,0.147844210202367,0.00233077207591574,22.7600756015577
"2012-09-29","Arsenal","Chelsea","Norwich","Liverpool","H","D",2.18,3.62,7.8916,0.113518653501425,0,0.138665566848224,0.00118638292276213,11.5218374812435
"2012-09-29","Arsenal","Chelsea","Reading","Newcastle","H","D",2.18,3.27,7.1286,0.125145974027106,0,0.148808409766374,0.00242145224542506,23.5165044144635
"2012-09-29","Arsenal","Chelsea","Stoke","Swansea","H","D",2.18,3.38,7.3684,0.121225770351227,0,0.145551414327437,0.00196321272015766,19.0662032205447
"2012-09-29","Arsenal","Chelsea","Sunderland","Wigan","H","A",2.18,3.56,7.7608,0.115069256074665,0,0.140358990257051,0.00104354430199519,10.1346265369979
